Family,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Bryobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,414,81,426,10
Burkholderiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15903,323,12198,1162
Butyricicoccaceae,Bacteria,Bacteria,Both,Match,Direct_Name,645,18,693,65
Caedimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,8,2,7,4
Calderihabitantaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Caldicellulosiruptoraceae,Bacteria,Bacteria,Both,Match,Direct_Name,36,1,38,15
Caldicoprobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,15,2,8,7
Caldilineaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,132,22,308,24
Caldisericaceae,Bacteria,Bacteria,Both,Match,Direct_Name,37,9,35,6
Calditerrivibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,6,2
Calditrichaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,21,11,74,6
Caminicellaceae,Bacteria,Bacteria,Both,Match,Direct_Name,15,7,13,6
Campylobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5856,8,138607,314
Capsulimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,7,5,11,3
Carbonactinosporaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,4,1
Cardiobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,32,9,89,14
Carnobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,201,14,766,128
Casimicrobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,130,8,173,3
Catenulisporaceae,Bacteria,Bacteria,Both,Match,Direct_Name,13,3,20,13
Caulobacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,861,24,1679,295
Celerinatantimonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,23,4,6,5
Cellulomonadaceae,Bacteria,Bacteria,Both,Match,Direct_Name,391,23,333,153
Cellulosilyticaceae,Bacteria,Bacteria,Both,Match,Direct_Name,69,13,34,10
Cellvibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,229,32,268,96
Cerasicoccaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,3,10,8
Chamaesiphonaceae,Bacteria,Bacteria,Both,Match,Direct_Name,14,2,42,27
Chitinibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,55,11,87,60
Chitinispirillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,33,13,22,3
Chitinivibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Chitinophagaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1877,94,3560,323
Chlamydiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,496,4,785,32
Chlorobiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,523,4,658,36
Chloroflexaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,88,19,92,11
Chloroherpetonaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,2,29,5
Christensenellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,108,11,4053,118
Chromatiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,135,28,487,137
Chromobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,185,10,212,80
Chroococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,3,1,22,15
Chroococcidiopsidaceae,Bacteria,Bacteria,Both,Match,Direct_Name,29,7,20,16
Chrysiogenaceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,3,4,3
Chthoniobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,91,9,281,8
Chthonomonadaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,41,11,156,24
Clostridiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2945,59,11022,790
Clostridiales Family XVI. Incertae Sedis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,5,1,5,4
Clostridiales Family XVII. Incertae Sedis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,150,12,126,17
Cohaesibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,15,3,38,10
Coleofasciculaceae,Bacteria,Bacteria,Both,Match,Direct_Name,52,13,137,99
Conexibacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,90,13,111,16
Conexivisphaeraceae,Archaea,Archaea,Both,Match,Direct_Name,9,2,1,1
Coprobacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,927,27,1153,154
Coprothermobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,9,2,24,5
Coraliomargaritaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,124,11,32,11
Coriobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2355,6,3827,201
Coxiellaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,209,15,465,42
Crenotrichaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,1,38,5
Criblamydiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,6,5,3,3
Crocinitomicaceae,Bacteria,Bacteria,Both,Match,Direct_Name,542,29,653,37
Cryomorphaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,9,3,308,23
Cryptosporangiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,1,13,8
Culicoidibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Cyanothecaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,2,5,4
Cyclobacteriaceae,Bacteria,Bacteria,Both,Match,Direct_Name,665,84,771,135
Cyclonatronaceae,Bacteria,Bacteria,Both,Match,Direct_Name,17,5,8,4
Cytophagaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,26,10,341,76
Deferribacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,27,8
Deferrisomataceae,Bacteria,Bacteria,Both,Match,Direct_Name,4,2,4,1
Deferrivibrionaceae,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,1,1
Defluviitaleaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,4,88,5
Dehalococcoidaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,57,3,186,23
Deinococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,199,7,260,128
Demequinaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,64,4,90,43
Dermabacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,139,6,206,79
Dermatophilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,419,59,196,22
Desertifilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,31,3,21,19
Desulfallaceae,Bacteria,Bacteria,Both,Match,Direct_Name,18,5,12,8
Desulfarculaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,46,9,50,12
Desulfatibacillaceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,5,15,5
Desulfatiglandaceae,Bacteria,Bacteria,Both,Match,Direct_Name,99,25,20,4
Desulfatirhabdiaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,23,3,9,3
Desulfitibacteraceae,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,3
Desulfitobacteriaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,99,10,127,63
Desulfobaccaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,13,2,18,6
Desulfobacteraceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,159,15,783,73
Desulfobulbaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,108,14,439,98
Desulfocapsaceae,Bacteria,Bacteria,Both,Match,Direct_Name,159,18,151,28
Desulfococcaceae,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,10,6,43,14
Desulfocucumaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,5,3,2
Desulfohalobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,12,6,84,8
Desulfolunaceae,Bacteria,Bacteria,Both,Match,Direct_Name,9,3,6,5
Desulfomicrobiaceae,Bacteria,Bacteria,Both,Match,Direct_Name,38,2,42,13
Desulfomonilaceae,Bacteria,Bacteria,Both,Match,Direct_Name,57,11,65,4
Desulfonatronaceae,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,11,8
