family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Candidatus Dormibacteraceae,Bacteria,29,3126998,cellular organisms;Bacteria;Bacillati;Candidatus Dormiibacterota;Candidatus Dormibacteria;Candidatus Dormibacterales;Candidatus Dormibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;2052312;3126996;3126997;3126998
Chloroherpetonaceae,Bacteria,29,2968741,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Chlorobiota;Chlorobiia;Chlorobiales;Chloroherpetonaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;1090;191410;191411;2968741
Desulfosalsimonadaceae,Bacteria,29,2904714,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosalsimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;213118;2904714
Silvanigrellaceae,Bacteria,29,2024974,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;3018035;1553900;2024973;2024974
Desulfurellaceae,Bacteria,29,117942,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Desulfurellia;Desulfurellales;Desulfurellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031853;213113;117942
Bradymonadaceae,Bacteria,28,1779135,cellular organisms;Bacteria;delta/epsilon subdivisions;Deltaproteobacteria;Bradymonadales;Bradymonadaceae,cellular root;domain;clade;class;order;family,131567;2;68525;28221;1779134;1779135
Gloeomargaritaceae,Bacteria,28,1955043,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Gloeomargaritales;Gloeomargaritaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1955042;1955043
Candidatus Babeliaceae,Bacteria,28,2497645,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Babelota;Candidatus Babeliae;Candidatus Babeliales;Candidatus Babeliaceae,cellular root;domain;no rank;clade;clade;class;order;family,131567;2;2323;1783234;95901;2497643;2497644;2497645
Herpetosiphonaceae,Bacteria,27,189773,cellular organisms;Bacteria;Bacillati;Chloroflexota;Chloroflexia;Herpetosiphonales;Herpetosiphonaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;32061;189772;189773
Pleomorphomonadaceae,Bacteria,27,2843308,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2843308
Baekduiaceae,Bacteria,27,2600303,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Baekduiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;588673;2600303
Deferribacteraceae,Bacteria,27,191394,cellular organisms;Bacteria;Pseudomonadati;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200930;68337;191393;191394
Thermovirgaceae,Bacteria,27,3029089,cellular organisms;Bacteria;Thermotogati;Synergistota;Synergistia;Synergistales;Thermovirgaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3384194;508458;649775;649776;3029089
Trichocoleusaceae,Bacteria,26,2303527,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Leptolyngbyales;Trichocoleusaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;3079749;2303527
Candidatus Bipolaricaulaceae,Bacteria,26,3121609,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Bipolaricaulota;Candidatus Bipolaricaulia;Candidatus Bipolaricaulales;Candidatus Bipolaricaulaceae,cellular root;domain;no rank;clade;phylum;class;order;family,131567;2;2323;1783234;67810;3121607;3121608;3121609
Abditibacteriaceae,Bacteria,26,2109261,cellular organisms;Bacteria;Pseudomonadati;Abditibacteriota;Abditibacteriia;Abditibacteriales;Abditibacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;2109258;2109259;2109260;2109261
Methanocellaceae,Archaea,26,570265,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanocellales;Methanocellaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;570264;570265
Marivirgaceae,Bacteria,26,2762301,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Marivirgaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;2762301
Immundisolibacteraceae,Bacteria,26,1934946,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1934945;1934946
Chryseotaleaceae,Bacteria,26,3141700,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Chryseotaleaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;3141700
Candidatus Fermentithermobacillaceae,Bacteria,25,3085335,cellular organisms;Bacteria;Bacillati;Bacillota;Candidatus Fermentithermobacillia;Candidatus Fermentithermobacillales;Candidatus Fermentithermobacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;3085333;3085334;3085335
Waddliaceae,Bacteria,25,92714,cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota;Chlamydiia;Parachlamydiales;Waddliaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;204428;204429;1963360;92714
Methanocaldococcaceae,Archaea,25,196117,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Methanomada group;Methanococci;Methanococcales;Methanocaldococcaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2283794;183939;2182;196117
Acaryochloridaceae,Bacteria,25,1890429,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Acaryochloridales;Acaryochloridaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;3079744;1890429
Fastidiosibacteraceae,Bacteria,24,2056687,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Fastidiosibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;72273;2056687
Methylacidiphilaceae,Bacteria,24,717964,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Methylacidiphilae;Methylacidiphilales;Methylacidiphilaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;1955630;717963;717964
Dethiobacteraceae,Bacteria,24,3086088,cellular organisms;Bacteria;Bacillati;Bacillota;Dethiobacteria;Dethiobacterales;Dethiobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;3086086;3086087;3086088
Actinospicaceae,Bacteria,24,414713,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Catenulisporales;Actinospicaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;414714;414713
Lawsonellaceae,Bacteria,24,2805586,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Lawsonellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;2805586
Methylopilaceae,Bacteria,24,3149309,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;3149309
Coprothermobacteraceae,Bacteria,24,2138247,cellular organisms;Bacteria;Pseudomonadati;Coprothermobacterota;Coprothermobacteria;Coprothermobacterales;Coprothermobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;2138240;2138243;2138246;2138247
Ruaniaceae,Bacteria,24,1331736,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Ruaniaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;1331736
Labilitrichaceae,Bacteria,24,1524216,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Polyangiales;Labilitrichaceae,cellular root;domain;kingdom;phylum;subclass;order;family,131567;2;3379134;2818505;3031711;3031712;1524216
Candidatus Altarchaeaceae,Archaea,23,3097033,cellular organisms;Archaea;Nanobdellati;Candidatus Altarchaeota;Candidatus Altiarchaeia;Candidatus Altarchaeales;Candidatus Altarchaeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783276;2582935;3121605;1803511;3097033
Euzebyaceae,Bacteria,23,908622,cellular organisms;Bacteria;Bacillati;Actinomycetota;Nitriliruptoria;Euzebyales;Euzebyaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;908620;908621;908622
Armatimonadaceae,Bacteria,23,1042314,cellular organisms;Bacteria;Bacillati;Armatimonadota;Armatimonadia;Armatimonadales;Armatimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;67819;1042312;1042313;1042314
Tolypothrichaceae,Bacteria,23,119859,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Nostocales;Tolypothrichaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1161;119859
Alsobacteraceae,Bacteria,23,2792775,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Alsobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2792775
Candidatus Paceibacteraceae,Bacteria,23,3120115,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Paceibacterota;Minisyncoccia;Minisyncoccales;Candidatus Paceibacteraceae,cellular root;domain;no rank;clade;clade;clade;phylum;class;order;family,131567;2;2323;1783234;1783273;1794810;1752724;3120113;3120114;3120115
Elioraeaceae,Bacteria,23,2690195,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Elioraeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;3120395;2690195
Candidatus Poriferihabitaceae,Bacteria,23,3033994,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Arenicellales;Candidatus Poriferihabitaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1617890;3033994
Dictyoglomaceae,Bacteria,23,203488,cellular organisms;Bacteria;Pseudomonadati;Dictyoglomota;Dictyoglomia;Dictyoglomales;Dictyoglomaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;68297;203486;203487;203488
Candidatus Hopanoidivoransaceae,Bacteria,23,2983183,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Candidatus Hopanoidivoransaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84992;84993;2983183
Afifellaceae,Bacteria,23,2829802,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Afifellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2829802
Rubritaleaceae,Bacteria,23,1648490,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Rubritaleaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;203494;48461;1648490
Phreatobacteraceae,Bacteria,22,2843305,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phreatobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2843305
Candidatus Methanosuratincolaceae,Archaea,22,3415500,cellular organisms;Archaea;Thermoproteati;Thermoproteota;Candidatus Methanosuratincolia;Candidatus Methanosuratincolales;Candidatus Methanosuratincolaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;28889;3415498;3415499;3415500
Candidatus Multivoraceae,Bacteria,22,3004230,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Candidatus Multivoradales;Candidatus Multivoraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;1562571;3004229;3004230
Candidatus Caldatribacteriaceae,Bacteria,22,3378215,cellular organisms;Bacteria;Pseudomonadati;Atribacterota;Atribacteria;Atribacterales;Candidatus Caldatribacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;67818;2847774;2847775;3378215
Hahellaceae,Bacteria,22,224379,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Hahellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135619;224379
Chitinispirillaceae,Bacteria,22,1860138,cellular organisms;Bacteria;Pseudomonadati;FCB group;Fibrobacterota;Chitinispirillia;Chitinispirillales;Chitinispirillaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;65842;1860136;1860137;1860138
Sanguibacteraceae,Bacteria,22,145360,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Sanguibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;145360
Catalimonadaceae,Bacteria,22,1522127,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Catalimonadaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;1522127
Sporichthyaceae,Bacteria,22,85033,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;2495578;85033
Kytococcaceae,Bacteria,22,2805426,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Kytococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;2805426
Chroococcaceae,Bacteria,22,1890464,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Chroococcaceae,cellular root;domain;kingdom;clade;phylum;class;subclass;order;family,131567;2;1783272;1798711;1117;3028117;1301283;1118;1890464
Tropherymataceae,Bacteria,21,2805591,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Tropherymataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;2805591
Candidatus Cryosericaceae,Bacteria,21,2498708,cellular organisms;Bacteria;Pseudomonadati;Caldisericota/Cryosericota group;Candidatus Cryosericota;Candidatus Cryosericia;Candidatus Cryosericales;Candidatus Cryosericaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;2498710;2498705;2498706;2498707;2498708
Desertifilaceae,Bacteria,21,1969992,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Desertifilales;Desertifilaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;3039989;1969992
Candidatus Eremiobacteraceae,Bacteria,21,2829290,cellular organisms;Bacteria;Bacillati;Vulcanimicrobiota;Vulcanimicrobiia;Candidatus Eremiobacterales;Candidatus Eremiobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1154676;2829293;2599631;2829290
Candidatus Nanogingivalaceae,Bacteria,20,2171990,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Saccharibacteria;Candidatus Nanosyncoccalia;Candidatus Nanogingivales;Candidatus Nanogingivalaceae,cellular root;domain;no rank;clade;phylum;class;order;family,131567;2;2323;1783234;95818;2171982;2171984;2171990
Algiphilaceae,Bacteria,20,1266054,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Nevskiales;Algiphilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1775403;1266054
Catenulisporaceae,Bacteria,20,414877,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Catenulisporales;Catenulisporaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;414714;414877
Candidatus Kaftiobacteriaceae,Bacteria,20,3377965,cellular organisms;Bacteria;Bacillati;Candidatus Sysuimicrobiota;Candidatus Sysuimicrobiia;Candidatus Sysuimicrobiales;Candidatus Kaftiobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1448051;3377960;3377961;3377965
Acidothermaceae,Bacteria,20,85032,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;1643683;85032
Chroococcidiopsidaceae,Bacteria,20,1890528,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Chroococcidiopsidales;Chroococcidiopsidaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1890505;1890528
Candidatus Villigracilaceae,Bacteria,20,3140589,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Candidatus Villigracilaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;292625;292629;3140589
Methylothermaceae,Bacteria,20,1486721,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Methylococcales;Methylothermaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135618;1486721
Desulfatiglandaceae,Bacteria,20,3079273,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfatiglandales;Desulfatiglandaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;3024414;3079273
Eubacteriales Family XII. Incertae Sedis,Bacteria,19,543313,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Eubacteriales incertae sedis;Eubacteriales Family XII. Incertae Sedis,cellular root;domain;kingdom;phylum;class;order;no rank;family,131567;2;1783272;1239;186801;186802;538999;543313
Terasakiellaceae,Bacteria,19,2813951,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Terasakiellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;204441;2813951
Spirulinaceae,Bacteria,19,1890448,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Spirulinales;Spirulinaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;1783272;1798711;1117;3028117;1890443;1890448
Beutenbergiaceae,Bacteria,19,125316,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Beutenbergiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;125316
Hydrogenimonadaceae,Bacteria,19,292630,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Hydrogenimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031852;213849;292630
Methanocalculaceae,Archaea,19,1460864,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanocalculaceae,cellular root;domain;kingdom;phylum;clade;class;order;family,131567;2157;3366610;28890;2290931;224756;2191;1460864
Candidatus Hydrogenedentaceae,Bacteria,19,3118728,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Hydrogenedentota;Candidatus Hydrogenedentia;Candidatus Hydrogenedentales;Candidatus Hydrogenedentaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783270;142187;3118731;3118729;3118728
Actinopolymorphaceae,Bacteria,18,2805400,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Actinopolymorphaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;2805400
Sporanaerobacteraceae,Bacteria,18,2992718,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Sporanaerobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;1737404;1737405;2992718
Candidatus Johnevansiaceae,Bacteria,18,3399796,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Candidatus Johnevansiales;Candidatus Johnevansiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;3399795;3399796
Candidatus Krumholzibacteriaceae,Bacteria,18,2698813,cellular organisms;Bacteria;Candidatus Krumholzibacteriota;Candidatus Krumholzibacteriia;Candidatus Krumholzibacteriales;Candidatus Krumholzibacteriaceae,cellular root;domain;phylum;class;order;family,131567;2;2698788;2698789;2698803;2698813
Prochloraceae,Bacteria,18,1213,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Cyanobacteriota;Cyanophyceae;Oscillatoriophycideae;Chroococcales;Prochloraceae,cellular root;domain;kingdom;clade;phylum;class;subclass;order;family,131567;2;1783272;1798711;1117;3028117;1301283;1118;1213
Desulfobaccaceae,Bacteria,18,3031656,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031647;3031655;3031656
Bacillales Family X. Incertae Sedis,Bacteria,18,539003,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillales incertae sedis;Bacillales Family X. Incertae Sedis,cellular root;domain;kingdom;phylum;class;order;no rank;family,131567;2;1783272;1239;91061;1385;539002;539003
Jonesiaceae,Bacteria,18,85022,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Jonesiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;85022
Egibacteraceae,Bacteria,18,1747769,cellular organisms;Bacteria;Bacillati;Actinomycetota;Nitriliruptoria;Egibacterales;Egibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;908620;1747768;1747769
Candidatus Manganitrophaceae,Bacteria,18,2932362,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota;Nitrospiria;Candidatus Troglogloeales;Candidatus Manganitrophaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;40117;203693;2932361;2932362
Candidatus Bathycorpusculaceae,Archaea,17,3139622,cellular organisms;Archaea;Thermoproteati;Candidatus Bathyarchaeota;Candidatus Bathyarchaeia;Candidatus Bathyarchaeales;Candidatus Bathycorpusculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;1783275;928852;3037982;3072967;3139622
Candidatus Zhuqueibacteraceae,Bacteria,17,3396471,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Zhuqueibacterota;Candidatus Zhuqueibacterales;Candidatus Zhuqueibacteraceae,cellular root;domain;kingdom;clade;clade;order;family,131567;2;3379134;1783270;111630;3396458;3396471
Sulfurifustaceae,Bacteria,17,3120740,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Sulfurifustaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;1692040;3120740
Hippeaceae,Bacteria,17,3048035,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Desulfurellia;Desulfurellales;Hippeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031853;213113;3048035
Patulibacteraceae,Bacteria,17,361606,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Patulibacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1497346;588673;361606
Candidatus Hadarchaeaceae,Archaea,16,3055127,cellular organisms;Archaea;Methanobacteriati;Candidatus Hadarchaeota;Candidatus Hadarchaeia;Candidatus Hadarchaeales;Candidatus Hadarchaeaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2157;3366610;3055124;1775750;3055126;3055127
Blastochloridaceae,Bacteria,16,2831090,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2831090
Desulfobacteriaceae,Bacteria,16,3023783,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;213118;3023783
Salinarimonadaceae,Bacteria,16,2137278,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Salinarimonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28211;356;2137278
Candidatus Phoenicimicrobiaceae,Bacteria,16,3240459,cellular organisms;Bacteria;Pseudomonadati;Atribacterota;Candidatus Phoenicimicrobiia;Candidatus Pheonicimicrobiales;Candidatus Phoenicimicrobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;67818;3240457;3240458;3240459
Thermohalobacteraceae,Bacteria,16,2848916,cellular organisms;Bacteria;Bacillati;Bacillota;Tissierellia;Tissierellales;Thermohalobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;1737404;1737405;2848916
Intestinicryptomonaceae,Bacteria,16,3242731,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Opitutia;Opitutales;Intestinicryptomonaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;414999;415000;3242731
Thermotaleaceae,Bacteria,16,3118657,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Thermotaleaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;186801;3082720;3118657
Bernardetiaceae,Bacteria,16,1937968,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Bernardetiaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;768503;768507;1937968
Dissulfurispiraceae,Bacteria,16,2811505,cellular organisms;Bacteria;Pseudomonadati;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales;Dissulfurispiraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;40117;2811502;2811503;2811505
