family,domain,family_counts,taxid,lineage,lineage_ranks,lineage_taxids
Weeksellaceae,Bacteria,2998,2762318,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;117743;200644;2762318
Micrococcaceae,Bacteria,2923,1268,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85006;1268
Desulfovibrionaceae,Bacteria,2733,194924,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3031449;213115;194924
Paenibacillaceae,Bacteria,2609,186822,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;91061;1385;186822
Veillonellaceae,Bacteria,2513,31977,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;1239;909932;1843489;31977
Acidimicrobiaceae,Bacteria,2361,84994,cellular organisms;Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84992;84993;84994
Treponemataceae,Bacteria,2361,2845253,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Treponemataceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;203691;203692;136;2845253
Nocardiaceae,Bacteria,2337,85025,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;85025
Eggerthellaceae,Bacteria,2266,1643826,cellular organisms;Bacteria;Bacillati;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;84998;1643822;1643826
Acidobacteriaceae,Bacteria,2248,204434,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;204432;204433;204434
