unclassified_name,count,sequence_count,division,family,genus,lineage_signature,example_centroids
"# Unclassified family entries: 41,506 of 70,899 total",,,,,,,
Euglenozoa.U.family,50,204,Discoba,Euglenozoa.U.family,Euglenozoa.U.genus,Discoba|Euglenozoa.U.family|Euglenozoa.U.genus,IMG_3300006236.a_Ga0082396_100060; IMG_3300006232.a_Ga0082392_116254; IMG_3300004627.a_Ga0066629_1019590
Discosea_X.U.family,28,93,Discosea,Discosea_X.U.family,Discosea_X.U.genus,Discosea|Discosea_X.U.family|Discosea_X.U.genus,REF_SPR_AF019064.1.2682_U_18S_rRNA_nucleus_strain_Ray_&_Hayes__ATCC_30137_Eukaryota_Amoebozoa_Lobosa_Lobosa_X_Centramoebida_Acanthamoebidae_Acanthamoeba_Acanthamoeba_astronyxis; REF_SPR_KC822466.1.2639_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._CDC_V621; REF_SPR_DQ185605.1.2582_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_Acanthamoeba_Acanthamoeba_sp._PJ
Acanthopodida.U.family,3,3,Discosea,Acanthopodida.U.family,Acanthopodida.U.genus,Discosea|Acanthopodida.U.family|Acanthopodida.U.genus,REF_SPR_FPLS01060146.1.1247_Eukaryota_Amorphea_Amoebozoa_Discosea_Longamoebia_Centramoebida_metagenome; IMG_3300012212.a_Ga0150985_109985960; IMG_3300006423.a_Ga0075039_1014944
Eukaryota.U.family,9333,39360,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Flamellidae.U.family,197,567,Evosea,Flamellidae.U.family,Flamellidae.U.genus,Evosea|Flamellidae.U.family|Flamellidae.U.genus,IMG_3300002966.a_JGI24721J44947_10018413; IMG_3300043445.a_Ga0451692_0005490; IMG_3300011120.a_Ga0150983_10430345
Archamoebea.U.family,58,216,Evosea,Archamoebea.U.family,Archamoebea.U.genus,Evosea|Archamoebea.U.family|Archamoebea.U.genus,REF_SPR_JX101953.1.2971_U_18S_rRNA_nucleus_clone_MALEN3_Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Endolimacidae_Endolimax_Endolimax_sp.; REF_SPR_JX157640.1.2943_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta; REF_SPR_JX157632.1.2919_U_18S_rRNA_nucleus__Eukaryota_Amoebozoa_Conosa_Archamoebea_Mastigamoebida_Mastigamoebidae_Mastigamoeba_Mastigamoeba_abducta
Pelobiontida.U.family,2,3,Evosea,Pelobiontida.U.family,Pelobiontida.U.genus,Evosea|Pelobiontida.U.family|Pelobiontida.U.genus,IMG_3300009584.a_Ga0115597_1100830; IMG_3300038162.a_Ga0401957_004083
Mastigamoebida.U.family,1,2,Evosea,Mastigamoebida.U.family,Mastigamoebida.U.genus,Evosea|Mastigamoebida.U.family|Mastigamoebida.U.genus,IMG_3300036353.a_Ga0393301_017169
Metazoa.U.family,4480,25091,Opisthokonta,Metazoa.U.family,Metazoa.U.genus,Opisthokonta|Metazoa.U.family|Metazoa.U.genus,IMG_3300046500.a_Ga0495596_0001183; IMG_3300005985.a_Ga0081539_10004659; IMG_3300045963.a_Ga0485833_0001840
Nematoda.U.family,1163,5960,Opisthokonta,Nematoda.U.family,Nematoda.U.genus,Opisthokonta|Nematoda.U.family|Nematoda.U.genus,IMG_3300030399.a_Ga0311353_10009522; IMG_3300041431.a_Ga0439243_0007564; IMG_3300035088.a_Ga0373940_0000162
Fungi.U.family,1112,2638,Opisthokonta,Fungi.U.family,Fungi.U.genus,Opisthokonta|Fungi.U.family|Fungi.U.genus,IMG_3300043422.a_Ga0451741_0000762; IMG_3300037418.a_Ga0395900_0007985; IMG_3300022743.a_Ga0228699_1002103
Pezizomycotina.U.family,987,5074,Opisthokonta,Pezizomycotina.U.family,Pezizomycotina.U.genus,Opisthokonta|Pezizomycotina.U.family|Pezizomycotina.U.genus,IMG_3300025241.a_Ga0207893_1000802; IMG_3300034137.a_Ga0334943_000835; IMG_3300031569.a_Ga0307489_10005156
Platyhelminthes.U.family,851,2920,Opisthokonta,Platyhelminthes.U.family,Platyhelminthes.U.genus,Opisthokonta|Platyhelminthes.U.family|Platyhelminthes.U.genus,IMG_3300047169.a_Ga0495336_0006418; REF_SPR_EU541306.1.3736_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Monogenea_Monopisthocotylea_Ancyrocephalidae_Haliotrema_cromileptis; REF_SPR_JQ609340.1.2891_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Cestoda_Eucestoda_Cyclophyllidea_Hydatigera_taeniaeformis
Opisthokonta.U.family,687,3638,Opisthokonta,Opisthokonta.U.family,Opisthokonta.U.genus,Opisthokonta|Opisthokonta.U.family|Opisthokonta.U.genus,IMG_3300024981.a_Ga0209934_1002558; IMG_3300028375.a_Ga0306865_1001041_1; REF_SPR_HQ191350.1.2633_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Choanoflagellata_Filasterea_Ministeriida_Capsasporidae_AT4-11_uncultured_Chytridiomycota
Chytridiomycota.U.family,530,1528,Opisthokonta,Chytridiomycota.U.family,Chytridiomycota.U.genus,Opisthokonta|Chytridiomycota.U.family|Chytridiomycota.U.genus,IMG_3300031628.a_Ga0308014_1002904; REF_SPR_EF432819.1.3579_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Chytridiomycota_Incertae_Sedis_Chytridiomycetes_Lobulomycetales_Lobulomycetaceae_uncultured_Lobulomycetales_sp._AF011; IMG_3300031656.a_Ga0308005_10003084
Crustacea.U.family,436,2433,Opisthokonta,Crustacea.U.family,Crustacea.U.genus,Opisthokonta|Crustacea.U.family|Crustacea.U.genus,IMG_3300005826.a_Ga0074477_1496964; REF_SPR_LT960405.1.1906_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Copepoda_Siphonostomatoida_Macrostylis_sp._ML08; IMG_3300040793.a_Ga0450797_132125
Mollusca.U.family,353,2354,Opisthokonta,Mollusca.U.family,Mollusca.U.genus,Opisthokonta|Mollusca.U.family|Mollusca.U.genus,REF_SPR_AF120520.1.2239_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_caribaea; REF_SPR_FJ917203.1.2175_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Rissoella_elongatospira; REF_SPR_FJ917449.1.2172_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Mollusca_Gastropoda_Heterobranchia_Pleurobranchaea_meckeli
Agaricomycotina.U.family,328,2666,Opisthokonta,Agaricomycotina.U.family,Agaricomycotina.U.genus,Opisthokonta|Agaricomycotina.U.family|Agaricomycotina.U.genus,IMG_3300036819.a_Ga0376689_0010566; IMG_3300013786.a_Ga0180413_10333; REF_SPR_KY964761.1.3428_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Pucciniomycotina_Pucciniomycetes_Pucciniales_Pucciniaceae_Gymnosporangium_Gymnosporangium_juniperi-virginianae
Craniata_X.U.family,326,2470,Opisthokonta,Craniata_X.U.family,Craniata_X.U.genus,Opisthokonta|Craniata_X.U.family|Craniata_X.U.genus,IMG_3300014042.a_Ga0117790_1004490; REF_SPR_KT580984.1.2058_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Cynoglossus_lineolatus; REF_SPR_GFIX01047396.524.2500_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Gadus_morhua__Atlantic_cod_
Ascomycota.U.family,288,3632,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Saccharomycotina.U.family,259,3098,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
Turbellaria.U.family,153,634,Opisthokonta,Turbellaria.U.family,Turbellaria.U.genus,Opisthokonta|Turbellaria.U.family|Turbellaria.U.genus,REF_SPR_DQ826573.1.2221_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Crustacea_Maxillopoda_Thecostraca_Akentrogonida_Thompsonia_littoralis; REF_SPR_AY775764.1.1944_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Proxenetes_flabellifer; REF_SPR_AY775770.1.1876_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Rhabditophora_Rhabdocoela_Neodalyellida_Ptychopera_westbladi
Arthropoda.U.family,138,741,Opisthokonta,Arthropoda.U.family,Arthropoda.U.genus,Opisthokonta|Arthropoda.U.family|Arthropoda.U.genus,REF_SPR_AF332146.1.2659_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Cyathura_Cyathura_carinata; REF_SPR_JF699547.1.2547_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Exosphaeroma_Exosphaeroma_sp.; REF_SPR_AF255703.1.2532_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Arthropoda_Crustacea_Malacostraca_Colubotelson_Colubotelson_thomsoni
Mucoromycotina.U.family,57,363,Opisthokonta,Mucoromycotina.U.family,Mucoromycotina.U.genus,Opisthokonta|Mucoromycotina.U.family|Mucoromycotina.U.genus,IMG_3300049447.a_Ga0497419_0000879; IMG_3300028452.a_Ga0307247_10019571; IMG_3300036792.a_Ga0376663_0010962
Ustilaginomycotina.U.family,43,1134,Opisthokonta,Ustilaginomycotina.U.family,Ustilaginomycotina.U.genus,Opisthokonta|Ustilaginomycotina.U.family|Ustilaginomycotina.U.genus,IMG_3300021435.a_Ga0214095_1000002; IMG_3300007015.a_Ga0104053_102086; REF_SPR_HQ191282.1.3527_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Ustilaginomycotina_Exobasidiomycetes_Exobasidiales_Exobasidiaceae_Exobasidium_uncultured_Dikarya
