phylum,domain,phylum_counts,taxid,lineage,lineage_ranks,lineage_taxids
Candidatus Sumerlaeota,Bacteria,153,200295,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Sumerlaeota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;200295
Candidatus Hadarchaeota,Archaea,148,3055124,cellular organisms;Archaea;Methanobacteriati;Candidatus Hadarchaeota,cellular root;domain;kingdom;phylum,131567;2157;3366610;3055124
Candidatus Margulisiibacteriota,Bacteria,146,1817808,cellular organisms;Bacteria;Bacillati;Cyanobacteriota/Melainabacteria group;Candidatus Margulisiibacteriota,cellular root;domain;kingdom;clade;phylum,131567;2;1783272;1798711;1817808
Candidatus Methanomethylicota,Archaea,136,1915410,cellular organisms;Archaea;Thermoproteati;Candidatus Methanomethylicota,cellular root;domain;kingdom;phylum,131567;2157;1783275;1915410
Candidatus Shapironibacteriota,Bacteria,134,1752721,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Shapironibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752721
Candidatus Daviesiibacteriota,Bacteria,125,1752718,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Daviesiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752718
Candidatus Tayloriibacteriota,Bacteria,124,1817919,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Tayloriibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817919
Candidatus Gottesmaniibacteriota,Bacteria,118,1752720,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Gottesmaniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752720
Candidatus Staskawicziibacteriota,Bacteria,114,1817916,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Staskawicziibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817916
Candidatus Berkelbacteria,Bacteria,112,1618330,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Berkelbacteria,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1618330
Candidatus Yanofskyibacteriota,Bacteria,111,1752733,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Yanofskyibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752733
Candidatus Sysuimicrobiota,Bacteria,108,1448051,cellular organisms;Bacteria;Bacillati;Candidatus Sysuimicrobiota,cellular root;domain;kingdom;phylum,131567;2;1783272;1448051
Candidatus Wolfeibacteriota,Bacteria,106,1752735,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Wolfeibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752735
Candidatus Doudnaibacteriota,Bacteria,100,1817799,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Doudnaibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817799
Candidatus Altarchaeota,Archaea,98,2582935,cellular organisms;Archaea;Nanobdellati;Candidatus Altarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;2582935
Candidatus Fermentibacterota,Bacteria,95,1729712,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Fermentibacterota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;1729712
Candidatus Zambryskiibacteriota,Bacteria,94,1817925,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Zambryskiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817925
Candidatus Kryptoniota,Bacteria,91,1855361,cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Kryptoniota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1783270;1855361
Candidatus Collieribacteriota,Bacteria,89,1752725,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Collieribacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752725
Candidatus Deferrimicrobiota,Bacteria,86,3031715,cellular organisms;Bacteria;Candidatus Deferrimicrobiota,cellular root;domain;phylum,131567;2;3031715
Candidatus Marsarchaeota,Archaea,78,1978152,cellular organisms;Archaea;Thermoproteati;Candidatus Marsarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;1978152
Candidatus Curtissiibacteriota,Bacteria,76,1752717,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Curtissiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;1752717
Candidatus Giovannoniibacteriota,Bacteria,76,1752738,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Giovannoniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752738
Candidatus Microgenomatota,Bacteria,76,67820,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Microgenomates group;Candidatus Microgenomatota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794810;67820
Candidatus Joergenseniibacteriota,Bacteria,75,1752739,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Joergenseniibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752739
Candidatus Aerophobota,Bacteria,75,1052815,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Aerophobota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1052815
Candidatus Portnoyibacteriota,Bacteria,74,1817913,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Portnoyibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817913
Candidatus Absconditibacteriota,Bacteria,73,221235,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Absconditibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;221235
Candidatus Azamiibacteriota,Bacteria,72,1752741,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Azamiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752741
Candidatus Rifleibacteriota,Bacteria,69,1817810,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Rifleibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817810
Candidatus Adleribacteriota,Bacteria,67,1752736,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Adleribacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1752736
Candidatus Firestoneibacteriota,Bacteria,64,1817802,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Candidatus Firestoneibacteriota,cellular root;domain;no rank;clade;phylum,131567;2;2323;1783234;1817802
Candidatus Nezhaarchaeota,Archaea,56,2546568,cellular organisms;Archaea;Thermoproteati;Candidatus Nezhaarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783275;2546568
Candidatus Kerfeldiibacteriota,Bacteria,55,1817907,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Kerfeldiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817907
Candidatus Sungiibacteriota,Bacteria,53,1817917,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Sungiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817917
Candidatus Buchananiibacteriota,Bacteria,52,1817903,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Buchananiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817903
Candidatus Wildermuthiibacteriota,Bacteria,51,1817923,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Wildermuthiibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817923
Candidatus Tectimicrobiota,Bacteria,51,1802339,cellular organisms;Bacteria;Pseudomonadati;Nitrospinota/Tectimicrobiota group;Candidatus Tectimicrobiota,cellular root;domain;kingdom;clade;phylum,131567;2;3379134;1802340;1802339
Candidatus Colwelliibacteriota,Bacteria,51,1817904,cellular organisms;Bacteria;Bacteria incertae sedis;Bacteria candidate phyla;Patescibacteria group;Parcubacteria group;Candidatus Colwelliibacteriota,cellular root;domain;no rank;clade;clade;clade;phylum,131567;2;2323;1783234;1783273;1794811;1817904
Candidatus Hodarchaeota,Archaea,49,2798906,cellular organisms;Archaea;Promethearchaeati;Candidatus Hodarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1935183;2798906
Candidatus Nanohalarchaeota,Archaea,49,1462430,cellular organisms;Archaea;Nanobdellati;Candidatus Nanohalarchaeota,cellular root;domain;kingdom;phylum,131567;2157;1783276;1462430
