DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_genome_counts
Primate_T-lymphotropic_virus_1_species_194440	9
Papaya_leaf_curl_China_virus_species_229634	9
Panicum_streak_virus_species_10826	9
Gemycircularvirus_sclero1_species_2844522	9
Charlievirus_Pipsqueaks_species_2169810	9
Kolesnikvirus_M7_species_1985307	9
Porcine_circovirus_species_46221	9
Turbidovirus_turbido_species_1993865	9
Peribunyaviridae_sp._species_2683622	9
Lyssavirus_hamburg_species_2951618	9
Spodoptera_exigua_multiple_nucleopolyhedrovirus_species_10454	9
Punavirus_P1_species_10678	8
Kuttervirus_SFP10_species_1987988	8
Kostyavirus_toto_species_1993871	8
Kayvirus_P108_species_1924731	8
TTV-like_mini_virus_species_93678	8
Erythroparvovirus_primate1_species_3052189	8
Marfavirus_F48_species_2845079	8
Skunavirus_sv3R16S_species_2845163	8
Circovirus_gryzon_species_3052123	8
Macrobrachium_satellite_virus_1_species_1922242	8
Mardecavirus_SSP002_species_1921699	8
Phikzvirus_phiKZ_species_169683	8
Likavirus_aaronocolus_species_1982884	8
Sindbis_virus_species_11034	8
Alphamesonivirus_cavallyense_species_1312874	8
Rotavirus_B_species_28876	8
Elerivirus_eleri_species_2560589	8
Vequintavirus_slur16_species_2560462	8
Ficleduovirus_FCL2_species_2560473	8
Betterkatzvirus_betterkatz_species_2560485	8
Tomato_leaf_curl_Bangalore_virus_species_220608	8
Phimunavirus_Clickz_species_2733338	8
Ghunavirus_PSA2_species_2733621	8
Rousettus_bat_coronavirus_HKU9_no rank_694006	8
Kobuvirus_cebes_species_1298633	8
Mungbean_yellow_mosaic_virus_species_33726	8
Loessnervirus_Y2_species_2733974	8
Orthobunyavirus_maritubaense_species_3052418	8
Duck_hepatitis_B_virus_species_12639	8
Tomato_leaf_curl_Gujarat_virus_species_219299	8
Protoparvovirus_carnivoran1_species_3052707	8
Vellamovirus_rhodeisland44_species_2734152	8
Krampusvirus_krampus_species_2734242	8
Salmon_gillpox_virus_species_2734576	8
Gammapapillomavirus_9_species_1175851	8
Alphapapillomavirus_4_species_337043	8
Alphapapillomavirus_5_species_337044	8
Immanueltrevirus_immanuel3_species_2846399	8
Tequatrovirus_gee4498_species_2844198	8
Alphapapillomavirus_6_species_337050	8
Okra_enation_leaf_curl_virus_species_908125	8
Astroviridae_sp._species_2585114	8
Deltapapillomavirus_4_species_337052	8
Pig_stool_associated_circular_ssDNA_virus_species_1249501	8
Circovirus_mink_species_3048202	8
Beet_curly_top_Iran_virus_species_391228	8
Alphabaculovirus_helarmigerae_species_3047947	8
Swinepox_virus_species_10276	7
Gemykibivirus_humas2_species_2844582	7
Orthoflavivirus_aroaense_species_3047375	7
Staphylococcus_phage_812_species_307898	7
Mosigvirus_JS09_species_1914160	7
Chipapillomavirus_1_species_1177758	7
Heterobasidion_partitivirus_2_species_872291	7
Enterococcus_phage_1_EF62phi_species_3045168	7
Gammapapillomavirus_10_species_1175852	7
Friunavirus_sp._BRC001_species_3137161	7
Orthoflavivirus_tembusu_species_3048360	7
Orthobornavirus_alphapsittaciforme_species_1548713	7
Cotton_leaf_curl_Gezira_betasatellite_species_304222	7
Coralvirus_coral_species_2734227	7
Nitmarvirus_NSV1_species_2734593	7
Ixodes_scapularis_associated_virus_1_species_1526525	7
Picornaviridae_sp._species_1530251	7
Enterovirus_E_species_12064	7
Armstrongvirus_armstrong_species_2734217	7
Euphorbia_mosaic_virus_species_77811	7
Tequatrovirus_teqdroes_species_2844259	7
Parechovirus_B_species_1803957	7
Eneladusvirus_BF_species_2560751	7
Otagovirus_Psa374_species_2560680	7
Simian_mastadenovirus_A_species_298334	7
Vicia_cryptic_virus_species_54289	7
Orthobunyavirus_patoisense_species_3052431	7
Bean_golden_yellow_mosaic_virus_species_220340	7
Varicellovirus_equidalpha8_species_3050279	7
Muminvirus_mumin_species_2844293	7
Tobacco_curly_shoot_virus_species_180526	7
Marvinvirus_marvin_species_1982092	7
Marvinvirus_mosmoris_species_1982093	7
Nymphadoravirus_kita_species_2170041	7
Gladiatorvirus_ericB_species_1041406	7
