genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Solihabitans,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZUA-544,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJLG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JARLIO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUVJK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPJRA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOADG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQTPI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACOVN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WAPJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISYE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGGXE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGNE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQJM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZZU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAKLGF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGHC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGJU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQXW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJKG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIQFD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAEYYR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
2-01-FULL-44-10,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CANLNM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
B20-G17,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFFZZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGJA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PALSA-607,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGXON01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BS750m-G62,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOWIS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALKAN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHFIC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALMFG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALAXS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQFL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CG2-30-54-11,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
2-12-FULL-60-19,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAEYPN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALHWS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGHCE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABMPZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUHYH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAZLS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMAWH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WRBN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
QWHN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJFKJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAFHN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQNT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHDCD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGLZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASJDU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VGJU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RI-342,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
HS-7,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJYLS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHJQY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQQJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA2778,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAIYXV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
GW-Firmicutes-8,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SKSR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFLCD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BPJP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADLCR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADZGD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JASLSL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACRAV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALRHN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
AC-49,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SZUA-55,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQPO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
AUK310,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WRIO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
OFTM291,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGBZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAITJI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQUUH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPYRI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIETI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALAEC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Vondammii,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JARLFX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABJPE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUJNU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRTW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGRL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAITNA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
B140-G9,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WUQU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAENXM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQUQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALKZN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAKAUA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA6131,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPIG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGFZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VLJP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CADCWJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABJCZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACQXM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACAEL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALBPE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYQI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGGYQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PALSA-188,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMZKQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIPGS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SM23-30,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JARYMI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGZLR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADFKK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RBC-AMX1,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
QNAD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACCVG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRVB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPQL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SKFT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANWIA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALLUQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFATL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SIG223,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALMPF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
G025836975,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPPKS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGET01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WGLT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SW-6-46-9,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Xenolissoclinum,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUWCW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WRDJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJFFF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUILN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Atlanticothrix,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGOI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA141,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WHTB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAADHN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGLDR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGVEX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Paralysiella,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
GCA-016699855,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SUG1201,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJSAI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAOUFL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJTHJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJAZB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALYMZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
VMFS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Pseudoponticoccus,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALBXO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAITSR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISJM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABIFP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGCE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGHAM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALJMC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WJIJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPID01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Anaerohalosphaera,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
ARS1246,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAMWCP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
GCA-2748425,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJEAD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SKW197,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
2-12-FULL-49-11,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CALWSX01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALUUU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPULJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUIEV01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJPGZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGDYD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
21-14-all-47-17,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JABDKO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUYSP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQTPW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANXSG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA9568,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQES01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Uabimicrobium,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFAWL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJOKK01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOWID01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHFHZ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
Feifania,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PWOA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJNBD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
MHYJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIVHI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALULG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALOKP01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA1397,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DYNF01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAUWIE01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RGIG9934,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHBNG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGRGG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAJYHH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
WHTO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
PALSA-1153,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
J046,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CABZZR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAICWY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANWHL01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALSMD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CATPCN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRZU01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAJCHO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHEKB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
SKQW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
BM304,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
S3-3,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGLW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAQBXG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CANKBT01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAISFI01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHEXQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
RUG13077,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALVLD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADLBH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CACPNW01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADLDM01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANYDD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYAH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
UBA4473,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHDHC01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFAXH01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAAYFS01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJYGY01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGGTJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JALVCQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAIRYO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAJRVD01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
DAOWHR01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JANQHA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
ZC4RG24,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPIO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAGXSG01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACYMB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JADFGN01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAFGNJ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
CAMFNB01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAPLLA01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JACPKQ01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
JAHEZO01,0,0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,gtdb_only
