genus,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,coverage_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status
Megasphaera,62,408,0.02,0.03,269,269,0,0.05,0.05,0.0,433.87,0.23,4.339,1,0,1,matched
Gilliamella,16,74,0.01,0.01,265,265,0,0.04,0.04,0.0,1656.25,0.06,16.562,1,0,1,matched
Butyrivibrio,167,454,0.06,0.04,263,263,0,0.04,0.04,0.0,157.49,0.635,1.575,1,0,1,matched
Oenococcus,8,30,0.0,0.0,260,260,0,0.04,0.04,0.0,3250.0,0.031,32.5,1,0,1,matched
Methylobacter,54,713,0.02,0.06,260,260,0,0.04,0.04,0.0,481.48,0.208,4.815,1,0,1,matched
Sutterella,46,695,0.02,0.06,260,260,0,0.04,0.04,0.0,565.22,0.177,5.652,1,0,1,matched
Mannheimia,12,190,0.0,0.02,258,258,0,0.04,0.04,0.0,2150.0,0.047,21.5,1,0,1,matched
Morganella,40,187,0.02,0.02,258,258,0,0.04,0.04,0.0,645.0,0.155,6.45,1,0,1,matched
Xylella,4,78,0.0,0.01,255,255,0,0.04,0.04,0.0,6375.0,0.016,63.75,1,0,1,matched
Paracoccus,191,712,0.07,0.06,252,252,0,0.04,0.04,0.0,131.94,0.758,1.319,1,0,1,matched
Adlercreutzia,11,60,0.0,0.01,249,249,0,0.04,0.04,0.0,2263.64,0.044,22.636,1,0,1,matched
Aggregatibacter,55,323,0.02,0.03,249,249,0,0.04,0.04,0.0,452.73,0.221,4.527,1,0,1,matched
Aerococcus,39,172,0.01,0.01,248,248,0,0.04,0.04,0.0,635.9,0.157,6.359,1,0,1,matched
Glaesserella,3,70,0.0,0.01,248,248,0,0.04,0.04,0.0,8266.67,0.012,82.667,1,0,1,matched
Exiguobacterium,136,638,0.05,0.05,248,248,0,0.04,0.04,0.0,182.35,0.548,1.824,1,0,1,matched
Phenylobacterium,109,1119,0.04,0.09,246,246,0,0.04,0.04,0.0,225.69,0.443,2.257,1,0,1,matched
Pauljensenia,2,7,0.0,0.0,245,245,0,0.04,0.04,0.0,12250.0,0.008,122.5,1,0,1,matched
Ferruginibacter,194,873,0.07,0.07,240,240,0,0.04,0.04,0.0,123.71,0.808,1.237,1,0,1,matched
Sphingobacterium,213,1395,0.08,0.12,238,238,0,0.04,0.04,0.0,111.74,0.895,1.117,1,0,1,matched
Ruthenibacterium,2,40,0.0,0.0,236,236,0,0.04,0.04,0.0,11800.0,0.008,118.0,1,0,1,matched
Sulfurimonas,493,1529,0.19,0.13,235,235,0,0.04,0.04,0.0,47.67,2.098,0.477,1,0,1,matched
Actinomyces,256,873,0.1,0.07,235,235,0,0.04,0.04,0.0,91.8,1.089,0.918,1,0,1,matched
Synechococcus,100,2018,0.04,0.17,234,234,0,0.04,0.04,0.0,234.0,0.427,2.34,1,0,1,matched
Gordonia,52,310,0.02,0.03,227,227,0,0.04,0.04,0.0,436.54,0.229,4.365,1,0,1,matched
Cupriavidus,60,318,0.02,0.03,225,225,0,0.04,0.04,0.0,375.0,0.267,3.75,1,0,1,matched
Lachnoclostridium,607,2035,0.23,0.17,225,225,0,0.04,0.04,0.0,37.07,2.698,0.371,1,0,1,matched
Brevibacterium,80,386,0.03,0.03,224,224,0,0.04,0.04,0.0,280.0,0.357,2.8,1,0,1,matched
Levilactobacillus,6,7,0.0,0.0,221,221,0,0.04,0.04,0.0,3683.33,0.027,36.833,1,0,1,matched
Polaribacter,77,656,0.03,0.05,221,221,0,0.04,0.04,0.0,287.01,0.348,2.87,1,0,1,matched
Agathobaculum,2,14,0.0,0.0,219,219,0,0.04,0.04,0.0,10950.0,0.009,109.5,1,0,1,matched
Luminiphilus,26,213,0.01,0.02,219,219,0,0.04,0.04,0.0,842.31,0.119,8.423,1,0,1,matched
Saccharofermentans,126,474,0.05,0.04,219,219,0,0.04,0.04,0.0,173.81,0.575,1.738,1,0,1,matched
Succinivibrio,49,236,0.02,0.02,219,219,0,0.04,0.04,0.0,446.94,0.224,4.469,1,0,1,matched
Lysinibacillus,213,841,0.08,0.07,219,219,0,0.04,0.04,0.0,102.82,0.973,1.028,1,0,1,matched
Acidithiobacillus,78,291,0.03,0.02,218,218,0,0.04,0.04,0.0,279.49,0.358,2.795,1,0,1,matched
Allorhizobium,5,14,0.0,0.0,215,215,0,0.04,0.04,0.0,4300.0,0.023,43.0,1,0,1,matched
Fibrobacter,96,342,0.04,0.03,214,214,0,0.04,0.04,0.0,222.92,0.449,2.229,1,0,1,matched
Dickeya,43,233,0.02,0.02,212,212,0,0.04,0.04,0.0,493.02,0.203,4.93,1,0,1,matched
Fusicatenibacter,155,528,0.06,0.04,211,211,0,0.04,0.04,0.0,136.13,0.735,1.361,1,0,1,matched
Ruegeria,60,218,0.02,0.02,210,210,0,0.04,0.04,0.0,350.0,0.286,3.5,1,0,1,matched
Micrococcus,120,396,0.05,0.03,209,209,0,0.04,0.04,0.0,174.17,0.574,1.742,1,0,1,matched
Methylotenera,75,993,0.03,0.08,206,206,0,0.03,0.03,0.0,274.67,0.364,2.747,1,0,1,matched
Bilophila,26,354,0.01,0.03,206,206,0,0.03,0.03,0.0,792.31,0.126,7.923,1,0,1,matched
Mucilaginibacter,195,1233,0.07,0.1,206,206,0,0.03,0.03,0.0,105.64,0.947,1.056,1,0,1,matched
Occallatibacter,55,678,0.02,0.06,205,205,0,0.03,0.03,0.0,372.73,0.268,3.727,1,0,1,matched
Pedobacter,256,1566,0.1,0.13,202,202,0,0.03,0.03,0.0,78.91,1.267,0.789,1,0,1,matched
Variovorax,65,512,0.02,0.04,197,197,0,0.03,0.03,0.0,303.08,0.33,3.031,1,0,1,matched
Leclercia,10,51,0.0,0.0,195,195,0,0.03,0.03,0.0,1950.0,0.051,19.5,1,0,1,matched
Nitrosomonas,96,481,0.04,0.04,193,193,0,0.03,0.03,0.0,201.04,0.497,2.01,1,0,1,matched
Metamycoplasma,9,54,0.0,0.0,191,191,0,0.03,0.03,0.0,2122.22,0.047,21.222,1,0,1,matched
Thiomonas,19,96,0.01,0.01,188,188,0,0.03,0.03,0.0,989.47,0.101,9.895,1,0,1,matched
Riemerella,11,80,0.0,0.01,187,187,0,0.03,0.03,0.0,1700.0,0.059,17.0,1,0,1,matched
Acidovorax,217,1166,0.08,0.1,186,186,0,0.03,0.03,0.0,85.71,1.167,0.857,1,0,1,matched
Flavonifractor,26,159,0.01,0.01,184,184,0,0.03,0.03,0.0,707.69,0.141,7.077,1,0,1,matched
Brevibacillus,123,587,0.05,0.05,183,183,0,0.03,0.03,0.0,148.78,0.672,1.488,1,0,1,matched
Latilactobacillus,21,29,0.01,0.0,182,182,0,0.03,0.03,0.0,866.67,0.115,8.667,1,0,1,matched
Paraprevotella,38,190,0.01,0.02,182,182,0,0.03,0.03,0.0,478.95,0.209,4.789,1,0,1,matched
Gallionella,95,450,0.04,0.04,181,181,0,0.03,0.03,0.0,190.53,0.525,1.905,1,0,1,matched
Qipengyuania,2,21,0.0,0.0,180,180,0,0.03,0.03,0.0,9000.0,0.011,90.0,1,0,1,matched
Geothrix,28,447,0.01,0.04,180,180,0,0.03,0.03,0.0,642.86,0.156,6.429,1,0,1,matched
Butyricimonas,30,149,0.01,0.01,179,179,0,0.03,0.03,0.0,596.67,0.168,5.967,1,0,1,matched
Rathayibacter,8,37,0.0,0.0,179,179,0,0.03,0.03,0.0,2237.5,0.045,22.375,1,0,1,matched
Kocuria,103,377,0.04,0.03,178,178,0,0.03,0.03,0.0,172.82,0.579,1.728,1,0,1,matched
Mesomycoplasma,8,39,0.0,0.0,177,177,0,0.03,0.03,0.0,2212.5,0.045,22.125,1,0,1,matched
Methanosarcina,105,977,0.04,0.08,177,177,0,0.03,0.03,0.0,168.57,0.593,1.686,1,0,1,matched
Barnesiella,61,397,0.02,0.03,175,175,0,0.03,0.03,0.0,286.89,0.349,2.869,1,0,1,matched
Rickettsia,56,303,0.02,0.03,175,175,0,0.03,0.03,0.0,312.5,0.32,3.125,1,0,1,matched
Holdemanella,85,409,0.03,0.03,174,174,0,0.03,0.03,0.0,204.71,0.489,2.047,1,0,1,matched
Actinobacillus,68,497,0.03,0.04,173,173,0,0.03,0.03,0.0,254.41,0.393,2.544,1,0,1,matched
Mycoplasma,254,734,0.1,0.06,171,171,0,0.03,0.03,0.0,67.32,1.485,0.673,1,1,2,matched
Rhodoluna,9,380,0.0,0.03,170,170,0,0.03,0.03,0.0,1888.89,0.053,18.889,1,0,1,matched
Lentilactobacillus,7,9,0.0,0.0,170,170,0,0.03,0.03,0.0,2428.57,0.041,24.286,1,0,1,matched
Cellulomonas,66,848,0.03,0.07,170,170,0,0.03,0.03,0.0,257.58,0.388,2.576,1,0,1,matched
Rhizomicrobium,8,137,0.0,0.01,168,168,0,0.03,0.03,0.0,2100.0,0.048,21.0,1,0,1,matched
Coxiella,431,955,0.16,0.08,166,166,0,0.03,0.03,0.0,38.52,2.596,0.385,1,0,1,matched
Deinococcus,171,503,0.07,0.04,165,165,0,0.03,0.03,0.0,96.49,1.036,0.965,1,0,1,matched
Polaromonas,59,424,0.02,0.04,165,165,0,0.03,0.03,0.0,279.66,0.358,2.797,1,0,1,matched
Neorhizobium,7,52,0.0,0.0,164,164,0,0.03,0.03,0.0,2342.86,0.043,23.429,1,0,1,matched
Methanobacterium,103,1186,0.04,0.1,164,164,0,0.03,0.03,0.0,159.22,0.628,1.592,1,0,1,matched
Cuniculiplasma,6,23,0.0,0.0,163,163,0,0.03,0.03,0.0,2716.67,0.037,27.167,1,0,1,matched
Rubrivivax,7,134,0.0,0.01,163,163,0,0.03,0.03,0.0,2328.57,0.043,23.286,1,0,1,matched
Erythrobacter,93,549,0.04,0.05,162,162,0,0.03,0.03,0.0,174.19,0.574,1.742,1,0,1,matched
Romboutsia,79,588,0.03,0.05,162,162,0,0.03,0.03,0.0,205.06,0.488,2.051,1,0,1,matched
Clavibacter,5,59,0.0,0.0,161,161,0,0.03,0.03,0.0,3220.0,0.031,32.2,1,0,1,matched
Amycolatopsis,82,399,0.03,0.03,160,160,0,0.03,0.03,0.0,195.12,0.512,1.951,1,0,1,matched
