family,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
Emcibacteraceae,4,11,0.0,0.0,70,70,0,0.01,0.01,0.0,0.057,17.5,1,0,1,matched,
Nitriliruptoraceae,60,199,0.02,0.02,70,70,0,0.01,0.01,0.0,0.857,1.167,1,0,1,matched,
Thermoanaerobacteraceae,196,615,0.07,0.05,70,70,0,0.01,0.01,0.0,2.8,0.357,1,0,1,matched,
Cellulosilyticaceae,36,77,0.01,0.01,69,69,0,0.01,0.01,0.0,0.522,1.917,1,0,1,matched,
Stellaceae,25,143,0.01,0.01,69,69,0,0.01,0.01,0.0,0.362,2.76,1,0,1,matched,
Sulfurospirillaceae,94,540,0.04,0.05,68,68,0,0.01,0.01,0.0,1.382,0.723,1,0,1,matched,
Desulfurococcaceae,145,535,0.06,0.04,67,67,0,0.01,0.01,0.0,2.164,0.462,1,0,1,matched,
Leptolyngbyaceae,359,1192,0.14,0.1,67,67,0,0.01,0.01,0.0,5.358,0.187,1,0,1,matched,
Roseiflexaceae,344,1591,0.13,0.13,66,66,0,0.01,0.01,0.0,5.212,0.192,1,0,1,matched,
Trueperaceae,189,620,0.07,0.05,65,65,0,0.01,0.01,0.0,2.908,0.344,1,0,1,matched,
Phycisphaeraceae,1258,5650,0.48,0.47,65,65,0,0.01,0.01,0.0,19.354,0.052,1,0,1,matched,
Halobacteriaceae,190,710,0.07,0.06,65,65,0,0.01,0.01,0.0,2.923,0.342,1,0,1,matched,
Syntrophobacteraceae,188,836,0.07,0.07,64,64,0,0.01,0.01,0.0,2.938,0.34,1,0,1,matched,
Demequinaceae,25,192,0.01,0.02,64,64,0,0.01,0.01,0.0,0.391,2.56,1,0,1,matched,
Thermodesulfobacteriaceae,80,441,0.03,0.04,62,62,0,0.01,0.01,0.0,1.29,0.775,1,0,1,matched,
Parachlamydiaceae,6,6,0.0,0.0,61,61,0,0.01,0.01,0.0,0.098,10.167,1,0,1,matched,
Fervidobacteriaceae,37,263,0.01,0.02,60,60,0,0.01,0.01,0.0,0.617,1.622,1,0,1,matched,
Tissierellaceae,119,342,0.05,0.03,60,60,0,0.01,0.01,0.0,1.983,0.504,1,0,1,matched,
Geopsychrobacteraceae,60,281,0.02,0.02,60,60,0,0.01,0.01,0.0,1.0,1.0,1,0,1,matched,
Desulfomonilaceae,62,228,0.02,0.02,57,57,0,0.01,0.01,0.0,1.088,0.919,1,0,1,matched,
Hydrogenothermaceae,56,402,0.02,0.03,57,57,0,0.01,0.01,0.0,0.982,1.018,1,0,1,matched,
Dehalococcoidaceae,21,97,0.01,0.01,57,57,0,0.01,0.01,0.0,0.368,2.714,1,0,1,matched,
Ktedonobacteraceae,806,1977,0.31,0.17,55,55,0,0.01,0.01,0.0,14.655,0.068,1,0,1,matched,
Petrotogaceae,68,663,0.03,0.06,55,55,0,0.01,0.01,0.0,1.236,0.809,1,0,1,matched,
Thermosynechococcaceae,5,24,0.0,0.0,55,55,0,0.01,0.01,0.0,0.091,11.0,1,0,1,matched,
Halothiobacillaceae,76,284,0.03,0.02,55,55,0,0.01,0.01,0.0,1.382,0.724,1,0,1,matched,
Anaeromyxobacteraceae,170,951,0.06,0.08,55,55,0,0.01,0.01,0.0,3.091,0.324,1,0,1,matched,
Lacipirellulaceae,21,31,0.01,0.0,54,54,0,0.01,0.01,0.0,0.389,2.571,1,0,1,matched,
Thermoactinomycetaceae,118,303,0.04,0.03,54,54,0,0.01,0.01,0.0,2.185,0.458,1,0,1,matched,
Terrimicrobiaceae,99,933,0.04,0.08,53,53,0,0.01,0.01,0.0,1.868,0.535,1,0,1,matched,
Methanococcaceae,24,118,0.01,0.01,53,53,0,0.01,0.01,0.0,0.453,2.208,1,0,1,matched,
Coleofasciculaceae,127,570,0.05,0.05,52,52,0,0.01,0.01,0.0,2.442,0.409,1,0,1,matched,
Thermovirgaceae,89,366,0.03,0.03,51,51,0,0.01,0.01,0.0,1.745,0.573,1,0,1,matched,
Kangiellaceae,23,98,0.01,0.01,51,51,0,0.01,0.01,0.0,0.451,2.217,1,0,1,matched,
Geminicoccaceae,179,838,0.07,0.07,50,50,0,0.01,0.01,0.0,3.58,0.279,1,0,1,matched,
Endozoicomonadaceae,117,384,0.04,0.03,49,49,0,0.01,0.01,0.0,2.388,0.419,1,0,1,matched,
Lentimicrobiaceae,468,2483,0.18,0.21,48,48,0,0.01,0.01,0.0,9.75,0.103,1,0,1,matched,
Spongiibacteraceae,164,634,0.06,0.05,48,48,0,0.01,0.01,0.0,3.417,0.293,1,0,1,matched,
Desulfosarcinaceae,745,3063,0.28,0.26,48,48,0,0.01,0.01,0.0,15.521,0.064,1,0,1,matched,
Nannocystaceae,118,380,0.04,0.03,48,48,0,0.01,0.01,0.0,2.458,0.407,1,0,1,matched,
Methanomassiliicoccaceae,52,550,0.02,0.05,47,47,0,0.01,0.01,0.0,1.106,0.904,1,0,1,matched,
Dethiosulfovibrionaceae,27,93,0.01,0.01,47,47,0,0.01,0.01,0.0,0.574,1.741,1,0,1,matched,
Thermotogaceae,27,281,0.01,0.02,47,47,0,0.01,0.01,0.0,0.574,1.741,1,0,1,matched,
Desulfarculaceae,36,83,0.01,0.01,46,46,0,0.01,0.01,0.0,0.783,1.278,1,0,1,matched,
Tepidisphaeraceae,52,158,0.02,0.01,45,45,0,0.01,0.01,0.0,1.156,0.865,1,0,1,matched,
Sporolactobacillaceae,35,182,0.01,0.02,45,45,0,0.01,0.01,0.0,0.778,1.286,1,0,1,matched,
Desulfosalsimonadaceae,16,42,0.01,0.0,43,43,0,0.01,0.01,0.0,0.372,2.688,1,0,1,matched,
Thermoleophilaceae,4,20,0.0,0.0,42,42,0,0.01,0.01,0.0,0.095,10.5,1,0,1,matched,
Kordiimonadaceae,79,170,0.03,0.01,42,42,0,0.01,0.01,0.0,1.881,0.532,1,0,1,matched,
Chthonomonadaceae,157,499,0.06,0.04,41,41,0,0.01,0.01,0.0,3.829,0.261,1,0,1,matched,
