genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Succinispira,4,7,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Aestuariicoccus,10,12,0.0,0.0,1,1,1,0.0,0.0,100.0,10.0,0.1,1,1,-1,1,matched,Bacteria,
Hugenholtzia,9,39,0.0,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Gayadomonas,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Thermohydrogenium,1,41,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Alloactinosynnema,1,10,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Balneicella,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Calderihabitans,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Nitritalea,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Hapalosiphon,4,7,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Cronbergia,3,23,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Ancylothrix,3,7,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Caviibacterium,3,4,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Pilibacter,5,7,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Saliterribacillus,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Methanosphaerula,2,14,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Archaea,
Plectolyngbya,2,4,0.0,0.0,1,1,0,0.0,0.0,0.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Pseudospirillum,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,0,1,0,1,matched,Bacteria,
Nubsella,11,28,0.0,0.0,1,1,1,0.0,0.0,100.0,11.0,0.091,1,1,-1,1,matched,Bacteria,
Dissulfurimicrobium,13,56,0.0,0.0,1,1,1,0.0,0.0,100.0,13.0,0.077,1,1,-1,1,matched,Bacteria,
Fuchsiella,4,24,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Catenisphaera,19,61,0.01,0.01,1,1,1,0.0,0.0,100.0,19.0,0.053,1,1,-1,1,matched,Bacteria,
Flexithrix,19,52,0.01,0.0,1,1,1,0.0,0.0,100.0,19.0,0.053,1,1,-1,1,matched,Bacteria,
Fonticella,52,116,0.02,0.01,1,1,1,0.0,0.0,100.0,52.0,0.019,1,1,-1,1,matched,Bacteria,
Pseudahrensia,51,128,0.02,0.01,1,1,1,0.0,0.0,100.0,51.0,0.02,1,1,-1,1,matched,Bacteria,
Rhabdochromatium,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Anoxybacter,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Bogoriella,7,8,0.0,0.0,1,1,1,0.0,0.0,100.0,7.0,0.143,1,0,0,1,matched,Bacteria,
Jejudonia,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Sporotomaculum,3,3,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Maricurvus,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Potamolinea,3,9,0.0,0.0,1,1,0,0.0,0.0,0.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Baia,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Changchengzhania,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Allocatelliglobosispora,3,4,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Arboricoccus,4,4,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Nautella,4,15,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Gangjinia,7,9,0.0,0.0,1,1,1,0.0,0.0,100.0,7.0,0.143,1,1,-1,1,matched,Bacteria,
Devriesea,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Desulfoglaeba,1,4,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Aquisalibacillus,1,5,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Lutibaculum,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Magnetofaba,1,1,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Lysinimonas,5,117,0.0,0.01,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Iphinoe,2,5,0.0,0.0,1,1,0,0.0,0.0,0.0,2.0,0.5,1,0,0,1,matched,Bacteria,
Lacibacterium,2,8,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Haloactinospora,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Rhodobaculum,22,42,0.01,0.0,1,1,1,0.0,0.0,100.0,22.0,0.045,1,1,-1,1,matched,Bacteria,
Allosalinactinospora,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Allofustis,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Sporohalobacter,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Rapidithrix,9,15,0.0,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Sediminibacter,9,15,0.0,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Wandonia,7,67,0.0,0.01,1,1,1,0.0,0.0,100.0,7.0,0.143,1,1,-1,1,matched,Bacteria,
Salinactinospora,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Conservatibacter,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Desulfonispora,2,3,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Thiorhodospira,2,6,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Desulfofarcimen,249,289,0.09,0.02,1,1,1,0.0,0.0,100.0,249.0,0.004,1,1,-1,1,matched,Bacteria,
Thermovenabulum,5,15,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Inmirania,11,19,0.0,0.0,1,1,1,0.0,0.0,100.0,11.0,0.091,1,1,-1,1,matched,Bacteria,
Vitiosangium,5,89,0.0,0.01,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Thiobacter,5,17,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Carnimonas,5,8,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Halocella,24,57,0.01,0.0,1,1,1,0.0,0.0,100.0,24.0,0.042,1,1,-1,1,matched,Bacteria,
Chondrocystis,2,11,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Symplocastrum,2,7,0.0,0.0,1,1,0,0.0,0.0,0.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Natribacillus,3,3,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Pajaroellobacter,195,888,0.07,0.07,1,1,1,0.0,0.0,100.0,195.0,0.005,1,1,-1,1,matched,Bacteria,
Indibacter,3,4,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Fontibacter,3,6,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Ichthyenterobacterium,3,6,0.0,0.0,1,1,0,0.0,0.0,0.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Thermostaphylospora,7,23,0.0,0.0,1,1,1,0.0,0.0,100.0,7.0,0.143,1,1,-1,1,matched,Bacteria,
Compostimonas,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Cyanomargarita,1,3,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Pegethrix,1,5,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Mechercharimyces,1,5,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Streptohalobacillus,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Humitalea,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Scytonematopsis,1,4,0.0,0.0,1,1,0,0.0,0.0,0.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Allonocardiopsis,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Desertibacillus,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Halocalculus,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Archaea,
Brackiella,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Natronobacillus,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Moryella,49,92,0.02,0.01,1,1,1,0.0,0.0,100.0,49.0,0.02,1,1,-1,1,matched,Bacteria,
Longivirga,9,121,0.0,0.01,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Tuwongella,9,15,0.0,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Thermasporomyces,2,14,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Marinithermus,2,8,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Eilatimonas,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Chitinivibrio,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Neosynechococcus,2,5,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Methylohalomonas,5,6,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Marimicrobium,4,4,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Balnearium,4,21,0.0,0.0,1,1,1,0.0,0.0,100.0,4.0,0.25,1,1,-1,1,matched,Bacteria,
Thioflavicoccus,2,14,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Persicirhabdus,38,257,0.01,0.02,1,1,1,0.0,0.0,100.0,38.0,0.026,1,1,-1,1,matched,Bacteria,
Hartmannibacter,1,4,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Desulfurispira,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Hyella,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Limibacter,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Anaerobium,3,7,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Halobacteroides,3,19,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Hypnocyclicus,16,139,0.01,0.01,1,1,1,0.0,0.0,100.0,16.0,0.062,1,1,-1,1,matched,Bacteria,
Thioalkalicoccus,3,8,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Kribbia,3,4,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Halonatronum,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Aureisphaera,3,7,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Halodurantibacterium,9,33,0.0,0.0,1,1,1,0.0,0.0,100.0,9.0,0.111,1,1,-1,1,matched,Bacteria,
Marinibaculum,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Nemorincola,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Deinobacterium,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Imhoffiella,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Falsiporphyromonas,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Acetohalobium,3,8,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Seinonella,2,3,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Chrysiogenes,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Catelliglobosispora,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Ihubacter,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Demetria,2,4,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Costertonia,2,3,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Tepidisphaera,24,59,0.01,0.0,1,1,0,0.0,0.0,0.0,24.0,0.042,1,1,-1,1,matched,Bacteria,
Irregularibacter,11,24,0.0,0.0,1,1,1,0.0,0.0,100.0,11.0,0.091,1,1,-1,1,matched,Bacteria,
Nafulsella,5,8,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Negadavirga,5,6,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Albirhodobacter,5,24,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Mastigocladopsis,5,5,0.0,0.0,1,1,1,0.0,0.0,100.0,5.0,0.2,1,1,-1,1,matched,Bacteria,
Phaseolibacter,2,5,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Salicola,3,17,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Sphingoaurantiacus,17,44,0.01,0.0,1,1,1,0.0,0.0,100.0,17.0,0.059,1,1,-1,1,matched,Bacteria,
Desulforegula,3,7,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Fastidiosibacter,3,3,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Saonia,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Thiobaca,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Rhizocola,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Phaeovibrio,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Longimycelium,8,21,0.0,0.0,1,1,1,0.0,0.0,100.0,8.0,0.125,1,1,-1,1,matched,Bacteria,
Oceanibacterium,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Ochrovirga,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Acanthopleuribacter,45,72,0.02,0.01,1,1,1,0.0,0.0,100.0,45.0,0.022,1,1,-1,1,matched,Bacteria,
Rubidibacter,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Fulvitalea,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Parvibium,8,14,0.0,0.0,1,1,1,0.0,0.0,100.0,8.0,0.125,1,1,-1,1,matched,Bacteria,
Dethiosulfatarculus,2,2,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Namhaeicola,2,5,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Filobacillus,2,3,0.0,0.0,1,1,1,0.0,0.0,100.0,2.0,0.5,1,1,-1,1,matched,Bacteria,
Paramaledivibacter,8,12,0.0,0.0,1,1,1,0.0,0.0,100.0,8.0,0.125,1,1,-1,1,matched,Bacteria,
Actinorhabdospora,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Sediminitomix,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Litoribaculum,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Natronobiforma,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Archaea,
Tamaricihabitans,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Fodinibacter,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Echinimonas,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Subsaxibacter,8,11,0.0,0.0,1,1,1,0.0,0.0,100.0,8.0,0.125,1,1,-1,1,matched,Bacteria,
Halarsenatibacter,8,15,0.0,0.0,1,1,1,0.0,0.0,100.0,8.0,0.125,1,1,-1,1,matched,Bacteria,
Faucicola,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Luethyella,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Woodsholea,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Oceaniserpentilla,3,9,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Siansivirga,3,5,0.0,0.0,1,1,1,0.0,0.0,100.0,3.0,0.333,1,1,-1,1,matched,Bacteria,
Anaerobacterium,17,19,0.01,0.0,1,1,1,0.0,0.0,100.0,17.0,0.059,1,1,-1,1,matched,Bacteria,
Desulfocarbo,17,46,0.01,0.0,1,1,1,0.0,0.0,100.0,17.0,0.059,1,1,-1,1,matched,Bacteria,
Clostridiisalibacter,17,28,0.01,0.0,1,1,1,0.0,0.0,100.0,17.0,0.059,1,1,-1,1,matched,Bacteria,
Rudaeicoccus,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Ravibacter,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Sungkyunkwania,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Plastorhodobacter,1,3,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Hydrocoleum,1,2,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Duncaniella,0,0,0.0,0.0,2999,8,8,0.13,0.01,0.27,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mycobacteroides,0,0,0.0,0.0,2537,23,2537,0.11,0.03,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mediterraneibacter,0,0,0.0,0.0,1057,49,384,0.05,0.07,36.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Stutzerimonas,0,0,0.0,0.0,1041,24,323,0.05,0.03,31.03,,,0,0,0,0,ncbi_only,Bacteria,0.0
Segatella,0,0,0.0,0.0,943,20,317,0.04,0.03,33.62,,,0,0,0,0,ncbi_only,Bacteria,0.0
Gemmiger,0,0,0.0,0.0,916,20,23,0.04,0.03,2.51,,,0,0,0,0,ncbi_only,Bacteria,0.0
Kineothrix,0,0,0.0,0.0,853,6,5,0.04,0.01,0.59,,,0,0,0,0,ncbi_only,Bacteria,0.0
Priestia,0,0,0.0,0.0,692,50,678,0.03,0.07,97.98,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aliarcobacter,0,0,0.0,0.0,654,11,576,0.03,0.02,88.07,,,0,0,0,0,ncbi_only,Bacteria,0.0
Nitrospira,0,0,0.0,0.0,627,65,17,0.03,0.09,2.71,,,0,0,0,0,ncbi_only,Bacteria,0.0
Paramuribaculum,0,0,0.0,0.0,581,2,3,0.03,0.0,0.52,,,0,0,0,0,ncbi_only,Bacteria,0.0
Enterocloster,0,0,0.0,0.0,542,18,158,0.02,0.02,29.15,,,0,0,0,0,ncbi_only,Bacteria,0.0
Mammaliicoccus,0,0,0.0,0.0,515,74,492,0.02,0.1,95.53,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thomasclavelia,0,0,0.0,0.0,503,14,156,0.02,0.02,31.01,,,0,0,0,0,ncbi_only,Bacteria,0.0
Prevotellamassilia,0,0,0.0,0.0,489,3,2,0.02,0.0,0.41,,,0,0,0,0,ncbi_only,Bacteria,0.0
Dysosmobacter,0,0,0.0,0.0,348,7,9,0.02,0.01,2.59,,,0,0,0,0,ncbi_only,Bacteria,0.0
Faecousia,0,0,0.0,0.0,342,10,1,0.02,0.01,0.29,,,0,0,0,0,ncbi_only,Bacteria,0.0
Turicimonas,0,0,0.0,0.0,327,2,4,0.01,0.0,1.22,,,0,0,0,0,ncbi_only,Bacteria,0.0
Peribacillus,0,0,0.0,0.0,280,77,274,0.01,0.11,97.86,,,0,0,0,0,ncbi_only,Bacteria,0.0
Prescottella,0,0,0.0,0.0,280,7,272,0.01,0.01,97.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Parasphingorhabdus,0,0,0.0,0.0,270,8,7,0.01,0.01,2.59,,,0,0,0,0,ncbi_only,Bacteria,0.0
Duodenibacillus,0,0,0.0,0.0,240,5,1,0.01,0.01,0.42,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhodococcoides,0,0,0.0,0.0,230,6,225,0.01,0.01,97.83,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anaerobutyricum,0,0,0.0,0.0,222,8,28,0.01,0.01,12.61,,,0,0,0,0,ncbi_only,Bacteria,0.0
Heyndrickxia,0,0,0.0,0.0,199,23,189,0.01,0.03,94.97,,,0,0,0,0,ncbi_only,Bacteria,0.0
Xylanibacter,0,0,0.0,0.0,188,7,19,0.01,0.01,10.11,,,0,0,0,0,ncbi_only,Bacteria,0.0
Sodaliphilus,0,0,0.0,0.0,176,5,2,0.01,0.01,1.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pseudosulfitobacter,0,0,0.0,0.0,174,5,171,0.01,0.01,98.28,,,0,0,0,0,ncbi_only,Bacteria,0.0
Schaedlerella,0,0,0.0,0.0,169,3,3,0.01,0.0,1.78,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hominenteromicrobium,0,0,0.0,0.0,162,2,7,0.01,0.0,4.32,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hoylesella,0,0,0.0,0.0,155,10,41,0.01,0.01,26.45,,,0,0,0,0,ncbi_only,Bacteria,0.0
Cytobacillus,0,0,0.0,0.0,154,41,146,0.01,0.06,94.81,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aquiluna,0,0,0.0,0.0,153,8,23,0.01,0.01,15.03,,,0,0,0,0,ncbi_only,Bacteria,0.0
Faecalibacillus,0,0,0.0,0.0,150,9,59,0.01,0.01,39.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Vreelandella,0,0,0.0,0.0,147,41,129,0.01,0.06,87.76,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tidjanibacter,0,0,0.0,0.0,147,5,1,0.01,0.01,0.68,,,0,0,0,0,ncbi_only,Bacteria,0.0
Evtepia,0,0,0.0,0.0,144,5,2,0.01,0.01,1.39,,,0,0,0,0,ncbi_only,Bacteria,0.0
Waltera,0,0,0.0,0.0,144,4,6,0.01,0.01,4.17,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ectopseudomonas,0,0,0.0,0.0,135,9,116,0.01,0.01,85.93,,,0,0,0,0,ncbi_only,Bacteria,0.0
Neobacillus,0,0,0.0,0.0,134,59,127,0.01,0.08,94.78,,,0,0,0,0,ncbi_only,Bacteria,0.0
Allosphingosinicella,0,0,0.0,0.0,120,4,2,0.01,0.01,1.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Leyella,0,0,0.0,0.0,115,2,11,0.01,0.0,9.57,,,0,0,0,0,ncbi_only,Bacteria,0.0
Macrococcoides,0,0,0.0,0.0,110,4,98,0.0,0.01,89.09,,,0,0,0,0,ncbi_only,Bacteria,0.0
