genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Streptosporangium,18,126,0.01,0.01,106,65,106,0.0,0.09,100.0,0.277,3.611,1,1,-1,1,matched,Bacteria,
Prosthecobacter,51,510,0.02,0.04,106,9,7,0.0,0.01,6.6,5.667,0.176,1,1,-1,1,matched,Bacteria,
Spirosoma,100,247,0.04,0.02,104,38,37,0.0,0.05,35.58,2.632,0.38,1,1,-1,1,matched,Bacteria,
Leptospirillum,110,418,0.04,0.03,104,8,10,0.0,0.01,9.62,13.75,0.073,1,1,-1,1,matched,Bacteria,
Ochrobactrum,99,783,0.04,0.07,103,84,90,0.0,0.11,87.38,1.179,0.848,1,1,-1,1,matched,Bacteria,
Muricauda,63,244,0.02,0.02,103,40,34,0.0,0.05,33.01,1.575,0.635,0,1,0,1,matched,Bacteria,
Azonexus,13,53,0.0,0.0,102,7,9,0.0,0.01,8.82,1.857,0.538,1,1,-1,1,matched,Bacteria,
Paraglaciecola,29,187,0.01,0.02,101,20,30,0.0,0.03,29.7,1.45,0.69,1,1,-1,1,matched,Bacteria,
Yoonia,7,41,0.0,0.0,101,26,37,0.0,0.04,36.63,0.269,3.714,1,1,-1,1,matched,Bacteria,
Planktothrix,21,207,0.01,0.02,101,18,62,0.0,0.02,61.39,1.167,0.857,1,1,-1,1,matched,Bacteria,
Dokdonella,64,239,0.02,0.02,100,7,8,0.0,0.01,8.0,9.143,0.109,1,1,-1,1,matched,Bacteria,
Sulfobacillus,45,92,0.02,0.01,100,7,14,0.0,0.01,14.0,6.429,0.156,1,1,-1,1,matched,Bacteria,
Borrelia,15,92,0.01,0.01,100,25,100,0.0,0.03,100.0,0.6,1.667,1,1,-1,1,matched,Bacteria,
Marinobacterium,74,364,0.03,0.03,98,44,47,0.0,0.06,47.96,1.682,0.595,1,1,-1,1,matched,Bacteria,
Dyella,35,296,0.01,0.02,98,56,77,0.0,0.08,78.57,0.625,1.6,1,1,-1,1,matched,Bacteria,
Lutibacter,53,272,0.02,0.02,97,21,19,0.0,0.03,19.59,2.524,0.396,1,1,-1,1,matched,Bacteria,
Chthoniobacter,328,1537,0.13,0.13,97,4,2,0.0,0.01,2.06,82.0,0.012,1,1,-1,1,matched,Bacteria,
Fructilactobacillus,4,4,0.0,0.0,97,11,96,0.0,0.02,98.97,0.364,2.75,1,1,-1,1,matched,Bacteria,
Lachnobacterium,3,16,0.0,0.0,97,3,5,0.0,0.0,5.15,1.0,1.0,1,1,-1,1,matched,Bacteria,
Chloracidobacterium,11,127,0.0,0.01,97,14,11,0.0,0.02,11.34,0.786,1.273,1,1,-1,1,matched,Bacteria,
Trichococcus,30,231,0.01,0.02,97,14,19,0.0,0.02,19.59,2.143,0.467,1,1,-1,1,matched,Bacteria,
Pedosphaera,32,64,0.01,0.01,97,4,1,0.0,0.01,1.03,8.0,0.125,1,1,-1,1,matched,Bacteria,
Haloarcula,48,276,0.02,0.02,96,64,92,0.0,0.09,95.83,0.75,1.333,1,1,-1,1,matched,Archaea,
Halomicroarcula,30,68,0.01,0.01,96,64,92,0.0,0.09,95.83,0.469,2.133,0,1,0,1,matched,Archaea,
Methylocystis,29,270,0.01,0.02,96,30,37,0.0,0.04,38.54,0.967,1.034,1,1,-1,1,matched,Bacteria,
Blattabacterium,12,54,0.0,0.0,95,12,94,0.0,0.02,98.95,1.0,1.0,1,1,-1,1,matched,Bacteria,
