phylum,census_otu_count,census_size_count,otu_percentage,size_percentage,gtdb_genome_count,gtdb_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,coverage_percentage
JdFR-76,0,0,0.0,0.0,18,18,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Goldbacteria,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
BMS3Abin14,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
RBG-13-66-14,0,0,0.0,0.0,15,15,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
QNDG01,0,0,0.0,0.0,14,14,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
4484-113,0,0,0.0,0.0,13,13,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
TA06,0,0,0.0,0.0,13,13,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CG2-30-53-67,0,0,0.0,0.0,12,12,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CAIJMQ01,0,0,0.0,0.0,12,12,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SpSt-1190,0,0,0.0,0.0,12,12,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
NPL-UPA2,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAGLYR01,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CG2-30-70-394,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
FCPU426,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Huberarchaeota,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CLD3,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Lernaellota,0,0,0.0,0.0,11,11,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Undinarchaeota,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DRYD01,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
CSSED10-310,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SZUA-182,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP17,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA1439,0,0,0.0,0.0,10,10,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP15,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Calescibacterota,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JABDJQ01,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAAXVQ01,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
AUK180,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Desantisbacteria,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Tectomicrobia,0,0,0.0,0.0,9,9,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP13,0,0,0.0,0.0,8,8,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP18,0,0,0.0,0.0,8,8,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Schekmanbacteria,0,0,0.0,0.0,8,8,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
ARS69,0,0,0.0,0.0,8,8,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBA6266,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Wallbacteria,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JADFOP01,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
SM23-31,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
Thermodesulfobiota,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JANLFM01,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
DUMJ01,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
JAHJDO01,0,0,0.0,0.0,7,7,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
UBP7,0,0,0.0,0.0,6,6,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
PUNC01,0,0,0.0,0.0,6,6,0,0.0,0.0,0.0,,,0,0,0,gtdb_only,0.0
