family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Hadesarchaea.U.family,223,671,0.09,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tissierellia.U.family,221,604,0.08,0.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Atribacterota.U.family,215,1295,0.08,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halobacteria.U.family,211,707,0.08,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Armatimonadales.U.family,206,644,0.08,0.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Entomoplasmatales.U.family,202,604,0.08,0.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bradymonadales.U.family,196,769,0.07,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Verrucomicrobiales.U.family,181,812,0.07,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chthoniobacterales.U.family,174,848,0.07,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Odinarchaeia.U.family,169,511,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Limnochordia.U.family,166,489,0.06,0.04,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methylococcales.U.family,157,820,0.06,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nanoarchaeota.U.family,147,379,0.06,0.03,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
WWE3.U.family,387,1278,0.15,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phycisphaerales.U.family,383,1027,0.15,0.09,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Blastocatellia.U.family,366,1390,0.14,0.12,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Lokiarchaeia.U.family,362,1328,0.14,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Vicinamibacteria.U.family,347,1645,0.13,0.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Spirosomaceae,346,2439,0.13,0.2,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
metagenome.Mitochondria,333,1693,0.13,0.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacteroidia.U.family,326,1307,0.12,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Polyangiales.U.family,311,1423,0.12,0.12,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Solirubrobacterales.U.family,309,2175,0.12,0.18,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacillales.U.family,308,1263,0.12,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermodesulfobacteriota.U.family,307,1480,0.12,0.12,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermococci.U.family,298,1319,0.11,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfuromonadia.U.family,280,980,0.11,0.08,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Elusimicrobiota.U.family,267,743,0.1,0.06,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Abitibacteriaceae,257,816,0.1,0.07,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Planctomycetales.U.family,713,3264,0.27,0.27,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacilli.U.family,691,2261,0.26,0.19,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitrososphaeria.U.family,619,2993,0.24,0.25,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Armatimonadota.U.family,593,1638,0.23,0.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ardenticatenales.U.family,553,1552,0.21,0.13,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bdellovibrionales.U.family,544,2058,0.21,0.17,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Eubacteriales.U.family,542,1060,0.21,0.09,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermodesulfovibrionia.U.family,532,1861,0.2,0.16,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Flavobacteriales.U.family,530,3714,0.2,0.31,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chitinophagales.U.family,527,2355,0.2,0.2,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cyanobacteriota.U.family,464,972,0.18,0.08,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermomicrobiales.U.family,453,1637,0.17,0.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Erysipelotrichales.U.family,423,1697,0.16,0.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Holophagae.U.family,419,2673,0.16,0.22,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ktedonobacteria.U.family,409,945,0.16,0.08,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dojkabacteria.U.family,398,1302,0.15,0.11,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidimicrobiia.U.family,1406,10022,0.54,0.84,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoplasmata.U.family,1333,7908,0.51,0.66,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sphingobacteriales.U.family,1120,7226,0.43,0.6,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pseudomonadales.U.family,1109,8970,0.42,0.75,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Burkholderiales.U.family,1092,6916,0.42,0.58,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Rhodospirillales.U.family,1015,4712,0.39,0.39,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Rickettsiales.U.family,1009,3120,0.38,0.26,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Myxococcota.U.family,936,3460,0.36,0.29,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Vicinamibacterales.U.family,913,3855,0.35,0.32,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacillota.U.family,892,2493,0.34,0.21,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Tepidisphaerales.U.family,870,2540,0.33,0.21,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gaiellales.U.family,855,6562,0.33,0.55,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Rhodobacterales.U.family,807,3134,0.31,0.26,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Oligoflexia.U.family,761,2051,0.29,0.17,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gemmatimonadota.U.family,759,2803,0.29,0.23,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Actinomycetota.U.family,743,5173,0.28,0.43,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Salinisphaerales.U.family,24,45,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Hydrogenimonaceae,22,70,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gemmatimonadetes.U.family,22,184,0.01,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Micrococcales.U.family,22,56,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Spirochaetales.U.family,21,165,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Mollicutes.U.family,20,103,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Synechococcales.U.family,18,96,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Enterobacterales.U.family,16,25,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Xanthomonadales.U.family,15,80,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermoplasmatales.U.family,14,57,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
MD2896-B216.U.family,14,32,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cenarchaeaceae,14,78,0.01,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Euryarchaeota.U.family,14,52,0.01,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Betaproteobacteria.U.family,13,220,0.0,0.02,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Alteromonadales.U.family,13,31,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Schizotrichaceae,13,20,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Ignavibacteria.U.family,8,20,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Atribacteria.U.family,8,110,0.0,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thioprofundaceae,8,24,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Procabacteriaceae,8,24,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfurellales.U.family,7,10,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfofabaceae,7,21,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Opitutae.U.family,7,11,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Planctomycetia.U.family,7,35,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Dapisostemonaceae,1,2,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Selenomonadales.U.family,1,6,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Geobacterales.U.family,1,1,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermomicrobia.U.family,1,6,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Anaerolineales.U.family,1,13,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfarculales.U.family,1,2,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nitrososphaerota.U.family,1,13,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Godleyaceae,1,2,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Streptosporangiales.U.family,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sphingomonadales.U.family,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sulfolobales.U.family,2,37,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Deferribacterales.U.family,2,14,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Silvanigrellales.U.family,2,8,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chroococcidiopsidales.U.family,2,2,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanomicrobia.U.family,2,6,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Romeriaceae,1,4,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Parviterribacteraceae,12,73,0.0,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Methanocellales.U.family,11,39,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Aquificales.U.family,11,73,0.0,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halobacteriales.U.family,10,121,0.0,0.01,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Opitutales.U.family,9,19,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermolithobacteraceae,9,19,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Puniceicoccales.U.family,9,22,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chloroflexales.U.family,9,22,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermotogales.U.family,4,52,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acholeplasmatales.U.family,4,5,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Synergistales.U.family,4,18,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Sphingobacteriia.U.family,4,5,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Oceanospirillales.U.family,4,5,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nostocales.U.family,3,7,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Desulfovibrionales.U.family,3,8,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Acidithiobacillales.U.family,3,14,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thiotrichales.U.family,3,14,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Cardiobacteriales.U.family,3,8,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Zetaproteobacteria.U.family,3,16,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Spartobacteria.U.family,3,5,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Flavobacteriia.U.family,3,22,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Actinomycetes.U.family,3,5,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Halanaerobiales.U.family,3,3,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Spirillaceae,3,4,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacteroidota.U.family,1737,9120,0.66,0.76,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Oligoflexales.U.family,7,26,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Filobacteriaceae,6,50,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chroococcales.U.family,6,8,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Nanohaloarchaea.U.family,6,15,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Pelagibacteraceae,6,22,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Thermotogae.U.family,5,41,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Caulobacterales.U.family,5,7,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Mycobacteriales.U.family,4,9,0.0,0.0,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Chloroflexota.U.family,1816,14646,0.69,1.23,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
ABY1.U.family,1711,5467,0.65,0.46,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Gammaproteobacteria.U.family,3688,17379,1.41,1.45,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Alphaproteobacteria.U.family,4185,24462,1.6,2.05,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Bacteria.U.family,4221,19550,1.61,1.64,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Verrucomicrobiota.U.family,5114,15199,1.95,1.27,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Clostridia.U.family,5378,13639,2.05,1.14,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
Phycisphaerae.U.family,1714,4606,0.65,0.39,0,0,0,0.0,0.0,0.0,inf,0.0,0,0,0,0,census_only,Unknown,
