family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,taxid_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Balneicellaceae,1,1,0.0,0.0,1,1,1,0.0,0.0,100.0,1.0,1.0,1,1,-1,1,matched,Bacteria,
Thermotomaculaceae,20,72,0.01,0.01,1,1,1,0.0,0.0,100.0,20.0,0.05,1,1,-1,1,matched,Bacteria,
Symphyonemataceae,10,15,0.0,0.0,1,1,1,0.0,0.0,100.0,10.0,0.1,1,1,-1,1,matched,Bacteria,
Acutalibacteraceae,0,0,0.0,0.0,1793,50,39,0.08,0.06,2.18,,,0,0,0,0,ncbi_only,Bacteria,0.0
Sedimenticolaceae,0,0,0.0,0.0,869,66,18,0.04,0.08,2.07,,,0,0,0,0,ncbi_only,Bacteria,0.0
Butyricicoccaceae,0,0,0.0,0.0,693,65,68,0.03,0.08,9.81,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anaerotignaceae,0,0,0.0,0.0,436,10,14,0.02,0.01,3.21,,,0,0,0,0,ncbi_only,Bacteria,0.0
Balneolaceae,0,0,0.0,0.0,426,82,37,0.02,0.1,8.69,,,0,0,0,0,ncbi_only,Bacteria,0.0
Ignavibacteriaceae,0,0,0.0,0.0,373,5,1,0.02,0.01,0.27,,,0,0,0,0,ncbi_only,Bacteria,0.0
Microthrixaceae,0,0,0.0,0.0,371,78,2,0.02,0.1,0.54,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anoxybacillaceae,0,0,0.0,0.0,360,121,343,0.02,0.15,95.28,,,0,0,0,0,ncbi_only,Bacteria,0.0
Methanomethylophilaceae,0,0,0.0,0.0,342,9,47,0.01,0.01,13.74,,,0,0,0,0,ncbi_only,Archaea,0.0
Salinibacteraceae,0,0,0.0,0.0,296,12,256,0.01,0.02,86.49,,,0,0,0,0,ncbi_only,Bacteria,0.0
Roseomonadaceae,0,0,0.0,0.0,275,105,139,0.01,0.13,50.55,,,0,0,0,0,ncbi_only,Bacteria,0.0
Acidocellaceae,0,0,0.0,0.0,215,46,33,0.01,0.06,15.35,,,0,0,0,0,ncbi_only,Bacteria,0.0
Spirosomataceae,0,0,0.0,0.0,203,109,111,0.01,0.14,54.68,,,0,0,0,0,ncbi_only,Bacteria,0.0
Filifactoraceae,0,0,0.0,0.0,202,15,14,0.01,0.02,6.93,,,0,0,0,0,ncbi_only,Bacteria,0.0
Victivallaceae,0,0,0.0,0.0,191,8,6,0.01,0.01,3.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Casimicrobiaceae,0,0,0.0,0.0,173,3,1,0.01,0.0,0.58,,,0,0,0,0,ncbi_only,Bacteria,0.0
Miltoncostaeaceae,0,0,0.0,0.0,169,4,120,0.01,0.01,71.01,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pseudohongiellaceae,0,0,0.0,0.0,156,9,16,0.01,0.01,10.26,,,0,0,0,0,ncbi_only,Bacteria,0.0
Vulcanimicrobiaceae,0,0,0.0,0.0,147,12,1,0.01,0.02,0.68,,,0,0,0,0,ncbi_only,Bacteria,0.0
Gemellaceae,0,0,0.0,0.0,131,24,48,0.01,0.03,36.64,,,0,0,0,0,ncbi_only,Bacteria,0.0
Clostridiales Family XVII. Incertae Sedis,0,0,0.0,0.0,126,17,21,0.01,0.02,16.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Flectobacillaceae,0,0,0.0,0.0,122,37,56,0.01,0.05,45.9,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aestuariivirgaceae,0,0,0.0,0.0,115,7,5,0.0,0.01,4.35,,,0,0,0,0,ncbi_only,Bacteria,0.0
Acidaminobacteraceae,0,0,0.0,0.0,113,5,2,0.0,0.01,1.77,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tenuifilaceae,0,0,0.0,0.0,100,7,4,0.0,0.01,4.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Dongiaceae,0,0,0.0,0.0,98,12,9,0.0,0.02,9.18,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lentisphaeraceae,0,0,0.0,0.0,95,9,3,0.0,0.01,3.16,,,0,0,0,0,ncbi_only,Bacteria,0.0
Chitinibacteraceae,0,0,0.0,0.0,87,60,66,0.0,0.08,75.86,,,0,0,0,0,ncbi_only,Bacteria,0.0
Leadbetterellaceae,0,0,0.0,0.0,85,35,34,0.0,0.04,40.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Nodulariaceae,0,0,0.0,0.0,83,22,67,0.0,0.03,80.72,,,0,0,0,0,ncbi_only,Bacteria,0.0
Usitatibacteraceae,0,0,0.0,0.0,82,4,5,0.0,0.01,6.1,,,0,0,0,0,ncbi_only,Bacteria,0.0
Aquaspirillaceae,0,0,0.0,0.0,81,9,56,0.0,0.01,69.14,,,0,0,0,0,ncbi_only,Bacteria,0.0
Treboniaceae,0,0,0.0,0.0,78,3,1,0.0,0.0,1.28,,,0,0,0,0,ncbi_only,Bacteria,0.0
Litorivicinaceae,0,0,0.0,0.0,66,4,27,0.0,0.01,40.91,,,0,0,0,0,ncbi_only,Bacteria,0.0
Tepidiformaceae,0,0,0.0,0.0,64,7,3,0.0,0.01,4.69,,,0,0,0,0,ncbi_only,Bacteria,0.0
Fictibacillaceae,0,0,0.0,0.0,63,37,58,0.0,0.05,92.06,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rhodoblastaceae,0,0,0.0,0.0,63,6,14,0.0,0.01,22.22,,,0,0,0,0,ncbi_only,Bacteria,0.0
Nitrosotaleaceae,0,0,0.0,0.0,61,8,6,0.0,0.01,9.84,,,0,0,0,0,ncbi_only,Archaea,0.0
Haladaptataceae,0,0,0.0,0.0,54,46,53,0.0,0.06,98.15,,,0,0,0,0,ncbi_only,Archaea,0.0
Thiohalomonadaceae,0,0,0.0,0.0,53,5,2,0.0,0.01,3.77,,,0,0,0,0,ncbi_only,Bacteria,0.0
Oceanococcaceae,0,0,0.0,0.0,51,8,2,0.0,0.01,3.92,,,0,0,0,0,ncbi_only,Bacteria,0.0
Phototrophicaceae,0,0,0.0,0.0,50,2,1,0.0,0.0,2.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Moorellaceae (nom. illeg.),0,0,0.0,0.0,48,16,37,0.0,0.02,77.08,,,0,0,0,0,ncbi_only,Bacteria,0.0
Rubricoccaceae,0,0,0.0,0.0,47,10,7,0.0,0.01,14.89,,,0,0,0,0,ncbi_only,Bacteria,0.0
Pontiellaceae,0,0,0.0,0.0,47,8,6,0.0,0.01,12.77,,,0,0,0,0,ncbi_only,Bacteria,0.0
Owenweeksiaceae,0,0,0.0,0.0,46,6,2,0.0,0.01,4.35,,,0,0,0,0,ncbi_only,Bacteria,0.0
Anaerohalosphaeraceae,0,0,0.0,0.0,43,3,1,0.0,0.0,2.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Nodosilineaceae,0,0,0.0,0.0,42,24,14,0.0,0.03,33.33,,,0,0,0,0,ncbi_only,Bacteria,0.0
Monoglobaceae,0,0,0.0,0.0,40,4,2,0.0,0.01,5.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Thiohalobacteraceae,0,0,0.0,0.0,40,6,4,0.0,0.01,10.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Caldicellulosiruptoraceae,0,0,0.0,0.0,38,15,38,0.0,0.02,100.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfurivibrionaceae,0,0,0.0,0.0,34,1,0,0.0,0.0,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Natronincolaceae,0,0,0.0,0.0,32,21,17,0.0,0.03,53.12,,,0,0,0,0,ncbi_only,Bacteria,0.0
Magnetovibrionaceae,0,0,0.0,0.0,32,5,2,0.0,0.01,6.25,,,0,0,0,0,ncbi_only,Bacteria,0.0
Coraliomargaritaceae,0,0,0.0,0.0,32,11,6,0.0,0.01,18.75,,,0,0,0,0,ncbi_only,Bacteria,0.0
Novispirillaceae,0,0,0.0,0.0,30,11,23,0.0,0.01,76.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Verrucomicrobia subdivision 6,0,0,0.0,0.0,30,7,0,0.0,0.01,0.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Lichenihabitantaceae,0,0,0.0,0.0,30,10,8,0.0,0.01,26.67,,,0,0,0,0,ncbi_only,Bacteria,0.0
Baekduiaceae,0,0,0.0,0.0,27,5,3,0.0,0.01,11.11,,,0,0,0,0,ncbi_only,Bacteria,0.0
Abditibacteriaceae,0,0,0.0,0.0,26,4,1,0.0,0.01,3.85,,,0,0,0,0,ncbi_only,Bacteria,0.0
Chryseotaleaceae,0,0,0.0,0.0,26,8,5,0.0,0.01,19.23,,,0,0,0,0,ncbi_only,Bacteria,0.0
Trichocoleusaceae,0,0,0.0,0.0,26,21,22,0.0,0.03,84.62,,,0,0,0,0,ncbi_only,Bacteria,0.0
Waddliaceae,0,0,0.0,0.0,25,3,3,0.0,0.0,12.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Dethiobacteraceae,0,0,0.0,0.0,24,5,3,0.0,0.01,12.5,,,0,0,0,0,ncbi_only,Bacteria,0.0
Methylopilaceae,0,0,0.0,0.0,24,16,18,0.0,0.02,75.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Guptibacillaceae,0,0,0.0,0.0,21,7,19,0.0,0.01,90.48,,,0,0,0,0,ncbi_only,Bacteria,0.0
Desulfatiglandaceae,0,0,0.0,0.0,20,4,1,0.0,0.01,5.0,,,0,0,0,0,ncbi_only,Bacteria,0.0
Hydrogenimonadaceae,0,0,0.0,0.0,19,5,7,0.0,0.01,36.84,,,0,0,0,0,ncbi_only,Bacteria,0.0
