DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Archaea_genome_counts
Haloterrigena_gelatinilytica_species_2741724	2
uncultured_Thermosphaera_sp._species_905013	2
Methanobacterium_paludis_species_868131	2
Haloplanus_ruber_species_869892	2
Halohasta_litorea_species_869891	2
Sulfolobus_polyhedral_virus_3_species_3020474	2
Metallosphaera_turreted_icosahedral_virus_3_species_3020472	2
Natronoarchaeum_mannanilyticum_species_926360	2
Halobellus_salinus_species_931585	2
Haloarcula_sebkhae_species_932660	2
Methanobacterium_petrolearium_species_710190	2
Methanobrevibacter_intestini_species_2911853	2
Nitrosopumilus_zosterae_species_718286	2
Haloarcula_sinaiiensis_species_35742	2
Halobellus_limi_species_699433	2
Halolamina_pelagica_species_699431	2
