DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_genome_counts
Vitis_cinerea_var._helleri_x_Vitis_riparia_species_152274	15
Bemisia_tabaci_species_7038	15
Hordeum_bulbosum_species_4516	15
Malassezia_pachydermatis_species_77020	15
Ascomycota_sp._species_1709939	15
Beauveria_brongniartii_species_118266	15
Bombyx_mori_species_7091	15
[Candida]_sp._uncertain_placement_species_1853550	15
Cryptosporidium_hominis_species_237895	15
Macaca_mulatta_species_9544	14
Macaca_fascicularis_species_9541	14
Aphanomyces_astaci_species_112090	14
Candida_metapsilosis_species_273372	14
Saccharomyces_eubayanus_species_1080349	14
Fusarium_avenaceum_species_40199	14
Saccharomycetaceae_sp._species_1769366	14
Neurospora_cerealis_species_29881	14
Manihot_esculenta_species_3983	14
Cucumis_sativus_species_3659	14
Pan_troglodytes_species_9598	14
Clonostachys_rosea_species_29856	14
Aspergillus_luchuensis_species_1069201	14
Arachis_hypogaea_species_3818	14
Penicillium_palitans_species_293373	14
Blastomyces_percursus_species_1658174	14
Cenchrus_americanus_species_4543	14
Fragaria_x_ananassa_species_3747	13
Beauveria_asiatica_species_1069075	13
Chlorella_sorokiniana_species_3076	13
Purpureocillium_lilacinum_species_33203	13
Penicillium_oxalicum_species_69781	13
Neocallimastix_californiae_species_1754190	13
Neurospora_sp._CHS-2018b_species_2304650	13
Aspergillus_lentulus_species_293939	13
Coccidioides_posadasii_species_199306	13
Callithrix_jacchus_species_9483	13
Phytophthora_nicotianae_species_4792	13
Elephas_maximus_species_9783	13
Trichosporon_asahii_species_82508	13
Leishmania_braziliensis_species_5660	13
Saccharomycopsis_crataegensis_species_43959	13
Metschnikowia_pulcherrima_species_27326	13
Penicillium_expansum_species_27334	13
Heterobasidion_irregulare_species_984962	13
Monascus_purpureus_species_5098	13
Phytophthora_fragariae_species_53985	13
Ilyonectria_mors-panacis_species_1079131	13
Aspergillus_spinulosporus_species_1810908	12
Larix_gmelinii_species_123599	12
Aspergillus_parasiticus_species_5067	12
Epichloe_typhina_species_5113	12
Macrophomina_pseudophaseolina_species_1435034	12
Malassezia_globosa_species_76773	12
uncultured_Malassezia_species_338567	12
Tilletia_controversa_species_13291	12
Phaffia_rhodozyma_species_264483	12
Solanum_pimpinellifolium_species_4084	12
Heliconius_pardalinus_species_33441	12
Galdieria_sulphuraria_species_130081	12
Leishmania_donovani_species_5661	12
Temoridae_sp._species_2922392	12
Anopheles_coluzzii_species_1518534	12
Prunus_persica_species_3760	12
Vitis_heyneana_species_345147	12
Ziziphus_jujuba_species_326968	12
Entamoeba_histolytica_species_5759	12
Cryptococcus_deuterogattii_species_1859096	12
Phytophthora_kernoviae_species_325452	12
Heligmosomoides_polygyrus_species_6339	12
Biomphalaria_glabrata_species_6526	12
Lupinus_angustifolius_species_3871	12
Talaromyces_pinophilus_species_128442	12
Beauveria_varroae_species_1069079	11
Didymella_pinodes_species_749589	11
Apis_cerana_species_7461	11
Fusarium_commune_species_249398	11
Theobroma_cacao_species_3641	11
Penicillium_rubens_species_1108849	11
Vitis_rotundifolia_species_103349	11
Ornithodoros_moubata_species_6938	11
Akanthomyces_dipterigenus_species_132109	11
Vitis_cinerea_var._helleri_x_Vitis_rupestris_species_104324	11
Ogataea_angusta_species_870730	11
Helianthus_annuus_species_4232	11
Chlamydomonas_reinhardtii_species_3055	11
Cyprinus_carpio_species_7962	11
Eurotiomycetes_sp._species_1709936	11
Bacillariophyta_sp._species_2082584	11
Akanthomyces_lecanii_species_2714763	11
Punica_granatum_species_22663	11
Epichloe_bromicola_species_79588	11
Cyberlindnera_jadinii_species_4903	11
Heliconius_elevatus_species_33444	11
Penicillium_polonicum_species_60169	11
Penicillium_solitum_species_60172	11
Phytophthora_sojae_species_67593	11
Ustilago_hordei_species_120017	11
Spraguea_lophii_species_51541	11
Solanum_americanum_species_109975	11
Nasonovia_ribisnigri_species_269403	11
Exophiala_spinifera_species_91928	11
Malassezia_sympodialis_species_76777	11
Bipolaris_maydis_species_5016	11
Trichoderma_atroviride_species_63577	11
[Candida]_nonsorbophila_species_456248	11
Mortierella_alpina_species_64518	11
