Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
Mb5C-lineage,NA,46,111,Mb5C-lineage,original_name,NA
Saccharomycotina_X,147537,46,237,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ascomycota;saccharomyceta;Saccharomycotina;Saccharomycotina_X,cellular root;domain;clade;kingdom;subkingdom;phylum;clade;subphylum;original_name,131567;2759;33154;4751;451864;4890;716545;147537;147537
Vermamoebidae,NA,46,155,,,
Caenogastropoda,69555,45,225,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;class;subclass,131567;2759;33154;33208;6072;33213;33317;2697495;1206795;6447;6448;69555
Peronosporomycetes_X.U.family,NA,44,130,Peronosporomycetes_X.U.family,original_name,NA
Neobodonidae,NA,43,74,,,
Ustilaginomycotina.U.family,452284,43,1134,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Ustilaginomycotina;Ustilaginomycotina.U.family,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;original_name,131567;2759;33154;4751;451864;5204;452284;452284
Collophidiidae,1656265,42,87,cellular organisms;Eukaryota;Sar;Rhizaria;Retaria;Polycystinea;Collodaria;Collophidiidae,cellular root;domain;clade;clade;clade;class;order;family,131567;2759;2698737;543769;2662056;65582;1426915;1656265
Novel-Gran-6,NA,42,142,Novel-Gran-6,original_name,NA
Pseudocolliniidae,1416935,40,96,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Oligohymenophorea;Apostomatia;Apostomatida;Pseudocolliniidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;6020;3158537;524891;1416935
Eustigmatophyceae_XX,5747,39,315,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Eustigmatophyceae;Eustigmatophyceae_XX,cellular root;domain;clade;clade;clade;class;original_name,131567;2759;2698737;33634;2696291;5747;5747
Novel-clade-10_X,NA,38,48,Novel-clade-10_X,original_name,NA
Urotrichidae,457377,38,128,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Prostomatea;Prorodontida;Urotrichidae,cellular root;domain;clade;clade;phylum;subphylum;class;order;family,131567;2759;2698737;33630;5878;431838;6000;6001;457377
Acinetidae_2,239359,37,104,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Suctoria;Endogenida;Acinetidae;Acinetidae_2,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family;original_name,131567;2759;2698737;33630;5878;431838;37471;39462;163662;239359;239359
Stygamoebida_XX,1485089,37,120,cellular organisms;Eukaryota;Amoebozoa;Discosea;Stygamoebida;Stygamoebida_XX,cellular root;domain;clade;phylum;order;original_name,131567;2759;554915;555280;1485089;1485089
Merostomata,6844,36,122,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Merostomata,cellular root;domain;clade;kingdom;clade;clade;clade;clade;clade;phylum;subphylum;class,131567;2759;33154;33208;6072;33213;33317;1206794;88770;6656;6843;6844
Pelagomonadaceae,3235057,36,182,cellular organisms;Eukaryota;Sar;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;Pelagomonadaceae,cellular root;domain;clade;clade;clade;class;order;family,131567;2759;2698737;33634;2696291;35675;54409;3235057
Suctoria.U.family,39462,36,87,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Suctoria;Suctoria.U.family,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;original_name,131567;2759;2698737;33630;5878;431838;37471;39462;39462
Amoebidae,35218,35,66,cellular organisms;Eukaryota;Amoebozoa;Tubulinea;Elardia;Euamoebida;Amoebidae,cellular root;domain;clade;phylum;class;order;family,131567;2759;554915;555369;2681632;180229;35218
Filoretidae_X,NA,34,52,Filoretidae_X,original_name,NA
Pelobiontida_X,2682475,34,67,cellular organisms;Eukaryota;Amoebozoa;Evosea;Archamoebae;Pelobiontida;Pelobiontida_X,cellular root;domain;clade;phylum;clade;order;original_name,131567;2759;554915;2605435;555406;2682475;2682475
Filosa-Thecofilosea.U.family,NA,33,84,Filosa-Thecofilosea.U.family,original_name,NA
Gromiidae,35215,33,56,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Gromiida;Gromiidae,cellular root;domain;clade;clade;phylum;order;family,131567;2759;2698737;543769;2604748;2910923;35215
