Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Gaiellales.U.family,1154584,855,0.33,6562,0.55,cellular organisms;Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;1783272;201174;1497346;1154584;1154584
Oxalobacteraceae,75682,808,0.31,4531,0.38,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;80840;75682
Rhodobacterales.U.family,204455,807,0.31,3134,0.26,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacterales.U.family,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;204455;204455
Ktedonobacteraceae,388449,806,0.31,1977,0.17,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;200795;388447;388448;388449
Chthoniobacteraceae,1836792,791,0.3,4749,0.4,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Spartobacteria;Chthoniobacterales;Chthoniobacteraceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;134549;1836787;1836792
Oligoflexia.U.family,1553900,761,0.29,2051,0.17,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Oligoflexia.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;3018035;1553900;1553900
Gemmatimonadota.U.family,142182,759,0.29,2803,0.23,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadota.U.family,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783270;142182;142182
Kofleriaceae,224464,749,0.29,3138,0.26,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Haliangiales;Kofleriaceae,cellular root;domain;kingdom;phylum;subclass;order;family,131567;2;3379134;2818505;3031711;3031714;224464
Desulfosarcinaceae,3031624,745,0.28,3063,0.26,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;213118;3031624
Corynebacteriaceae,1653,745,0.28,4544,0.38,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85007;1653
Actinomycetota.U.family,201174,743,0.28,5173,0.43,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetota.U.family,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;201174;201174
Prolixibacteraceae,1471398,742,0.28,2281,0.19,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae,cellular root;domain;kingdom;clade;clade;phylum;class;order;family,131567;2;3379134;1783270;68336;976;200643;1970189;1471398
Coxiellaceae,118968,727,0.28,1485,0.12,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Legionellales;Coxiellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;118969;118968
Sulfurovaceae,2771472,714,0.27,1957,0.16,cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Sulfurovaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;29547;3031852;213849;2771472
Planctomycetales.U.family,112,713,0.27,3264,0.27,cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetales.U.family,cellular root;domain;kingdom;clade;phylum;class;order;original_name,131567;2;3379134;1783257;203682;203683;112;112
Nitrosomonadaceae,206379,710,0.27,6210,0.52,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;28216;32003;206379
Thermoanaerobaculaceae,2562242,708,0.27,2663,0.22,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;1562571;2562241;2562242
Bacilli.U.family,91061,691,0.26,2261,0.19,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacilli.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2;1783272;1239;91061;91061
Desulfobacteraceae,213119,685,0.26,2486,0.21,cellular organisms;Bacteria;Pseudomonadati;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;200940;3024418;213118;213119
Propionibacteriaceae,31957,675,0.26,4329,0.36,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;31957
Nocardioidaceae,85015,667,0.25,2782,0.23,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;1783272;201174;1760;85009;85015
Pyrinomonadaceae,2048906,659,0.25,3239,0.27,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Pyrinomonadaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;1562566;1748771;2048906
Bryobacteraceae,1962910,650,0.25,2629,0.22,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;57723;204432;332160;1962910
Pasteurellaceae,712,650,0.25,4161,0.35,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae,cellular root;domain;kingdom;phylum;class;order;family,131567;2;3379134;1224;1236;135625;712
Verrucomicrobiaceae,203557,623,0.24,4565,0.38,cellular organisms;Bacteria;Pseudomonadati;PVC group;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Verrucomicrobiaceae,cellular root;domain;kingdom;clade;phylum;class;order;family,131567;2;3379134;1783257;74201;203494;48461;203557
Nitrososphaeria.U.family,1643678,619,0.24,2993,0.25,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrososphaeria.U.family,cellular root;domain;kingdom;phylum;class;original_name,131567;2157;1783275;651137;1643678;1643678
