Name_to_use,taxid,otu_count,otu_percentage,size_count,size_percentage,lineage,lineage_ranks,lineage_taxids
Staphylococcus,1279,824,0.31,7225,0.6,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;1783272;1239;91061;1385;90964;1279
Rhodobacterales.U.genus,204455,807,0.31,3134,0.26,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacterales.U.genus,cellular root;domain;kingdom;phylum;class;order;original_name,131567;2;3379134;1224;28211;204455;204455
Spirochaeta,146,791,0.3,2833,0.24,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;203691;203692;136;137;146
Ktedonobacteraceae.U.genus,388449,777,0.3,1859,0.16,cellular organisms;Bacteria;Bacillati;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacteraceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;1783272;200795;388447;388448;388449;388449
Spirochaetaceae.U.genus,137,776,0.3,2428,0.2,cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaetaceae.U.genus,cellular root;domain;kingdom;phylum;class;order;family;original_name,131567;2;3379134;203691;203692;136;137;137
Oligoflexia.U.genus,1553900,761,0.29,2051,0.17,cellular organisms;Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Oligoflexia.U.genus,cellular root;domain;kingdom;phylum;class;original_name,131567;2;3379134;3018035;1553900;1553900
Gemmatimonadota.U.genus,142182,759,0.29,2803,0.23,cellular organisms;Bacteria;Pseudomonadati;FCB group;Gemmatimonadota;Gemmatimonadota.U.genus,cellular root;domain;kingdom;clade;phylum;original_name,131567;2;3379134;1783270;142182;142182
Acinetobacter,469,749,0.29,4886,0.41,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,cellular root;domain;kingdom;phylum;class;order;family;genus,131567;2;3379134;1224;1236;2887326;468;469
Haliangium,162027,748,0.29,3124,0.26,cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Haliangiales;Kofleriaceae;Haliangium,cellular root;domain;kingdom;phylum;subclass;order;family;genus,131567;2;3379134;2818505;3031711;3031714;224464;162027
Actinomycetota.U.genus,201174,743,0.28,5173,0.43,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetota.U.genus,cellular root;domain;kingdom;phylum;original_name,131567;2;1783272;201174;201174
