DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_genome_counts
COLOR	#ff0000
Pyrinomonadaceae_bacterium_species_2283092	717
uncultured_SAR86_cluster_bacterium_species_648174	712
Ilumatobacteraceae_bacterium_species_2497619	708
Corynebacterium_striatum_species_43770	705
Comamonadaceae_bacterium_species_1871071	702
uncultured_Verrucomicrobiota_bacterium_species_156588	702
Lacticaseibacillus_rhamnosus_species_47715	699
Phycisphaerales_bacterium_species_2052180	695
uncultured_Flavobacteriales_bacterium_species_213322	690
Providencia_rettgeri_species_587	679
Burkholderia_cenocepacia_species_95486	676
Bifidobacterium_pseudocatenulatum_species_28026	673
Treponema_sp._species_166	668
Acidobacteriaceae_bacterium_species_2052142	667
Solirubrobacteraceae_bacterium_species_2586742	652
uncultured_Bacteroidia_bacterium_species_1129257	651
Vibrio_crassostreae_species_246167	650
Bifidobacterium_breve_species_1685	646
Streptococcus_thermophilus_species_1308	640
Thermoanaerobaculia_bacterium_species_2651171	638
Solirubrobacterales_bacterium_species_1909295	638
uncultured_Acidimicrobiaceae_bacterium_species_410722	637
Mycoplasmopsis_bovis_species_28903	631
Lacticaseibacillus_paracasei_species_1597	625
Eubacterium_sp._species_142586	625
Segatella_copri_species_165179	611
uncultured_Treponema_sp._species_162155	609
Mesorhizobium_sp._species_1871066	591
uncultured_Desulfovibrio_sp._species_167968	580
Rhodospirillales_bacterium_species_2026786	579
Collinsella_sp._species_1965294	574
Xanthomonas_oryzae_species_347	572
Treponema_pallidum_species_160	571
Raoultella_ornithinolytica_species_54291	568
Steroidobacteraceae_bacterium_species_2689616	566
uncultured_Opitutia_bacterium_species_575426	564
Erysipelotrichaceae_bacterium_species_2049044	564
uncultured_Planctomycetaceae_bacterium_species_100233	564
Terriglobia_bacterium_species_2081523	564
Acinetobacter_nosocomialis_species_106654	564
uncultured_Burkholderiales_bacterium_species_208544	563
Aeromonas_hydrophila_species_644	563
Bifidobacterium_pseudolongum_species_1694	563
uncultured_Pseudomonadales_bacterium_species_332614	555
Gaiellaceae_bacterium_species_2838783	555
Staphylococcus_saprophyticus_species_29385	551
Spirochaetota_bacterium_species_2202144	551
Flavobacterium_sp._species_239	545
Chitinophagales_bacterium_species_2448779	539
Campylobacter_fetus_species_196	538
Streptococcus_mutans_species_1309	538
Myxococcales_bacterium_species_2026763	537
Phycisphaerae_bacterium_species_2026778	536
Rhodospirillaceae_bacterium_species_1898112	535
Phocaeicola_dorei_species_357276	535
Paramuribaculum_intestinale_species_2094151	534
uncultured_Roseburia_sp._species_512314	534
Myxococcota_bacterium_species_2818507	527
Christensenellales_bacterium_species_3083246	525
Desulfobacterales_bacterium_species_2044940	522
Duncaniella_muris_species_2094150	521
Muribaculum_intestinale_species_1796646	518
Streptococcus_salivarius_species_1304	516
uncultured_Anaeroplasmataceae_bacterium_species_658266	515
Verrucomicrobiales_bacterium_species_2026801	514
Pseudomonas_putida_species_303	513
uncultured_Chlorobiaceae_bacterium_species_243904	511
Bifidobacterium_bifidum_species_1681	509
Pseudomonas_sp._species_306	509
uncultured_Christensenellaceae_bacterium_species_1229255	509
Oenococcus_oeni_species_1247	508
Ralstonia_solanacearum_species_305	508
Citrobacter_koseri_species_545	508
uncultured_Hungatella_sp._species_1751881	503
Clostridiaceae_bacterium_species_1898204	500
Crocinitomicaceae_bacterium_species_2026728	498
Bacteroides_sp._species_29523	498
Bacteroides_acidifaciens_species_85831	497
Candidatus_Dormiibacterota_bacterium_species_2052315	488
