DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Bacteria_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Alloalcanivorax_genus_3020832	11
Piscinibacter_genus_1114981	11
Varibaculum_genus_184869	7
Faecalimonas_genus_2005355	3
Lautropia_genus_47670	7
Edaphobacter_genus_388463	12
Roseiarcus_genus_1643958	3
Muriicola_genus_762641	8
Cylindrospermopsis_genus_77021	3
Candidatus Nanosynbacter_genus_2093823	17
Ornithobacterium_genus_28250	2
Chryseolinea_genus_1433993	7
Candidatus Scalindua_genus_236756	9
Cardiobacterium_genus_2717	6
Metapseudomonas_genus_3236656	5
Persephonella_genus_182899	6
Parvimonas_genus_543311	17
Litorivivens_genus_1654711	2
Aridibacter_genus_1562564	2
Fischerella_genus_1190	12
Rathayibacter_genus_33886	100
Propionivibrio_genus_83766	7
Sarcina_genus_1266	5
Candidatus Scybalocola (ex Gilroy et al. 2021)_genus_2840618	4
Henriciella_genus_453849	10
Allomuricauda_genus_111500	40
Schaalia_genus_2529408	25
Candidatus Carsonella_genus_114185	3
Candidatus Saccharicenans_genus_2508983	2
Candidatus Cybelea_genus_2829308	1
Octadecabacter_genus_53945	12
Vescimonas_genus_2892396	4
Brevibacterium_genus_1696	98
Methylibium_genus_316612	9
Propionicimonas_genus_236052	3
Gaiella_genus_1154586	4
Cereibacter_genus_1653176	7
Candidatus Fonsibacter_genus_2045213	7
Photorhabdus_genus_29487	45
Thalassospira_genus_168934	50
Rahnella_genus_34037	39
Ectopseudomonas_genus_3236654	10
Cypionkella_genus_2804673	5
Malacoplasma_genus_2791001	5
Thermoflexus_genus_1495649	6
Lelliottia_genus_1330545	20
Rudaea_genus_886360	4
Marinoscillum_genus_643701	7
Chlorobium_genus_1091	11
Ignavibacterium_genus_795750	3
Flavipsychrobacter_genus_2307285	3
Agitococcus_genus_186829	3
Pseudescherichia_genus_2055880	4
Aequorivita_genus_153265	45
Mobiluncus_genus_2050	7
Enterorhabdus_genus_580024	4
Schlesneria_genus_656899	5
Alloscardovia_genus_419014	8
Albidovulum_genus_205889	8
Dolosigranulum_genus_29393	2
Hymenobacter_genus_89966	141
Candidatus Limisoma_genus_2840527	4
Candidatus Darwinibacter_genus_3082382	1
Negativibacillus_genus_1980693	4
Rhodopseudomonas_genus_1073	21
Candidatus Syntrophosphaera_genus_2593013	2
Metallibacterium_genus_1218803	2
Candidatus Acidulodesulfobacterium_genus_2597222	4
Qipengyuania_genus_1855416	53
Anoxybacillus_genus_150247	36
Cycloclasticus_genus_34067	14
Endomicrobium_genus_1408194	8
Thermodesulfovibrio_genus_28261	13
Roseibacillus_genus_518755	5
Gluconobacter_genus_441	41
Niallia_genus_2837506	27
Gemella_genus_1378	22
Victivallis_genus_172900	6
Candidatus Competibacter_genus_221279	4
Thiomicrorhabdus_genus_2039723	17
Mixta_genus_2100764	10
Marinovum_genus_367771	7
Brochothrix_genus_2755	3
Petrimonas_genus_307628	5
Dinoroseobacter_genus_309512	4
Marinosulfonomonas_genus_50056	3
Azoarcus_genus_12960	14
Pseudocitrobacter_genus_1504576	9
Segetibacter_genus_460073	5
Cellulosimicrobium_genus_157920	31
Lacunisphaera_genus_1961799	2
Gallintestinimicrobium_genus_2981633	2
Jatrophihabitans_genus_1434010	7
Candidatus Obscuribacter_genus_1906156	2
Spirosoma_genus_107	38
