DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Viruses_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
LEGEND_SHAPES	1
LEGEND_COLORS	#4a90e2
LEGEND_LABELS	Number of species
DATA
Wbetavirus_genus_1623308	16
Gegevirus_genus_2948723	1
Justusliebigvirus_genus_2948775	32
Neritesvirus_genus_2948838	1
Orthopicobirnavirus_genus_2948851	1
Potamoivirus_genus_2948872	2
Betatectivirus_genus_2169670	6
Thetahypovirus_genus_2948923	4
Unuamitovirus_genus_2948940	45
Alisovirus_genus_2946789	1
Betafusarivirus_genus_2946823	11
Chalconvirus_genus_2948659	2
Tigrvirus_genus_2733083	6
Teetrevirus_genus_2732693	64
Berlinvirus_genus_2732677	38
Phietavirus_genus_1623298	55
Eracentumvirus_genus_2732926	4
Charybdisvirus_genus_2733100	1
Warwickvirus_genus_2732068	44
Webervirus_genus_1920860	160
Kanaloavirus_genus_2733107	5
Mazuvirus_genus_2733113	1
Nodensvirus_genus_2733120	1
Salacisavirus_genus_2733129	3
Salmondvirus_genus_2733130	2
Mukerjeevirus_genus_2733146	4
Ronaldovirus_genus_2733205	4
Samwavirus_genus_2733208	5
Bymovirus_genus_39731	7
Sprivivirus_genus_1513299	2
Eurybiavirus_genus_2733104	3
Camtrevirus_genus_2843363	3
Vapseptimavirus_genus_2841281	1
Leicestervirus_genus_2843416	5
Latrobevirus_genus_2843415	1
Gemygorvirus_genus_1985366	9
Kenoshavirus_genus_2842796	20
Gyrovirus_genus_227307	17
Ceduovirus_genus_186532	51
Uwajimavirus_genus_2843469	2
Ronodorvirus_genus_2843447	2
Paundecimvirus_genus_2842942	7
Rahariannevirus_genus_2843443	1
Rerduovirus_genus_1982375	35
Ravarandavirus_genus_2843444	3
Halcyonevirus_genus_2843388	5
Penoulivirus_genus_2842950	27
Irrigatiovirus_genus_2842764	1
Astrithrvirus_genus_2843350	2
Moabitevirus_genus_2843422	5
Spumavirus_genus_11640	4
Iotapapillomavirus_genus_325456	2
Muvirus_genus_186777	8
Takahashivirus_genus_2843463	4
Cheoctovirus_genus_1623281	204
Badnavirus_genus_10652	94
Samunavirus_genus_2560221	8
Rhopapillomavirus_genus_936057	2
