DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Eukaryota_species_per_genus
COLOR	#4a90e2
LEGEND_TITLE	Species Count
Hyalomma_genus_34625	2
Gynochthodes_genus_59634	1
Notamacropus_genus_1960649	4
Daphnia_genus_6668	9
Nothobranchius_genus_28779	2
Musca_genus_7369	3
Solenopsis_genus_13685	2
Phialophora_genus_5600	6
Anser_genus_8842	4
Lymantria_genus_13122	2
Rosellinia_genus_77043	1
Ganoderma_genus_5314	9
Bactrocera_genus_27456	9
Moesziomyces_genus_63261	6
Tetranychus_genus_32263	4
Diuraphis_genus_143947	1
Mythimna_genus_103830	11
Ficus_genus_3493	7
Tursiops_genus_9738	2
Delphinapterus_genus_9748	1
Ephestia_genus_943732	2
Oreochromis_genus_8139	7
Aplysina_genus_121476	3
Misgurnus_genus_7983	2
Ustilaginoidea_genus_124426	2
Spirodela_genus_4473	2
Tremella_genus_105767	3
Lonchura_genus_40156	1
Tricholoma_genus_40144	11
Gemmamyces_genus_1788373	1
Leptopilina_genus_63429	6
Durio_genus_66655	1
Nomascus_genus_325165	5
Austropuccinia_genus_2234120	1
Euwallacea_genus_124011	2
Spheniscus_genus_9239	4
Ostrea_genus_37858	3
Cercospora_genus_29002	18
Exserohilum_genus_91493	2
Coffea_genus_13442	4
Laetiporus_genus_5629	1
Saccharomycodes_genus_36034	1
Boletus_genus_5369	64
Acetabularia_genus_3136	1
Trichosurus_genus_9336	2
Pangasianodon_genus_30992	2
Manis_genus_9973	4
Hydrangea_genus_23109	1
Mechanitis_genus_127244	5
Ananas_genus_4614	1
Collybia_genus_5624	4
Diaporthe_genus_36922	34
Diaphorina_genus_121844	1
Cricetulus_genus_10028	1
Astyanax_genus_7993	1
Carassius_genus_7956	4
Encephalitozoon_genus_6033	4
Oryctolagus_genus_9984	1
Hypocrella_genus_42305	1
Wolfiporia_genus_81055	2
Hydra_genus_6083	3
Lolium_genus_4520	3
Aphelenchoides_genus_90723	4
Zeugodacus_genus_47833	2
Rutilus_genus_48667	1
Branchiostoma_genus_7737	5
Cimex_genus_30079	2
Sporisorium_genus_63265	6
Lepeophtheirus_genus_72035	2
Hyphopichia_genus_507510	7
Wickerhamiella_genus_45787	33
Plagiodera_genus_154016	1
Panthera_genus_9688	5
Lactuca_genus_4235	3
Kurtzmaniella_genus_549703	18
Rhipicephalus_genus_34630	4
Castor_genus_10184	1
Pygoscelis_genus_9237	3
Salix_genus_40685	11
Sesamum_genus_4181	8
Plutella_genus_51654	1
Willaertia_genus_51640	1
Diceros_genus_9804	1
Hevea_genus_3980	1
Zaprionus_genus_7296	18
Ganaspis_genus_63430	2
Eschrichtius_genus_9763	1
Tylopilus_genus_80671	25
Cladosporium_genus_5498	25
Tenebrio_genus_7066	1
Phragmites_genus_15745	1
Galleria_genus_7136	1
Portunus_genus_80835	3
Lyophyllum_genus_47720	4
Haliaeetus_genus_8968	6
Eleusine_genus_4510	2
Culex_genus_7174	6
Dioscorea_genus_4672	5
Nicotiana_genus_4085	13
Cystobasidium_genus_203525	10
Popillia_genus_7063	1
Catharanthus_genus_4057	1
Mangifera_genus_23461	1
Rosa_genus_3764	11
Trachinotus_genus_173330	3
Episyrphus_genus_286458	1
Hippopotamus_genus_9832	1
Pararge_genus_111932	2
Vanilla_genus_51238	1
Ophiocordyceps_genus_474995	11
Coemansia_genus_4863	146
Dugong_genus_29136	1
Trifolium_genus_3898	9
Penaeus_genus_133894	5
Nelumbo_genus_4430	2
Vombatus_genus_29138	1
Oryctes_genus_72549	2
Waitea_genus_63236	1
Leptinotarsa_genus_7538	10
Felis_genus_9682	3
Sebastes_genus_34820	80
Daubentonia_genus_13038	1
Cyphellophora_genus_226991	2
Pieris_genus_7115	6
Geranomyces_genus_1126249	2
Podila_genus_2779937	7
Anastrepha_genus_28585	3
Macrobrachium_genus_6696	3
Rubus_genus_23216	6
Ciona_genus_7718	2
Perkinsus_genus_28000	4
Daldinia_genus_42360	12
Avena_genus_4496	5
Ophiosphaerella_genus_33174	3
Perilla_genus_48385	1
Symphalangus_genus_325166	1
Lycaon_genus_9621	1
Schwanniomyces_genus_766758	7
Fasciola_genus_6191	2
Drepanopeziza_genus_2081418	1
Acropora_genus_6127	25
Cafeteria_genus_33652	2
Marmota_genus_9992	5
Muntiacus_genus_9885	5
