taxon_name,taxid,occurrence_count,rank
Perkinsida_XX,27998,221,order
Perkinsida_XXX,27998,221,order
Lecanoromycetes,147547,220,class
Drosophila,7215,217,genus
Chlamydomonadales_X,3042,217,order
Neovahlkampfia,166955,211,genus
Neovahlkampfiidae,2602010,211,family
Acantharea_3a,65574,208,class
Acantharea_3a_X,65574,208,class
Dino-Group-I-Clade-5_X,NA,196,NA
Dino-Group-I-Clade-5,NA,196,NA
Eupetalomonads_X,NA,192,NA
Eupetalomonads_XX,NA,192,NA
Digenea,6179,190,subclass
Schistosoma,6181,190,genus
Fungi_XXX,4751,190,kingdom
Fungi_XXXX,4751,190,kingdom
Centroplasthelida,193537,185,class
Kinetoplastea_XX,5653,183,class
Dino-Group-I-Clade-4,NA,182,NA
Dino-Group-I-Clade-4_X,NA,182,NA
Sessilida,1974272,174,order
WIM80-lineage_X,NA,173,NA
WIM80-lineage,NA,173,NA
Actinocephalidae,650287,172,family
Phaeosphaeria,55067,172,genus
Rehmannia,99299,160,genus
Rhizophydiales_X,451442,157,order
Rhizophydiales_XX,451442,157,order
Cercomonadidae,45108,154,family
Difflugina,2681634,151,suborder
Bullinularia,318543,151,genus
Salpingoecidae_Group_C1,81529,148,family
Salpingoecidae_Group_C1_X,81529,148,family
Trypanosomatidae,5654,147,family
Nolandellidae_X,NA,142,NA
Nolandellidae,NA,142,NA
Rotifera_XX,10190,135,phylum
Rhogostoma-lineage,981201,134,genus
Rhogostoma-lineage_X,981201,134,genus
Copromyxa,931553,133,genus
Branchiopoda,6658,132,class
Vorticella,60849,132,genus
Monocystis,110315,131,genus
Arachnida,6854,130,class
Gregarinidae,35088,130,family
Tremellomycetes,155616,126,class
Schizoplasmodiidae,2681886,124,family
Acanthamoebidae,33677,123,family
Dino-Group-I-Clade-1_X,NA,116,NA
Dino-Group-I-Clade-1,NA,116,NA
Psalteriomonadidae,1129782,108,family
Sawyeria,194529,108,genus
Chromadorea_XX,119089,104,class
Acanthamoeba,5754,104,genus
Plasmodiidae,1639119,103,family
Theileria1,5873,101,genus
Theileriidae,27994,101,family
Penicillium,5073,100,genus
Gastrotricha_XX,33313,99,phylum
Chaetonotus,68038,98,genus
Monothalamids_XX,1505960,92,clade
Dino-Group-II-Clade-3,NA,92,NA
Dino-Group-II-Clade-3_X,NA,92,NA
Kinetoplastea_XXX,5653,90,class
Bellemerea,170001,90,genus
Glycine,3846,85,genus
Trypanosoma,5690,85,genus
Suctoria_XX,39462,83,subclass
Allogromiina,NA,83,NA
Suctoria_X,39462,83,subclass
Endostelium-lineage,668361,82,genus
Endostelium,668361,82,genus
Dino-Group-II-Clade-1,NA,80,NA
Dino-Group-II-Clade-1_X,NA,80,NA
Cyclotrichium_like_organism_XX,696132,79,genus
Rigifilida_XXXX,1237875,79,order
Rigifilida,1237875,79,order
Cyclotrichium,696132,79,genus
Ectocarpus,2879,77,genus
Phaeophyceae_XX,2870,77,class
Sarcocystidae,5809,76,family
Sarcocystis10,5812,76,genus
AND16-lineage,1481724,75,species
AND16-lineage_X,1481724,75,species
Mucoromycotina_X,451507,75,subphylum
Leidyana2,196592,73,genus
Blastocystis-Group,12967,72,genus
Mammalia_X,40674,72,class
Blastocystis,12967,72,genus
Russula,5402,71,genus
Pristionchus,54125,70,genus
Neocercomonas,268487,69,genus
Ustanciosporium,307709,69,genus
Ustilaginomycetes,5257,69,class
Eimeriidae,5799,68,family
Eimeria1,5800,68,genus
Rhizopus,4842,67,genus
Phytophthora,4783,67,genus
Scytomonas,1732441,66,genus
Teleostei,32443,65,infraclass
Danio,7954,65,genus
Parameciidae,340080,65,family
Paramecium,5884,65,genus
Cryptosporidiidae,35082,64,family
Isaria,72232,64,genus
Maxillopoda_X,NA,63,NA
Labyrinthulaceae,35132,62,family
Culex,7174,62,genus
Labyrinthula,35133,62,genus
Flamella-lineage,490353,62,genus
Flamella,490353,62,genus
Phryganellina,318517,62,suborder
Harpellales,61421,60,order
LOS7N/I-lineage,NA,60,NA
Smittium,4888,60,genus
Tetramitia_I_X,2601529,58,clade
Tetramitia_I_XX,2601529,58,clade
Rattus,10114,58,genus
Bicoecaceae_X,238883,57,family
Caenorhabditis,6237,57,genus
Bicoecaceae,238883,57,family
Vannella,95228,56,genus
Dothideomycetes_X,147541,56,class
Vannellidae,95227,56,family
Chlorociboria,54692,56,genus
Corynespora,59585,55,genus
Ulva,3118,55,genus
Ulvales-relatives_X,3113,55,order
Neocallimastigomycota_XXX,451455,54,class
Neocallimastigomycota_XX,451455,54,class
Paramoebidae,200887,54,family
Leptomonas,5683,53,genus
Spizellomycetaceae,34479,52,family
Spizellomyces,4815,52,genus
Picozoa,419944,51,phylum
Picomonadidae,1315717,51,family
Picomonas,1315712,51,genus
Mariager-Fjord-lineage_X,NA,50,NA
Cavernomonas,686739,50,genus
Sey055-lineage,NA,50,NA
Sey055-lineage_X,NA,50,NA
Mariager-Fjord-lineage,NA,50,NA
Cryptosporidium1,5806,50,genus
Annelida_XX,6340,49,phylum
Acyrthosiphon,7028,49,genus
NPK2-lineage_X,NA,48,NA
Echinodermata_XXX,7586,48,phylum
NPK2-lineage,NA,48,NA
Protaspa-lineage,1938521,48,genus
Exophiala,5583,48,genus
Echinodermata_XX,7586,48,phylum
Aspergillus,5052,48,genus
Trimitus,306058,47,genus
Hartmannella,5777,46,genus
Saccharomycotina_X,147537,46,subphylum
Mb5C-lineage_X,NA,46,NA
Mb5C-lineage,NA,46,NA
Vermamoebidae,NA,46,NA
Pycnora,318745,46,genus
Conus,6490,45,genus
Caenogastropoda,69555,45,subclass
Plasmodium1,5820,44,genus
Protaspa-lineage_X,1938521,44,genus
Neobodo,312470,43,genus
Neobodonidae,NA,43,NA
Novel-Gran-6_X,NA,42,NA
Collophidium,1130125,42,genus
Novel-Gran-6,NA,42,NA
Trichosporon,5552,42,genus
Collophidiidae,1656265,42,family
Pseudocolliniidae,1416935,40,family
Hyaloscypha,47747,40,genus
Fusiforma,1416936,40,genus
Eustigmatophyceae_XX,5747,39,class
Nannochloropsis,5748,39,genus
Novel-clade-10_XX,NA,38,NA
Urotricha,457378,38,genus
Urotrichidae,457377,38,family
Novel-clade-10_X,NA,38,NA
Stygamoebida_XX,1485089,37,order
Acineta_1,78690,37,genus
Kinetoplastea_XX_MET10,5653,37,class
Acinetidae_2,239359,37,family
Stygamoebida_XXX,1485089,37,order
Limulus,6849,36,genus
Aureococcus,44055,36,genus
Merostomata,6844,36,class
Pelagomonadaceae,3235057,36,family
Amoebidae,35218,35,family
Chaos,160821,35,genus
Anthoptilum,86570,35,genus
Pelobiontida_X,2682475,34,order
Mastigella,180814,34,genus
Korotnevella,200888,34,genus
Filoretidae_X,NA,34,NA
Filoreta,1407634,34,genus
Gromia,35216,33,genus
Tokophrya,168138,33,genus
Gromiidae,35215,33,family
Tokophryidae,168137,33,family
Hexamita,13567,32,genus
LOS7N/I-lineage_X,NA,31,NA
Spinibdella,768103,31,genus
Arcellinida_X,318493,30,order
Physochila,1165382,30,genus
Arabidopsis,3701,30,genus
Blastocladiomycetes,451460,29,class
Ptolemeba,1525728,29,genus
Teratosphaeria,237584,29,genus
Candida,5475,29,genus
Physcomitrella,3217,28,genus
Paradinidae,NA,27,NA
Paradinium,492102,27,genus
Zoopagomycota_XX,1913638,27,phylum
Tremellomycetes_X,155616,27,class
Gregarina3,35089,27,genus
Gyropaigne,86636,26,genus
Tholoniidae,NA,26,NA
Rhabdomonadales,86649,26,order
Tholomura,2748069,26,genus
Trichocladium,290625,25,genus
Chlorellales_XX,35460,25,order
Trochilia,1170543,25,genus
Dysteriidae,238903,25,family
Distigma,83913,24,genus
Spadicoides,439828,24,genus
Distigmidae,2704119,24,family
Chlamydomonas,3052,23,genus
Auxenochlorella,191392,23,genus
Kinetoplastea_XX_MET8,5653,23,class
Babesiidae,32594,23,family
NC12A-lineage,NA,22,NA
NC12A-lineage_X,NA,22,NA
Rhabdocoela,27901,21,order
Eurytemora,88014,21,genus
Enoplea_X,119088,21,class
Unclassified_Provorticidae,12908,21,no rank
Stylocephalidae,650329,20,family
Cercomonas,45109,20,genus
Coccomyxa,41891,20,genus
Ceratiomyxella,661161,20,genus
Hemimastigophora,2489521,20,phylum
Schizoplasmodium,661159,20,genus
Paramoeba,200890,20,genus
Spironemidae,2027449,20,family
Hemimastix,2027450,20,genus
Coccomyxaceae,35472,20,family
Xiphocephalus,650332,20,genus
Dino-Group-II-Clade-14_X,NA,19,NA
Ophryoglenida,NA,19,NA
Centroplasthelida_XXXX,193537,19,class
Centroplasthelida_XXXXX,193537,19,class
Articulospora,253308,19,genus
Dino-Group-II-Clade-14,NA,19,NA
Ichthyophthirius,5931,19,genus
Gadixcellia,2759743,19,genus
Xcellidae,2759735,19,family
Diptilomiopus,1336388,19,genus
Nemogullmia,164077,18,genus
Colpodellida_CHR1_X,877183,18,clade
Colpodellida_CHR1,877183,18,clade
Lagynidae,212497,18,family
Cafeteria,33652,18,genus
Zoopagomycota_XXX,1913638,18,phylum
Cafeteriaceae,238884,18,family
Diplophrys,138668,17,genus
Taphrina,5010,17,genus
Dino-Group-II-Clade-21,NA,17,NA
Taphrinomycetes,147555,17,class
Paulinella,39716,17,genus
Paulinellidae,39715,17,family
Dino-Group-II-Clade-21_X,NA,17,NA
Diplophrydaceae,NA,17,NA
Encentrum,360660,16,genus
Zymoseptoria,1047167,16,genus
Petalomonas,56451,16,genus
Acanthamoebidae_X,33677,16,family
Amphitrema,1287651,16,genus
Arthropoda_XX,6656,16,phylum
Sabatieria,129901,16,genus
Populus,3689,16,genus
Amphitraemidae,1287649,16,family
Allomyces,28581,16,genus
Oribatida,66551,16,suborder
MAST-12,NA,15,NA
MAST-12C,NA,15,NA
Phaeodactylum,2849,15,genus
Phaeodactylaceae,38749,15,family
Phialophora,5600,15,genus
Paracalanus,163471,15,genus
Chloropicon,2302914,15,genus
Bathycoccus,41874,15,genus
Chloropicaceae,2302913,15,family
Dinophyceae_XX,2864,14,class
Allobodonidae,NA,14,NA
Polychaos,2663723,14,genus
Eudiaptomus,251516,14,genus
Allobodo,2571230,14,genus
Dinophyceae_XXX,2864,14,class
Nematostella,45350,14,genus
Leohumicola,290614,13,genus
Scyphozoa,6142,13,class
Chrysaora,6147,13,genus
Saccharomyces,4930,13,genus
Cercomonadidae_X,45108,13,family
OLIGO2_X,NA,13,NA
Ostreoida,6562,13,order
Ricinus,3987,13,genus
Neurospora,5140,13,genus
Crassostrea,6564,13,genus
OLIGO2,NA,13,NA
Rigifila,1237874,13,genus
Aphelidium,1498217,12,genus
Dino-Group-II_X,NA,12,NA
Coemansia,4863,12,genus
Chytridiomycetaceae,NA,12,NA
Prolecithophora,79788,12,order
Spumella,89043,12,genus
Kickxellales,4861,12,order
Micronuclearia,238745,12,genus
Cercozoa_XXXX,136419,12,phylum
Cercozoa_XXX,136419,12,phylum
Ochromonadaceae,88165,12,family
Tetrachaetum,253301,12,genus
Rhizoclosmatium,109967,12,genus
Plagiostomum,84130,12,genus
Chydorus,77744,12,genus
Dino-Group-II_XX,NA,12,NA
Aphelidiaceae,2689233,12,family
Mrakia,29901,11,genus
Nucleariidae_Nuclearia_2_X,154966,11,family
Microsporida_X,6029,11,phylum
Coccidioides,5500,11,genus
Tobrilus,327476,11,genus
Nucleariidae_Nuclearia_2,154966,11,family
Psora,111720,10,genus
Coelomomyces,143959,10,genus
Reophax,212491,10,genus
Plasmodium2,5820,10,genus
Notosolenus,186759,10,genus
Pterocystida_XX,2607628,10,order
Vampyrellidae,325674,10,family
Neocallimastigaceae,29007,10,family
Daphnia,6668,10,genus
Vampyrella,941459,10,genus
Reophacidae,1482317,10,family
Bodonidae,5708,10,family
Trepomonas,44997,10,genus
Chloroparva,948560,10,genus
Pterocystida_XXX,2607628,10,order
Bodo,5712,10,genus
Colletotrichum,5455,10,genus
Evaginogenida_X,163659,9,order
Plectonchus,114872,9,genus
Mitosporidium,1633384,9,genus
Ventrifissura,1938507,9,genus
Astrorhiza,46079,9,genus
Ventrifissuridae,1938506,9,family
Evaginogenida,163659,9,order
Bacillariophyceae_XX,33849,8,class
Balamuthia,66526,8,genus
Kinetoplastea_XX_MET3,5653,8,class
Bacillariophyceae_XXX,33849,8,class
LKM74-lineage,NA,8,NA
LKM74-lineage_X,NA,8,NA
Clavicaudoides,266273,8,genus
Tilletiopsis,1500560,8,genus
Thaumatomonadidae,45098,8,family
Mucoromycotina_XX,451507,8,subphylum
Prodesmodora,293849,8,genus
Balamuthiidae,555408,8,family
Thaumatomonas,45099,8,genus
Agaricomycetes_X,155619,8,class
Brachypodium,15367,7,genus
Tubulinea_XXXXX,555369,7,phylum
Tubulinea_XXXX,555369,7,phylum
Bicoecea_XXX,33651,7,order
Bicoecea_XX,33651,7,order
Pseudovorticella,310678,6,genus
Mortierella,4855,6,genus
Ascomorpha,360654,6,genus
Nematostelium,661164,6,genus
Cryptodifflugia,1078833,6,genus
ARMOP1_X,NA,6,NA
Mortierellaceae_X,4854,6,family
ARMOP1,NA,6,NA
epibiont,NA,6,NA
Ichthyophonida_XX,198625,6,order
Ichthyophonida_XXX,198625,6,order
Podospora,5144,6,genus
Sandona,1239209,6,genus
Strigomonas,1003010,6,genus
Xenopus,8353,5,genus
Novel-Clade-4_X,NA,5,NA
Choanocystis,299888,5,genus
Saprolegnia,4769,5,genus
Novel-Clade-4,NA,5,NA
Trebouxiophyceae_XX,75966,5,class
Nucleohelea,NA,5,NA
Actinosphaerium,238766,5,genus
Hyplorynchus,NA,5,NA
Botryococcus,38880,5,genus
Choanocystidae,NA,5,NA
Polychytriales_X,1134056,5,order
Homo,9605,5,genus
Philaenus,30087,5,genus
Saprolegniales,4763,5,order
Penthaleus,296206,5,genus
Aculops,644139,5,genus
Dacrymycetes,452332,5,class
Stramenopiles_XXXX,33634,5,clade
Guepiniopsis,143596,5,genus
Cryptococcus,5206,5,genus
Stramenopiles_XXXXX,33634,5,clade
Centropages,136182,5,genus
Metridia,114066,5,genus
Polychytrium,110092,5,genus
Amphibia,8292,5,class
Ripidomyxa,266049,5,genus
Leptomyxidae,66525,5,family
Limnofilidae_X,1938435,4,family
Ditylenchus,166009,4,genus
Paracercomonas,372085,4,genus
OLIGO5_X,NA,4,NA
Limnofilidae,1938435,4,family
Protaspa,1938521,4,genus
Paradinida_X,NA,4,NA
OLIGO5_XX,NA,4,NA
Sphaeropleales_X,35491,4,order
Cyclops,263416,4,genus
Mataza-lineage_X,1004929,4,genus
CCW10-lineage_X,NA,4,NA
Paradinida_XX,NA,4,NA
Rhynchomonas,127149,4,genus
Anolis,28376,4,genus
Acartia,121148,4,genus
Lepidosauria,8504,4,class
Allapsidae,2607627,4,family
Streptophyta_XXXX,35493,4,phylum
Parhypochthonius,229752,4,genus
Rhynchomonadidae,2728145,4,family
Endomyxa-Ascetosporea_XXX,2604748,4,phylum
CCW10-lineage,NA,4,NA
Mataza-lineage,1004929,4,genus
Streptophyta_XXXXX,35493,4,phylum
Anomalocera,310561,4,genus
Diaphanosoma,117531,4,genus
Paracercomonadidae,NA,4,NA
Bosmina,27402,4,genus
Venturia,5024,4,genus
Plasmodium4,5820,4,genus
Endomyxa-Ascetosporea_XX,2604748,4,phylum
Rhizophydiaceae,451449,3,family
NC12B-lineage,NA,3,NA
Thamnocephalis,78914,3,genus
Allantion,188942,3,genus
Chytridiomycota_XXX,4761,3,phylum
Protacanthamoeba,325061,3,genus
Lipomycetaceae,29827,3,family
MAST-3,NA,3,NA
Ceratiaceae,39451,3,family
Neocallimastix,4756,3,genus
Ceratium,2915,3,genus
Culiseta,174825,3,genus
Adelina,203141,3,genus
Lecidea,88631,3,genus
Tectonidula,1629392,3,genus
Cryptosporidium15,5806,3,genus
Filosa-Thecofilosea_XXX,NA,3,NA
MAST-3E,NA,3,NA
Spermatozopsis,3191,3,genus
Lipomyces,29828,3,genus
Leidyana1,196592,3,genus
Phytomonas,5706,3,genus
Hartmannulidae_X,247151,3,family
Loimia,153626,3,genus
Cryptosporidium13,5806,3,genus
Hartmannulidae,247151,3,family
Chytridiomycota_XX,4761,3,phylum
Adeleidae,203140,3,family
Filosa-Thecofilosea_XX,NA,3,NA
Nibbleridia,3004207,3,phylum
Nibbleridae,3004210,3,family
Babesia6,5864,3,genus
NC12B-lineage_X,NA,3,NA
Neofabraea,143937,3,genus
Batrachochytrium,100474,3,genus
Glissomonadida_XX,1238681,2,order
Thaumatomonadida_XX,188944,2,order
Panellus,5635,2,genus
Rhodophyta,2763,2,phylum
Schizosaccharomyces,4895,2,genus
Phryganella,2217852,2,genus
Cryothecomonas,151025,2,genus
Corallicolla,NA,2,NA
Paramicrosporidium,1493516,2,genus
Cyanidiales_X,265318,2,order
Cyanidioschyzon,45156,2,genus
Sphaerozoum,65589,2,genus
Sphaerozoidae,65588,2,family
Farlowiella,286006,2,genus
Schizosaccharomycetes,147554,2,class
Cryothecomonas-lineage,151025,2,genus
Endo5-lineage_XXX,NA,2,NA
Mattesia,238095,2,genus
Alaimus,211208,2,genus
Nibbleromonas,3004211,2,genus
Micractinium,126838,2,genus
Mayetiola,39757,2,genus
Alphamonaceae,2605703,2,family
Glissomonadida_X,1238681,2,order
Alphamonadea_ALPH1,NA,2,NA
Scrippsiella,54902,2,genus
Raphidocelis,307506,2,genus
Cryptosporidium4,5806,2,genus
Thaumatomonadida_X,188944,2,order
Corallicolidae,2828056,2,family
Coniophora,80635,2,genus
Endomyxa_XX,2604748,2,phylum
Craniata_XXX,89593,1,subphylum
Echinamoeba,136449,1,genus
Chytridiales_XX,4810,1,order
Piromyces,4821,1,genus
Massiteriidae,NA,1,NA
Craniata_XX,89593,1,subphylum
Chytridiales_X,4810,1,order
Group-Te,NA,1,NA
Campanella,71870,1,genus
Echinamoebidae,136448,1,family
Surapoda,1454509,1,genus
Cryomonadida_X,589444,1,order
Debaryomyces,4958,1,genus
Hyphodiscus,353541,1,genus
Cryomonadida_XX,589444,1,order
Tuckermannopsis,404711,1,genus
Skeletonema,2842,1,genus
Massaria,45312,1,genus
Oryza,4527,1,genus
Monoraphidium,34111,1,genus
Nebulomonas,3004453,1,genus
Nebulidae,3004452,1,family
Haliphthorales,NA,1,NA
Nebulidia,3004449,1,phylum
Simocephalus,77650,1,genus
Ubysseya,3004335,1,genus
Selenastraceae,35466,1,family
Leptodora,77706,1,genus
Skeletonemaceae,NA,1,NA
Heterolepidoderma,78241,1,genus
Massisteria,127226,1,genus
Ankistrodesmus,3108,1,genus
Sorghum,4557,1,genus
Sphaeropleales_XX,35491,1,order
Cladophialophora,82105,1,genus
Halodaphnea,414971,1,genus
