# Multiple Unclassified Combinations
# Analysis date: 2025-10-15 11:14:40
# Total combinations: 83
# Total clusters: 41,506
# Total sequences: 198,486

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Eukaryota.U.division|Eukaryota.U.family|Eukaryota.U.genus,Eukaryota.U.division,Eukaryota.U.family,Eukaryota.U.genus,9333,39360,4.22,IMG_3300027741.a_Ga0209085_1003614; IMG_3300042143.a_Ga0451492_002059; IMG_3300028047.a_Ga0209526_10006985
Rhizaria|Foraminifera.U.family|Foraminifera.U.genus,Rhizaria,Foraminifera.U.family,Foraminifera.U.genus,322,2196,6.82,IMG_3300010985.a_Ga0138326_10258234; REF_SPR_M20154.1.4194_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Craniata_Craniata_X_Mammalia_Mus_Mus_musculus; IMG_3300030752.a_Ga0073953_11461494
Rhizaria|Vampyrellida.U.family|Vampyrellida.U.genus,Rhizaria,Vampyrellida.U.family,Vampyrellida.U.genus,315,1110,3.52,IMG_3300004627.a_Ga0066629_1021251; IMG_3300015615.a_Ga0183872_10630397_1; IMG_3300045391.a_Ga0438458_00330348
Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,288,3632,12.61,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Stramenopiles|Bicoecea.U.family|Bicoecea.U.genus,Stramenopiles,Bicoecea.U.family,Bicoecea.U.genus,280,1227,4.38,IMG_3300043421.a_Ga0451740_0001287; IMG_3300044986.a_Ga0485163_0046950; IMG_3300042520.a_Ga0453218_0017300
Rhizaria|Radiolaria.U.family|Radiolaria.U.genus,Rhizaria,Radiolaria.U.family,Radiolaria.U.genus,272,1717,6.31,REF_SPR_HQ651785.1.3845_Eukaryota_SAR_Rhizaria_Retaria_RAD_B_Sticholonche_sp._JB-2011; IMG_3300031800.a_Ga0310122_10008125; IMG_3300020457.a_Ga0211643_10049411
Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,259,3098,11.96,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
Discoba|Neobodonida.U.family|Neobodonida.U.genus,Discoba,Neobodonida.U.family,Neobodonida.U.genus,221,929,4.2,REF_SPR_DQ465511.1.3212_U_18S_rRNA_nucleus_strain_HFCC333_Eukaryota_Excavata_Discoba_Kinetoplastea_Neobodonida_Rhynchomonadidae_Rhynchomonas_Rhynchomonas_sp.; REF_SPR_AY827855.1.2627_Eukaryota_Discoba_Discicristata_Euglenozoa_Kinetoplastea_Metakinetoplastina_Neobodonida_Rhynchomonas_Rhynchomonas_nasuta; IMG_3300045996.a_Ga0456371_00314495
Stramenopiles|Opalozoa.U.family|Opalozoa.U.genus,Stramenopiles,Opalozoa.U.family,Opalozoa.U.genus,218,1086,4.98,IMG_3300025577.a_Ga0209304_1002615; IMG_3300006636.a_Ga0075525_10000970; REF_SPR_HQ219411.1.2449_Eukaryota_SAR_Stramenopiles_MAST-12_uncultured_stramenopile
Rhizaria|Nassellaria.U.family|Nassellaria.U.genus,Rhizaria,Nassellaria.U.family,Nassellaria.U.genus,209,918,4.39,IMG_3300032278.a_Ga0310345_10012430; IMG_3300003880.a_Ga0063278_1000058; IMG_3300026202.a_Ga0207984_1003241
Discoba|Tetramitia_I.U.family|Tetramitia_I.U.genus,Discoba,Tetramitia_I.U.family,Tetramitia_I.U.genus,200,796,3.98,IMG_3300009676.a_Ga0116187_1008507; IMG_3300002168.a_JGI24712J26585_10005157; IMG_3300005961.a_Ga0075157_10037838
