# 18S EukCensus Taxonomic Combination Analysis
# Analysis date: 2025-10-15 11:26:29
# Total original records: 70,899
# Unique taxonomic combinations: 491
# Total sequences: 401,342

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Opisthokonta|Anthozoa|Anthozoa.U.genus,Opisthokonta,Anthozoa,Anthozoa.U.genus,248,2766,11.15,REF_SPR_HG931673.1.2709_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Cnidaria_Cnidaria_X_Scyphozoa_Phyllorhiza_Phyllorhiza_punctata; REF_SPR_KT722439.1.1960_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Symplectoscyphus_curvatus; REF_SPR_KT722383.1.1934_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Antarctoscyphus_grandis
Opisthokonta|Insecta|Apis,Opisthokonta,Insecta,Apis,236,762,3.23,IMG_3300007188.a_Ga0103264_1002425; REF_SPR_EU815276.1.2580_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Neuroptera_Podallea_madegassica; REF_SPR_EU815283.1.2563_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Neuroptera_Stenobiella_muellerorum
Opisthokonta|Glomerales|Rhizophagus,Opisthokonta,Glomerales,Rhizophagus,236,4813,20.39,IMG_3300030506.a_Ga0302194_10003075; REF_SPR_HQ219354.1.2397_U_18S_rRNA_nucleus_clone_AY2009C5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.; REF_SPR_KU981162.1.2246_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporales_Didymosphaeriaceae_Paraphaeosphaeria_Paraphaeosphaeria_neglecta
Opisthokonta|Leotiomycetes|Leotiomycetes.U.genus,Opisthokonta,Leotiomycetes,Leotiomycetes.U.genus,230,1747,7.6,IMG_3300023101.a_Ga0224557_1003928; IMG_3300038479.a_Ga0436674_0007308_1; IMG_3300035172.a_Ga0373955_0006713
Opisthokonta|Chromadorea_X|Heterodera,Opisthokonta,Chromadorea_X,Heterodera,228,2028,8.89,IMG_3300045049.a_Ga0466959_0008631; REF_SPR_KJ934150.1.2707_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Hoplolaimus_columbus; REF_SPR_KJ934135.1.2367_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Nematozoa_Nematoda_Chromadorea_Tylenchida_Cactodera_sp._YZ-2011
Opisthokonta|Sordariomycetes|Lecanicillium,Opisthokonta,Sordariomycetes,Lecanicillium,225,1334,5.93,IMG_3300006466.a_Ga0082249_10000125; REF_SPR_JN941706.1.3517_U_18S_rRNA_nucleus_strain_NBRC_103839_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Ophiocordyceps_Ophiocordyceps_prolifica; REF_SPR_JN941721.1.3441_U_18S_rRNA_nucleus_strain_NBRC_103836_Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Sordariomycetes_Ophiocordyceps_Ophiocordyceps_cuboidea
Opisthokonta|Insecta|Drosophila,Opisthokonta,Insecta,Drosophila,217,1383,6.37,IMG_3300009510.a_Ga0116230_10012858; REF_SPR_JSAE01000136.2249.4512_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Diptera_Drosophila_melanogaster__fruit_fly_; REF_SPR_GBRX01007055.124.2327_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Ecdysozoa_Arthropoda_Hexapoda_Insecta_Pterygota_Neoptera_Diptera_Glossina_palpalis_gambiensis
Opisthokonta|Saccharomycetales|Saccharomycetales.U.genus,Opisthokonta,Saccharomycetales,Saccharomycetales.U.genus,190,1145,6.03,REF_SPR_AY845351.1.2337_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Debaryomycetaceae_Scheffersomyces_Candida_lignicola; REF_SPR_JQ038035.1.2289_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Incertae_Sedis_Kuraishia_Kuraishia_borneana; REF_SPR_AB514601.1.2205_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Saccharomycotina_Saccharomycetes_Saccharomycetales_Metschnikowiaceae_Metschnikowia_uncultured_fungus
Opisthokonta|Fungi_XXX|Fungi_XXXX,Opisthokonta,Fungi_XXX,Fungi_XXXX,190,809,4.26,IMG_3300002966.a_JGI24721J44947_10055356; IMG_3300042289.a_Ga0453148_0016262; IMG_3300035689.a_Ga0334999_0026938
Opisthokonta|Digenea|Schistosoma,Opisthokonta,Digenea,Schistosoma,190,955,5.03,REF_SPR_JF742194.1.2062_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Trematoda_Digenea_Strigeidida_Austrobilharzia_sp._Kuwait; REF_SPR_CABF01087940.835.2838_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Platyhelminthes_Trematoda_Digenea_Schistosoma_Schistosoma_japonicum; REF_SPR_FN366630.23.2686_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Platyhelminthes_Trematoda_Digenea_Digenea_X_Digenea_X_sp.
