# Total Size Outliers
# Analysis date: 2025-10-15 11:15:54
# Total outliers: 70
# Outliers identified using IQR method (1.5 * IQR)

taxonomic_combination,division,family,genus,row_count,total_size,avg_size_per_cluster,example_centroids
Alveolata|Dino-Group-II-Clade-6|Dino-Group-II-Clade-6_X,Alveolata,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,286,4127,14.43,IMG_3300025681.a_Ga0209263_1004049; IMG_3300020185.a_Ga0206131_10014626; IMG_3300028535.a_Ga0257111_1002781
Rhizaria|Sandonidae|Flectomonas,Rhizaria,Sandonidae,Flectomonas,639,3724,5.83,REF_SPR_AY905499.1.2379_G_18S_rRNA_nucleus__Eukaryota_Rhizaria_Cercozoa_Filosa-Sarcomonadea_Glissomonadida_Sandonidae_Sandona_Sandona_campae; IMG_3300013842.a_Ga0181309_1080279; REF_SPR_AM114805.1.2266_Eukaryota_SAR_Rhizaria_Cercozoa_Glissomonadida_Heteromita_uncultured_Cercozoa
Opisthokonta|Opisthokonta.U.family|Opisthokonta.U.genus,Opisthokonta,Opisthokonta.U.family,Opisthokonta.U.genus,687,3638,5.3,IMG_3300024981.a_Ga0209934_1002558; IMG_3300028375.a_Ga0306865_1001041_1; REF_SPR_HQ191350.1.2633_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Choanoflagellata_Filasterea_Ministeriida_Capsasporidae_AT4-11_uncultured_Chytridiomycota
Opisthokonta|Ascomycota.U.family|Ascomycota.U.genus,Opisthokonta,Ascomycota.U.family,Ascomycota.U.genus,288,3632,12.61,IMG_3300049324.a_Ga0497583_0001633; IMG_3300026310.a_Ga0209239_1004136; IMG_3300045013.a_Ga0467005_0004534
Opisthokonta|Eurotiomycetes|Eurotiomycetes.U.genus,Opisthokonta,Eurotiomycetes,Eurotiomycetes.U.genus,381,3580,9.4,IMG_3300039109.a_Ga0120178_004481; IMG_3300011432.a_Ga0137428_1001754_1; REF_SPR_EF413600.1.3847_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Fungi_Ascomycota_Pezizomycotina_Eurotiomycetes_Polyblastia_Polyblastia_melaspora
Rhizaria|Cercozoa.U.family|Cercozoa.U.genus,Rhizaria,Cercozoa.U.family,Cercozoa.U.genus,1152,3275,2.84,IMG_3300024981.a_Ga0209934_1002102; IMG_3300024981.a_Ga0209934_1002160; IMG_3300025526.a_Ga0208492_1002470
Opisthokonta|Saccharomycotina.U.family|Saccharomycotina.U.genus,Opisthokonta,Saccharomycotina.U.family,Saccharomycotina.U.genus,259,3098,11.96,REF_SPR_DQ519012.1.2670_R_18S_rRNA_nucleus_strain_NRRL_Y-11557__CBS_1807_Eukaryota_Opisthokonta_Fungi_Ascomycota_Saccharomycotina_Lipomycetaceae_Lipomyces_Lipomyces_starkeyi; REF_SPR_HQ191369.1.2525_U_18S_rRNA_nucleus_clone_PA2009C3_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycetes_Rhyzophidiales_X_Rhyzophidiales_X_sp.; REF_SPR_HQ219392.1.2380_U_18S_rRNA_nucleus_clone_AY2009A5_Eukaryota_Opisthokonta_Fungi_Chytridiomycota_Chytridiomycotina_Chytridiomycotina_X_Chytridiomycotina_XX_Chytridiomycotina_XX_sp.
Stramenopiles|Gyrista.U.family|Gyrista.U.genus,Stramenopiles,Gyrista.U.family,Gyrista.U.genus,833,3060,3.67,IMG_3300039159.a_Ga0400140_002040; IMG_3300027777.a_Ga0209829_10005881; IMG_3300031222.a_Ga0307972_1001373
Metamonada|Hexamitidae|Hexamitidae.U.genus,Metamonada,Hexamitidae,Hexamitidae.U.genus,484,3018,6.24,IMG_3300037279.a_Ga0397552_0007522; IMG_3300020715.a_Ga0214254_1001637; REF_SPR_DQ520097.1.2051_U_18S_rRNA_nucleus_specimen_MAFF_305810_Eukaryota_Opisthokonta_Fungi_Basidiomycota_Agaricomycotina_Agaricomycetes_Tulasnella_Tulasnella_violea
Alveolata|Dileptidae|Dileptidae_X,Alveolata,Dileptidae,Dileptidae_X,253,2935,11.6,IMG_2061766007.a_rumenHiSeq_NODE_4254271_len_4107_cov_3_966642_1; REF_SPR_HQ219407.1.2010_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Litostomatea_Haptoria_Dileptus_uncultured_ciliate; REF_SPR_KX219656.1.1780_Eukaryota_SAR_Alveolata_Ciliophora_Intramacronucleata_Litostomatea_Trichostomatia_Diplodinium_Diplodinium_anisacanthum
Opisthokonta|Platyhelminthes.U.family|Platyhelminthes.U.genus,Opisthokonta,Platyhelminthes.U.family,Platyhelminthes.U.genus,851,2920,3.43,IMG_3300047169.a_Ga0495336_0006418; REF_SPR_EU541306.1.3736_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Monogenea_Monopisthocotylea_Ancyrocephalidae_Haliotrema_cromileptis; REF_SPR_JQ609340.1.2891_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Protostomia_Lophotrochozoa_Platyhelminthes_Cestoda_Eucestoda_Cyclophyllidea_Hydatigera_taeniaeformis
Opisthokonta|Anthozoa|Anthozoa.U.genus,Opisthokonta,Anthozoa,Anthozoa.U.genus,248,2766,11.15,REF_SPR_HG931673.1.2709_U_18S_rRNA_nucleus__Eukaryota_Opisthokonta_Metazoa_Cnidaria_Cnidaria_X_Scyphozoa_Phyllorhiza_Phyllorhiza_punctata; REF_SPR_KT722439.1.1960_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Symplectoscyphus_curvatus; REF_SPR_KT722383.1.1934_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Cnidaria_Hydrozoa_Hydroidolina_Leptothecata_Antarctoscyphus_grandis
Chlorophyta|Chlorellales_X|Chlorellales_X.U.genus,Chlorophyta,Chlorellales_X,Chlorellales_X.U.genus,255,2704,10.6,IMG_3300038696.a_Ga0400669_003343; IMG_3300042289.a_Ga0453148_0012922; REF_SPR_JQ315799.1.3183_Eukaryota_Archaeplastida_Chloroplastida_Chlorophyta_Trebouxiophyceae_Chlorellales_Oocystis_Oocystis_sp._KMMCC_251
Opisthokonta|Agaricomycotina.U.family|Agaricomycotina.U.genus,Opisthokonta,Agaricomycotina.U.family,Agaricomycotina.U.genus,328,2666,8.13,IMG_3300036819.a_Ga0376689_0010566; IMG_3300013786.a_Ga0180413_10333; REF_SPR_KY964761.1.3428_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Basidiomycota_Pucciniomycotina_Pucciniomycetes_Pucciniales_Pucciniaceae_Gymnosporangium_Gymnosporangium_juniperi-virginianae
Opisthokonta|Fungi.U.family|Fungi.U.genus,Opisthokonta,Fungi.U.family,Fungi.U.genus,1112,2638,2.37,IMG_3300043422.a_Ga0451741_0000762; IMG_3300037418.a_Ga0395900_0007985; IMG_3300022743.a_Ga0228699_1002103
Alveolata|Dino-Group-II.U.family|Dino-Group-II.U.genus,Alveolata,Dino-Group-II.U.family,Dino-Group-II.U.genus,657,2568,3.91,IMG_3300046532.a_Ga0491191_0020189; IMG_3300032011.a_Ga0315316_10011281; REF_SPR_FN598428.1.1824_Eukaryota_SAR_Alveolata_Protalveolata_Syndiniales_Syndiniales_Group_II_uncultured_marine_Syndiniales
Opisthokonta|Craniata_X.U.family|Craniata_X.U.genus,Opisthokonta,Craniata_X.U.family,Craniata_X.U.genus,326,2470,7.58,IMG_3300014042.a_Ga0117790_1004490; REF_SPR_KT580984.1.2058_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Cynoglossus_lineolatus; REF_SPR_GFIX01047396.524.2500_Eukaryota_Amorphea_Obazoa_Opisthokonta_Holozoa_Choanozoa_Metazoa_Animalia_BCP_clade_Bilateria_Deuterostomia_Chordata_Vertebrata_Gnathostomata_Euteleostomi_Actinopterygii_Neopterygii_Teleostei_Gadus_morhua__Atlantic_cod_
Opisthokonta|Dothideomycetes|Dothideomycetes.U.genus,Opisthokonta,Dothideomycetes,Dothideomycetes.U.genus,539,2447,4.54,IMG_3300036786.a_Ga0376659_0007084; IMG_3300043384.a_Ga0454644_0000459; REF_SPR_LT558703.1.3546_Eukaryota_Amorphea_Obazoa_Opisthokonta_Nucletmycea_Fungi_Dikarya_Ascomycota_Pezizomycotina_Eurotiomycetes_Chaetothyriales_Trichomeriaceae_Bacillicladium_Bacillicladium_lobatum
