name,count,sequence_count
"# Total rows in original metadata: 70,899",,
LKM74-lineage_X,8,10
Prodesmodora,8,10
Mucoromycotina_XX,8,8
Bacillariophyceae_XXX,8,29
Thaumatomonas,8,9
Brachypodium,7,18
Tubulinea_XXXXX,7,15
Bicoecea_XXX,7,9
Zoopagomycota_XX.U.genus,6,25
Sandona,6,9
Podospora,6,12
Pseudovorticella,6,76
Strigomonas,6,30
Ichthyophonida_XXX,6,11
epibiont,6,29
Eimeriida.U.genus,6,20
Neocallimastigaceae.U.genus,6,69
Cryptosporidiidae.U.genus,6,8
Cryptodifflugia,6,11
Mortierella,6,6
ARMOP1_X,6,9
Ascomorpha,6,7
Nematostelium,6,8
Saprolegnia,5,126
Centropages,5,13
Metridia,5,70
Hyplorynchus,5,10
Botryococcus,5,8
Actinosphaerium,5,14
Aculops,5,7
Polychytrium,5,6
Philaenus,5,7
Penthaleus,5,143
Neogregarinorida.U.genus,5,9
Cryomonadida.U.genus,5,7
Xenopus,5,9
Choanocystis,5,6
Ripidomyxa,5,6
Novel-Clade-4_X,5,6
Guepiniopsis,5,5
Stramenopiles_XXXXX,5,8
Cryptococcus,5,5
Homo,5,15
Peronosporales.U.genus,4,45
Anomalocera,4,55
Venturia,4,4
Plasmodium4,4,6
Protaspa,4,4
Diaphanosoma,4,5
Bosmina,4,43
Acartia,4,7
Endomyxa-Ascetosporea_XXX,4,8
Parhypochthonius,4,6
Streptophyta_XXXXX,4,23
Anolis,4,42
Rhynchomonas,4,14
Paradinida_XX,4,5
Cyclops,4,5
OLIGO5_XX,4,4
CCW10-lineage_X,4,6
Limnofilidae_X,4,6
Paracercomonas,4,4
Ditylenchus,4,4
Mataza-lineage_X,4,5
Leidyana1,3,29
Ceratium,3,65
Lipomyces,3,6
Spermatozopsis,3,12
Lecidea,3,9
Tectonidula,3,5
Phytomonas,3,7
Hartmannulidae_X,3,6
Culiseta,3,6
NC12B-lineage_X,3,11
Batrachochytrium,3,45
Loimia,3,6
Cryptosporidium13,3,4
Babesia6,3,68
Neofabraea,3,6
Allantion,3,4
Protacanthamoeba,3,3
Thamnocephalis,3,4
Blastocladiomycetes.U.genus,3,4
Chytridiomycota_XXX,3,3
Adelina,3,3
Filosa-Thecofilosea_XXX,3,4
Cryptosporidium15,3,3
Neocallimastix,3,4
Acanthopodida.U.genus,3,3
MAST-3E,3,7
Alphamonadea_ALPH1,2,10
Scrippsiella,2,7
Raphidocelis,2,2
Micractinium,2,10
Mayetiola,2,11
Endo5-lineage_XXX,2,2
Farlowiella,2,4
Coniophora,2,3
Cyanidioschyzon,2,21
Sphaerozoum,2,3
Alaimus,2,2
Nibbleromonas,2,9
Mattesia,2,3
Paramicrosporidium,2,8
Cercomonadidae.U.genus,2,3
Pelobiontida.U.genus,2,3
Phryganella,2,2
Schizosaccharomyces,2,13
Cryothecomonas,2,3
Glissomonadida_XX,2,2
Panellus,2,3
Corallicolla,2,2
Thaumatomonadida_XX,2,2
Tubulinea.U.genus,2,2
Rhizaria.U.genus,2,3
Cryptosporidium4,2,2
Oryza,1,29
Massaria,1,4
Tuckermannopsis,1,5
Skeletonema,1,1
Monoraphidium,1,1
Surapoda,1,2
Campanella,1,3
Group-Te,1,2
Simocephalus,1,2
Nebulomonas,1,3
Leptodora,1,7
Ubysseya,1,2
Zoopagomycota.U.genus,1,2
Sorghum,1,2
Ankistrodesmus,1,2
Massisteria,1,2
Sphaeropleales_XX,1,2
Cladophialophora,1,6
Halodaphnea,1,2
Craniata_XXX,1,1
Chytridiales_XX,1,5
Echinamoeba,1,2
Heterolepidoderma,1,1
Cryomonadida_XX,1,1
Piromyces,1,6
Mastigamoebida.U.genus,1,2
Hyphodiscus,1,1
Debaryomyces,1,1
