family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Chlorophyceae.U.family,3166,10,62,0.01,0.02,106,74,0.18,0.31,0,0,74,0,74,matched,Eukaryota,100,94.34,0.135,7.4
Rotifera_XX,10190,135,1684,0.19,0.42,104,23,0.18,0.09,0,0,23,0,23,matched,Eukaryota,88,84.62,5.87,0.17
Opalozoa.U.family,2683629,218,1086,0.31,0.27,103,22,0.17,0.09,0,0,22,0,22,matched,Eukaryota,35,33.98,9.909,0.101
Amoebozoa.U.family,554915,4214,15143,5.94,3.77,99,63,0.17,0.26,0,0,63,0,63,matched,Eukaryota,95,95.96,66.889,0.015
Saprolegniales,4763,5,126,0.01,0.03,98,9,0.17,0.04,0,0,9,0,9,matched,Eukaryota,98,100.0,0.556,1.8
Mortierellaceae_X,4854,6,6,0.01,0.0,97,54,0.16,0.22,0,0,54,0,54,matched,Eukaryota,93,95.88,0.111,9.0
Schizosaccharomycetes,147554,2,13,0.0,0.0,94,8,0.16,0.03,0,0,8,0,8,matched,Eukaryota,93,98.94,0.25,4.0
Blastocystis-Group,12967,72,618,0.1,0.15,91,15,0.15,0.06,0,0,15,0,15,matched,Eukaryota,25,27.47,4.8,0.208
Exobasidiomycetes,452283,306,11775,0.43,2.93,90,37,0.15,0.15,0,0,37,0,37,matched,Eukaryota,89,98.89,8.27,0.121
Cryptosporidiidae,35082,64,939,0.09,0.23,87,20,0.15,0.08,0,0,20,0,20,matched,Eukaryota,86,98.85,3.2,0.312
Chlorellales_X,35460,315,3348,0.44,0.83,82,38,0.14,0.16,0,0,38,0,38,matched,Eukaryota,80,97.56,8.289,0.121
Caenogastropoda,69555,45,225,0.06,0.06,75,53,0.13,0.22,0,0,53,0,53,matched,Eukaryota,75,100.0,0.849,1.178
Rhizaria.U.family,543769,2,3,0.0,0.0,72,18,0.12,0.07,0,0,18,0,18,matched,Eukaryota,67,93.06,0.111,9.0
Eimeriidae,5799,68,535,0.1,0.13,70,18,0.12,0.07,0,0,18,0,18,matched,Eukaryota,69,98.57,3.778,0.265
Chlamydomonadales_X,3042,217,1479,0.31,0.37,70,44,0.12,0.18,0,0,44,0,44,matched,Eukaryota,66,94.29,4.932,0.203
Lipomycetaceae,29827,3,6,0.0,0.0,66,35,0.11,0.14,0,0,35,0,35,matched,Eukaryota,66,100.0,0.086,11.667
Endomyxa_XX,2604748,2,2,0.0,0.0,61,9,0.1,0.04,0,0,9,0,9,matched,Eukaryota,59,96.72,0.222,4.5
Phaeophyceae_XX,2870,77,666,0.11,0.17,61,51,0.1,0.21,0,0,51,0,51,matched,Eukaryota,61,100.0,1.51,0.662
Branchiopoda,6658,132,783,0.19,0.2,60,28,0.1,0.12,0,0,28,0,28,matched,Eukaryota,53,88.33,4.714,0.212
Enoplea_X,119088,21,209,0.03,0.05,52,30,0.09,0.12,0,0,30,0,30,matched,Eukaryota,52,100.0,0.7,1.429
Scyphozoa,6142,13,32,0.02,0.01,51,27,0.09,0.11,0,0,27,0,27,matched,Eukaryota,51,100.0,0.481,2.077
Neocallimastigaceae,29007,10,79,0.01,0.02,50,9,0.08,0.04,0,0,9,0,9,matched,Eukaryota,32,64.0,1.111,0.9
Neocallimastigomycota_XX,451455,54,78,0.08,0.02,50,9,0.08,0.04,0,0,9,0,9,matched,Eukaryota,32,64.0,6.0,0.167
Bacillariophyceae_XX,33849,8,29,0.01,0.01,50,34,0.08,0.14,0,0,34,0,34,matched,Eukaryota,41,82.0,0.235,4.25
Dinoflagellata.U.family,2864,22,28,0.03,0.01,48,33,0.08,0.14,0,0,33,0,33,matched,Eukaryota,48,100.0,0.667,1.5
Dinophyceae_XX,2864,14,19,0.02,0.0,48,33,0.08,0.14,0,0,33,0,33,matched,Eukaryota,48,100.0,0.424,2.357
Dinophyceae.U.family,2864,1090,4487,1.54,1.12,48,33,0.08,0.14,0,0,33,0,33,matched,Eukaryota,48,100.0,33.03,0.03
Glomerales,36750,236,4813,0.33,1.2,48,12,0.08,0.05,0,0,12,0,12,matched,Eukaryota,48,100.0,19.667,0.051
Thalassiosirales.U.family,33847,53,222,0.07,0.06,45,34,0.08,0.14,0,0,34,0,34,matched,Eukaryota,38,84.44,1.559,0.642
Discosea_X.U.family,555280,28,93,0.04,0.02,41,27,0.07,0.11,0,0,27,0,27,matched,Eukaryota,38,92.68,1.037,0.964
Hexamitidae,5739,573,3242,0.81,0.81,41,4,0.07,0.02,0,0,4,0,4,matched,Eukaryota,41,100.0,143.25,0.007
Sarcocystidae,5809,76,608,0.11,0.15,40,6,0.07,0.02,0,0,6,0,6,matched,Eukaryota,40,100.0,12.667,0.079
Oligohymenophorea.U.family,6020,339,1781,0.48,0.44,38,19,0.06,0.08,0,0,19,0,19,matched,Eukaryota,37,97.37,17.842,0.056
Ostreoida,6562,13,29,0.02,0.01,38,18,0.06,0.07,0,0,18,0,18,matched,Eukaryota,21,55.26,0.722,1.385
Babesiidae,32594,23,158,0.03,0.04,35,12,0.06,0.05,0,0,12,0,12,matched,Eukaryota,33,94.29,1.917,0.522
Sphaeropleales.U.family,35491,56,214,0.08,0.05,35,29,0.06,0.12,0,0,29,0,29,matched,Eukaryota,33,94.29,1.931,0.518
Sphaeropleales_X,35491,4,6,0.01,0.0,35,29,0.06,0.12,0,0,29,0,29,matched,Eukaryota,33,94.29,0.138,7.25
Thalassiosiraceae,29202,309,6048,0.44,1.51,32,26,0.05,0.11,0,0,26,0,26,matched,Eukaryota,28,87.5,11.885,0.084
Acanthamoebidae,33677,123,773,0.17,0.19,31,21,0.05,0.09,0,0,21,0,21,matched,Eukaryota,30,96.77,5.857,0.171
Rhizophydiales.U.family,451442,29,107,0.04,0.03,28,13,0.05,0.05,0,0,13,0,13,matched,Eukaryota,28,100.0,2.231,0.448
Rhizophydiales_X,451442,157,593,0.22,0.15,28,13,0.05,0.05,0,0,13,0,13,matched,Eukaryota,28,100.0,12.077,0.083
Chytridiales_X,4810,1,5,0.0,0.0,26,22,0.04,0.09,0,0,22,0,22,matched,Eukaryota,26,100.0,0.045,22.0
Heterolobosea.U.family,5752,896,4751,1.26,1.18,26,9,0.04,0.04,0,0,9,0,9,matched,Eukaryota,19,73.08,99.556,0.01
Tetramitia_I.U.family,2601529,200,796,0.28,0.2,26,9,0.04,0.04,0,0,9,0,9,matched,Eukaryota,19,73.08,22.222,0.045
Tetramitia_I_X,2601529,58,319,0.08,0.08,26,9,0.04,0.04,0,0,9,0,9,matched,Eukaryota,19,73.08,6.444,0.155
Eustigmatophyceae_XX,5747,39,315,0.06,0.08,23,7,0.04,0.03,0,0,7,0,7,matched,Eukaryota,23,100.0,5.571,0.179
Taphrinomycetes,147555,17,80,0.02,0.02,22,17,0.04,0.07,0,0,17,0,17,matched,Eukaryota,22,100.0,1.0,1.0
Parameciidae,340080,65,547,0.09,0.14,22,10,0.04,0.04,0,0,10,0,10,matched,Eukaryota,22,100.0,6.5,0.154
Labyrinthulomycetes.U.family,35131,19,33,0.03,0.01,21,20,0.04,0.08,0,0,20,0,20,matched,Eukaryota,21,100.0,0.95,1.053
Mastigamoebida.U.family,2682482,1,2,0.0,0.0,20,7,0.03,0.03,0,0,7,0,7,matched,Eukaryota,20,100.0,0.143,7.0
Theileriidae,27994,101,1221,0.14,0.3,18,8,0.03,0.03,0,0,8,0,8,matched,Eukaryota,18,100.0,12.625,0.079
Harpellales,61421,60,247,0.08,0.06,11,9,0.02,0.04,0,0,9,0,9,matched,Eukaryota,11,100.0,6.667,0.15
Bicoecea_XX,33651,7,9,0.01,0.0,11,6,0.02,0.02,0,0,6,0,6,matched,Eukaryota,9,81.82,1.167,0.857
Coccomyxaceae,35472,20,87,0.03,0.02,11,7,0.02,0.03,0,0,7,0,7,matched,Eukaryota,9,81.82,2.857,0.35
Bicoecea.U.family,33651,280,1227,0.39,0.31,11,6,0.02,0.02,0,0,6,0,6,matched,Eukaryota,9,81.82,46.667,0.021
Blastocladiomycetes,451460,29,147,0.04,0.04,10,8,0.02,0.03,0,0,8,0,8,matched,Eukaryota,10,100.0,3.625,0.276
Perkinsida_X.U.family,27998,29,74,0.04,0.02,9,4,0.02,0.02,0,0,4,0,4,matched,Eukaryota,9,100.0,7.25,0.138
Merostomata,6844,36,122,0.05,0.03,9,4,0.02,0.02,0,0,4,0,4,matched,Eukaryota,9,100.0,9.0,0.111
Perkinsida_XX,27998,221,1396,0.31,0.35,9,4,0.02,0.02,0,0,4,0,4,matched,Eukaryota,9,100.0,55.25,0.018
Oxytrichidae,57506,800,7715,1.13,1.92,9,5,0.02,0.02,0,0,5,0,5,matched,Eukaryota,9,100.0,160.0,0.006
Pelagomonadaceae,3235057,36,182,0.05,0.05,9,5,0.02,0.02,0,0,5,0,5,matched,Eukaryota,9,100.0,7.2,0.139
