family,census_taxid,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,genome_pct_db,species_pct,direct_name_matches,direct_taxid_matches,hierarchical_taxid_matches,lineage_name_matches,total_matches,match_status,domain,isolate_count,isolate_percentage,novelty_factor,overrepresentation_factor
Staphylococcaceae,90964,889,7490,0.36,0.66,140752,793,4.75,0.77,0,0,793,0,793,matched,Bacteria,139961,99.44,1.121,0.892
Bacteroidota.U.family,976,1737,9120,0.71,0.81,130948,7666,4.42,7.48,0,0,7666,0,7666,matched,Bacteria,19099,14.59,0.227,4.413
Actinomycetota.U.family,201174,743,5173,0.3,0.46,108031,20007,3.64,19.52,0,0,20007,0,20007,matched,Bacteria,58897,54.52,0.037,26.927
Betaproteobacteria.U.family,28216,13,220,0.01,0.02,107148,4846,3.61,4.73,0,0,4846,0,4846,matched,Bacteria,84216,78.6,0.003,372.769
Bacteroidia.U.family,200643,326,1307,0.13,0.12,92376,2304,3.12,2.25,0,0,2304,0,2304,matched,Bacteria,9484,10.27,0.141,7.067
Bacteroidales.U.family,171549,2210,6840,0.9,0.61,89345,2146,3.01,2.09,0,0,2146,0,2146,matched,Bacteria,9255,10.36,1.03,0.971
Actinomycetes.U.family,1760,3,5,0.0,0.0,78197,19017,2.64,18.55,0,0,19017,0,19017,matched,Bacteria,57030,72.93,0.0,6339.0
Listeriaceae,186820,31,1399,0.01,0.12,74867,45,2.53,0.04,0,0,45,0,45,matched,Bacteria,74860,99.99,0.689,1.452
Pseudomonadales.U.family,72274,1109,8970,0.45,0.79,66942,3812,2.26,3.72,0,0,3812,0,3812,matched,Bacteria,62253,93.0,0.291,3.437
Neisseriaceae,481,472,2677,0.19,0.24,65813,321,2.22,0.31,0,0,321,0,321,matched,Bacteria,65001,98.77,1.47,0.68
Alphaproteobacteria.U.family,28211,4185,24462,1.7,2.17,65259,12148,2.2,11.85,0,0,12148,0,12148,matched,Bacteria,23349,35.78,0.345,2.903
Eubacteriales.U.family,186802,542,1060,0.22,0.09,64377,2965,2.17,2.89,0,0,2965,0,2965,matched,Bacteria,9467,14.71,0.183,5.47
Pseudomonadaceae,135621,2409,13628,0.98,1.21,64233,3549,2.17,3.46,0,0,3549,0,3549,matched,Bacteria,61830,96.26,0.679,1.473
Moraxellaceae,468,1204,6928,0.49,0.61,55255,1293,1.86,1.26,0,0,1293,0,1293,matched,Bacteria,53041,95.99,0.931,1.074
Enterococcaceae,81852,447,2971,0.18,0.26,53582,855,1.81,0.83,0,0,855,0,855,matched,Bacteria,52460,97.91,0.523,1.913
Lachnospiraceae,186803,12280,29811,4.99,2.64,46359,1566,1.56,1.53,0,0,1566,0,1566,matched,Bacteria,3241,6.99,7.842,0.128
Vibrionaceae,641,893,5299,0.36,0.47,40015,1118,1.35,1.09,0,0,1118,0,1118,matched,Bacteria,39826,99.53,0.799,1.252
Archaea.U.family,2157,30,87,0.01,0.01,34539,3433,1.17,3.35,0,0,3433,0,3433,matched,Archaea,3220,9.32,0.009,114.433
Burkholderiales.U.family,80840,1092,6916,0.44,0.61,32098,3630,1.08,3.54,0,0,3630,0,3630,matched,Bacteria,17980,56.02,0.301,3.324
Oscillospiraceae,216572,5753,16512,2.34,1.46,27688,1068,0.93,1.04,0,0,1068,0,1068,matched,Bacteria,1280,4.62,5.387,0.186
Peptostreptococcaceae,186804,422,3019,0.17,0.27,24459,134,0.83,0.13,0,0,134,0,134,matched,Bacteria,23747,97.09,3.149,0.318
Muribaculaceae,2005473,1547,3396,0.63,0.3,24291,68,0.82,0.07,0,0,68,0,68,matched,Bacteria,75,0.31,22.75,0.044
Mycobacteriales.U.family,85007,4,9,0.0,0.0,23556,2435,0.79,2.38,0,0,2435,0,2435,matched,Bacteria,21535,91.42,0.002,608.75
Bacillaceae,186817,4810,22660,1.96,2.01,21446,3655,0.72,3.57,0,0,3655,0,3655,matched,Bacteria,20860,97.27,1.316,0.76
Hyphomicrobiales.U.family,356,99,355,0.04,0.03,20936,5323,0.71,5.19,0,0,5323,0,5323,matched,Bacteria,12458,59.51,0.019,53.768
Flavobacteriia.U.family,117743,3,22,0.0,0.0,19409,3104,0.65,3.03,0,0,3104,0,3104,matched,Bacteria,7284,37.53,0.001,1034.667
Flavobacteriales.U.family,200644,530,3714,0.22,0.33,19269,3093,0.65,3.02,0,0,3093,0,3093,matched,Bacteria,7282,37.79,0.171,5.836
Lactobacillaceae,33958,1380,7843,0.56,0.69,18222,740,0.61,0.72,0,0,740,0,740,matched,Bacteria,12087,66.33,1.865,0.536
Bacteroidaceae,815,1171,6085,0.48,0.54,17869,371,0.6,0.36,0,0,371,0,371,matched,Bacteria,6531,36.55,3.156,0.317
Chloroflexota.U.family,200795,1816,14646,0.74,1.3,17392,726,0.59,0.71,0,0,726,0,726,matched,Bacteria,976,5.61,2.501,0.4
Yersiniaceae,1903411,333,2663,0.14,0.24,15969,434,0.54,0.42,0,0,434,0,434,matched,Bacteria,15783,98.84,0.767,1.303
Mycobacteriaceae,1762,307,4412,0.12,0.39,15339,653,0.52,0.64,0,0,653,0,653,matched,Bacteria,14562,94.93,0.47,2.127
Pasteurellaceae,712,650,4161,0.26,0.37,14930,257,0.5,0.25,0,0,257,0,257,matched,Bacteria,14087,94.35,2.529,0.395
Acidobacteriota.U.family,57723,3109,16434,1.26,1.46,14863,377,0.5,0.37,0,0,377,0,377,matched,Bacteria,371,2.5,8.247,0.121
Streptomycetaceae,2062,1376,8291,0.56,0.73,14439,7840,0.49,7.65,0,0,7840,0,7840,matched,Bacteria,14257,98.74,0.176,5.698
Burkholderiaceae,119060,1013,8806,0.41,0.78,13942,1300,0.47,1.27,0,0,1300,0,1300,matched,Bacteria,11199,80.33,0.779,1.283
Verrucomicrobiota.U.family,74201,5114,15199,2.08,1.35,13334,618,0.45,0.6,0,0,618,0,618,matched,Bacteria,1182,8.86,8.275,0.121
Xanthomonadales.U.family,135614,15,80,0.01,0.01,12965,1250,0.44,1.22,0,0,1250,0,1250,matched,Bacteria,10313,79.54,0.012,83.333
Clostridiaceae,31979,1843,8212,0.75,0.73,12844,821,0.43,0.8,0,0,821,0,821,matched,Bacteria,7368,57.37,2.245,0.445
Prevotellaceae,171552,2810,8135,1.14,0.72,12181,461,0.41,0.45,0,0,461,0,461,matched,Bacteria,767,6.3,6.095,0.164
Planctomycetota.U.family,203682,2873,9782,1.17,0.87,11876,538,0.4,0.52,0,0,538,0,538,matched,Bacteria,502,4.23,5.34,0.187
Xanthomonadaceae,32033,935,6338,0.38,0.56,11531,965,0.39,0.94,0,0,965,0,965,matched,Bacteria,9988,86.62,0.969,1.032
Micrococcales.U.family,85006,22,56,0.01,0.0,11392,4192,0.38,4.09,0,0,4192,0,4192,matched,Bacteria,7359,64.6,0.005,190.545
Flavobacteriaceae,49546,3630,18399,1.48,1.63,11100,2254,0.37,2.2,0,0,2254,0,2254,matched,Bacteria,4259,38.37,1.61,0.621
Thermodesulfobacteriota.U.family,200940,307,1480,0.12,0.13,10936,953,0.37,0.93,0,0,953,0,953,matched,Bacteria,1007,9.21,0.322,3.104
Helicobacteraceae,72293,127,809,0.05,0.07,10885,113,0.37,0.11,0,0,113,0,113,matched,Bacteria,9479,87.08,1.124,0.89
Rikenellaceae,171550,1913,5299,0.78,0.47,10298,118,0.35,0.12,0,0,118,0,118,matched,Bacteria,499,4.85,16.212,0.062
Morganellaceae,1903414,513,1856,0.21,0.16,9947,687,0.34,0.67,0,0,687,0,687,matched,Bacteria,9727,97.79,0.747,1.339
Rhodobacterales.U.family,204455,807,3134,0.33,0.28,9762,2372,0.33,2.31,0,0,2372,0,2372,matched,Bacteria,4121,42.21,0.34,2.939
Legionellaceae,444,462,1450,0.19,0.13,9656,103,0.33,0.1,0,0,103,0,103,matched,Bacteria,9479,98.17,4.485,0.223
Bifidobacteriaceae,31953,153,1829,0.06,0.16,8675,387,0.29,0.38,0,0,387,0,387,matched,Bacteria,5087,58.64,0.395,2.529
Euryarchaeota.U.family,28890,14,52,0.01,0.0,8618,1831,0.29,1.79,0,0,1831,0,1831,matched,Archaea,1909,22.15,0.008,130.786
Coriobacteriia.U.family,84998,138,674,0.06,0.06,8600,568,0.29,0.55,0,0,568,0,568,matched,Bacteria,1109,12.9,0.243,4.116
Spirochaetota.U.family,203691,130,530,0.05,0.05,8548,540,0.29,0.53,0,0,540,0,540,matched,Bacteria,3257,38.1,0.241,4.154
Cyanobacteriota.U.family,1117,464,972,0.19,0.09,8374,4067,0.28,3.97,0,0,4067,0,4067,matched,Bacteria,2916,34.82,0.114,8.765
Acidimicrobiia.U.family,84992,1406,10022,0.57,0.89,8352,192,0.28,0.19,0,0,192,0,192,matched,Bacteria,190,2.27,7.323,0.137
Verrucomicrobiae.U.family,203494,1914,10005,0.78,0.89,6438,245,0.22,0.24,0,0,245,0,245,matched,Bacteria,943,14.65,7.812,0.128
Myxococcota.U.family,2818505,936,3460,0.38,0.31,6405,325,0.22,0.32,0,0,325,0,325,matched,Bacteria,391,6.1,2.88,0.347
Erysipelotrichales.U.family,526525,423,1697,0.17,0.15,6387,422,0.22,0.41,0,0,422,0,422,matched,Bacteria,1332,20.85,1.002,0.998
Negativicutes.U.family,909932,131,274,0.05,0.02,6205,366,0.21,0.36,0,0,366,0,366,matched,Bacteria,608,9.8,0.358,2.794
Sphingomonadales.U.family,204457,3,3,0.0,0.0,6069,1613,0.2,1.57,0,0,1613,0,1613,matched,Bacteria,1994,32.86,0.002,537.667
Coriobacteriales.U.family,84999,61,167,0.02,0.01,5851,428,0.2,0.42,0,0,428,0,428,matched,Bacteria,778,13.3,0.143,7.016
Anaerolineae.U.family,292625,2905,9688,1.18,0.86,5532,212,0.19,0.21,0,0,212,0,212,matched,Bacteria,305,5.51,13.703,0.073
Spirochaetales.U.family,136,21,165,0.01,0.01,5432,336,0.18,0.33,0,0,336,0,336,matched,Bacteria,1776,32.7,0.062,16.0
Planctomycetia.U.family,203683,7,35,0.0,0.0,5405,301,0.18,0.29,0,0,301,0,301,matched,Bacteria,334,6.18,0.023,43.0
Thermoleophilia.U.family,1497346,35,185,0.01,0.02,5307,80,0.18,0.08,0,0,80,0,80,matched,Bacteria,465,8.76,0.438,2.286
Rhizobiaceae,82115,893,4481,0.36,0.4,5214,1061,0.18,1.03,0,0,1061,0,1061,matched,Bacteria,4213,80.8,0.842,1.188
Verrucomicrobiales.U.family,48461,181,812,0.07,0.07,5199,222,0.18,0.22,0,0,222,0,222,matched,Bacteria,935,17.98,0.815,1.227
Gemmatimonadota.U.family,142182,759,2803,0.31,0.25,5143,132,0.17,0.13,0,0,132,0,132,matched,Bacteria,97,1.89,5.75,0.174
Microbacteriaceae,85023,897,6634,0.36,0.59,5115,1996,0.17,1.95,0,0,1996,0,1996,matched,Bacteria,3235,63.25,0.449,2.225
Paracoccaceae,31989,1092,4625,0.44,0.41,5103,923,0.17,0.9,0,0,923,0,923,matched,Bacteria,1616,31.67,1.183,0.845
Comamonadaceae,80864,1468,9527,0.6,0.84,5091,912,0.17,0.89,0,0,912,0,912,matched,Bacteria,1403,27.56,1.61,0.621
Alcaligenaceae,506,403,3876,0.16,0.34,5022,340,0.17,0.33,0,0,340,0,340,matched,Bacteria,4041,80.47,1.185,0.844
Aeromonadaceae,84642,327,1980,0.13,0.18,4771,353,0.16,0.34,0,0,353,0,353,matched,Bacteria,4512,94.57,0.926,1.08
Corynebacteriaceae,1653,745,4544,0.3,0.4,4612,579,0.16,0.56,0,0,579,0,579,matched,Bacteria,3898,84.52,1.287,0.777
Chitinophagales.U.family,1853229,527,2355,0.21,0.21,4545,356,0.15,0.35,0,0,356,0,356,matched,Bacteria,334,7.35,1.48,0.676
Pelagibacteraceae,1655514,6,22,0.0,0.0,4339,220,0.15,0.21,0,0,220,0,220,matched,Bacteria,1256,28.95,0.027,36.667
Erysipelotrichaceae,128827,901,3517,0.37,0.31,4297,246,0.14,0.24,0,0,246,0,246,matched,Bacteria,609,14.17,3.663,0.273
Nitrososphaerota.U.family,651137,1,13,0.0,0.0,4238,270,0.14,0.26,0,0,270,0,270,matched,Archaea,203,4.79,0.004,270.0
Alteromonadales.U.family,135622,13,31,0.01,0.0,4227,1534,0.14,1.5,0,0,1534,0,1534,matched,Bacteria,2684,63.5,0.008,118.0
Christensenellaceae,990719,1852,4396,0.75,0.39,4205,119,0.14,0.12,0,0,119,0,119,matched,Bacteria,31,0.74,15.563,0.064
Coriobacteriaceae,84107,184,1177,0.07,0.1,4156,252,0.14,0.25,0,0,252,0,252,matched,Bacteria,610,14.68,0.73,1.37
Eubacteriaceae,186806,221,1229,0.09,0.11,3962,179,0.13,0.17,0,0,179,0,179,matched,Bacteria,256,6.46,1.235,0.81
Porphyromonadaceae,171551,310,1436,0.13,0.13,3953,239,0.13,0.23,0,0,239,0,239,matched,Bacteria,227,5.74,1.297,0.771
Dehalococcoidia.U.family,301297,2599,11333,1.06,1.0,3910,155,0.13,0.15,0,0,155,0,155,matched,Bacteria,332,8.49,16.768,0.06
Chitinophagaceae,563835,2015,10370,0.82,0.92,3893,350,0.13,0.34,0,0,350,0,350,matched,Bacteria,330,8.48,5.757,0.174
Roseobacteraceae,2854170,974,4042,0.4,0.36,3852,1326,0.13,1.29,0,0,1326,0,1326,matched,Bacteria,2385,61.92,0.735,1.361
Akkermansiaceae,1647988,206,1200,0.08,0.11,3747,129,0.13,0.13,0,0,129,0,129,matched,Bacteria,833,22.23,1.597,0.626
Thermoplasmata.U.family,183967,1333,7908,0.54,0.7,3721,245,0.13,0.24,0,0,245,0,245,matched,Archaea,246,6.61,5.441,0.184
Micrococcaceae,1268,960,4723,0.39,0.42,3519,1226,0.12,1.2,0,0,1226,0,1226,matched,Bacteria,2587,73.52,0.783,1.277
Tannerellaceae,2005525,321,1751,0.13,0.16,3447,114,0.12,0.11,0,0,114,0,114,matched,Bacteria,776,22.51,2.816,0.355
Rhodospirillales.U.family,204441,1015,4712,0.41,0.42,3397,448,0.11,0.44,0,0,448,0,448,matched,Bacteria,515,15.16,2.266,0.441
Anaerolineales.U.family,292629,1,13,0.0,0.0,3394,162,0.11,0.16,0,0,162,0,162,matched,Bacteria,125,3.68,0.006,162.0
Cytophagales.U.family,768507,80,149,0.03,0.01,3375,939,0.11,0.92,0,0,939,0,939,matched,Bacteria,993,29.42,0.085,11.738
Hydrogenimonaceae,40117,22,70,0.01,0.01,3366,241,0.11,0.24,0,0,241,0,241,matched,Bacteria,163,4.84,0.091,10.955
Nitrospirota.U.family,40117,135,650,0.05,0.06,3366,241,0.11,0.24,0,0,241,0,241,matched,Bacteria,163,4.84,0.56,1.785
Weeksellaceae,2762318,526,2881,0.21,0.26,3349,532,0.11,0.52,0,0,532,0,532,matched,Bacteria,2505,74.8,0.989,1.011
Methanomicrobia.U.family,224756,2,6,0.0,0.0,3329,461,0.11,0.45,0,0,461,0,461,matched,Archaea,323,9.7,0.004,230.5
Desulfovibrionales.U.family,213115,3,8,0.0,0.0,3278,263,0.11,0.26,0,0,263,0,263,matched,Bacteria,269,8.21,0.011,87.667
Rickettsiales.U.family,766,1009,3120,0.41,0.28,3249,596,0.11,0.58,0,0,596,0,596,matched,Bacteria,961,29.58,1.693,0.591
Oceanospirillales.U.family,135619,4,5,0.0,0.0,3196,1106,0.11,1.08,0,0,1106,0,1106,matched,Bacteria,1473,46.09,0.004,276.5
Propionibacteriaceae,31957,675,4329,0.27,0.38,3188,210,0.11,0.2,0,0,210,0,210,matched,Bacteria,2513,78.83,3.214,0.311
Synechococcales.U.family,1890424,18,96,0.01,0.01,3124,1489,0.11,1.45,0,0,1489,0,1489,matched,Bacteria,1308,41.87,0.012,82.722
Chromatiales.U.family,135613,71,279,0.03,0.02,3072,448,0.1,0.44,0,0,448,0,448,matched,Bacteria,398,12.96,0.158,6.31
Desulfovibrionaceae,194924,612,2687,0.25,0.24,3005,208,0.1,0.2,0,0,208,0,208,matched,Bacteria,239,7.95,2.942,0.34
Solirubrobacterales.U.family,588673,309,2175,0.13,0.19,2974,56,0.1,0.05,0,0,56,0,56,matched,Bacteria,132,4.44,5.518,0.181
Veillonellaceae,31977,543,2922,0.22,0.26,2962,170,0.1,0.17,0,0,170,0,170,matched,Bacteria,304,10.26,3.194,0.313
Paenibacillaceae,186822,1247,5325,0.51,0.47,2916,1221,0.1,1.19,0,0,1221,0,1221,matched,Bacteria,2730,93.62,1.021,0.979
Opitutae.U.family,414999,7,11,0.0,0.0,2888,178,0.1,0.17,0,0,178,0,178,matched,Bacteria,110,3.81,0.039,25.429
Mollicutes.U.family,31969,20,103,0.01,0.01,2782,506,0.09,0.49,0,0,506,0,506,matched,Bacteria,734,26.38,0.04,25.3
Nocardiaceae,85025,263,1937,0.11,0.17,2742,947,0.09,0.92,0,0,947,0,947,matched,Bacteria,2550,93.0,0.278,3.601
Nitrososphaeria.U.family,1643678,619,2993,0.25,0.27,2647,137,0.09,0.13,0,0,137,0,137,matched,Archaea,125,4.72,4.518,0.221
Phycisphaerae.U.family,666505,1714,4606,0.7,0.41,2626,100,0.09,0.1,0,0,100,0,100,matched,Bacteria,96,3.66,17.14,0.058
Treponemataceae,2845253,980,2616,0.4,0.23,2568,138,0.09,0.13,0,0,138,0,138,matched,Bacteria,764,29.75,7.101,0.141
Erwiniaceae,1903409,461,2143,0.19,0.19,2549,471,0.09,0.46,0,0,471,0,471,matched,Bacteria,2200,86.31,0.979,1.022
Thiotrichales.U.family,72273,3,14,0.0,0.0,2544,298,0.09,0.29,0,0,298,0,298,matched,Bacteria,1542,60.61,0.01,99.333
Gemmatimonadetes.U.family,219685,22,184,0.01,0.02,2514,81,0.08,0.08,0,0,81,0,81,matched,Bacteria,41,1.63,0.272,3.682
Sphingomonadaceae,41297,1382,8519,0.56,0.75,2498,805,0.08,0.79,0,0,805,0,805,matched,Bacteria,1074,42.99,1.717,0.582
Eggerthellaceae,1643826,243,706,0.1,0.06,2484,129,0.08,0.13,0,0,129,0,129,matched,Bacteria,329,13.24,1.884,0.531
Acidobacteriaceae,204434,334,2801,0.14,0.25,2420,97,0.08,0.09,0,0,97,0,97,matched,Bacteria,106,4.38,3.443,0.29
Nitrobacteraceae,41294,279,4565,0.11,0.4,2415,1094,0.08,1.07,0,0,1094,0,1094,matched,Bacteria,1812,75.03,0.255,3.921
Thermoprotei.U.family,183924,75,414,0.03,0.04,2385,224,0.08,0.22,0,0,224,0,224,matched,Archaea,262,10.99,0.335,2.987
Acidimicrobiaceae,84994,44,194,0.02,0.02,2375,42,0.08,0.04,0,0,42,0,42,matched,Bacteria,45,1.89,1.048,0.955
Sutterellaceae,995019,200,1886,0.08,0.17,2311,53,0.08,0.05,0,0,53,0,53,matched,Bacteria,94,4.07,3.774,0.265
Desulfobacterales.U.family,213118,56,150,0.02,0.01,2286,168,0.08,0.16,0,0,168,0,168,matched,Bacteria,199,8.71,0.333,3.0
Actinomycetales.U.family,2037,36,224,0.01,0.02,2262,285,0.08,0.28,0,0,285,0,285,matched,Bacteria,939,41.51,0.126,7.917
Phyllobacteriaceae,69277,338,1779,0.14,0.16,2254,1137,0.08,1.11,0,0,1137,0,1137,matched,Bacteria,1325,58.78,0.297,3.364
Planctomycetales.U.family,112,713,3264,0.29,0.29,2246,105,0.08,0.1,0,0,105,0,105,matched,Bacteria,96,4.27,6.79,0.147
Sphingobacteriia.U.family,117747,4,5,0.0,0.0,2206,633,0.07,0.62,0,0,633,0,633,matched,Bacteria,857,38.85,0.006,158.25
Sphingobacteriales.U.family,200666,1120,7226,0.46,0.64,2145,621,0.07,0.61,0,0,621,0,621,matched,Bacteria,857,39.95,1.804,0.554
Caulobacterales.U.family,204458,5,7,0.0,0.0,2108,342,0.07,0.33,0,0,342,0,342,matched,Bacteria,445,21.11,0.015,68.4
Actinomycetaceae,2049,377,1477,0.15,0.13,2055,272,0.07,0.27,0,0,272,0,272,matched,Bacteria,935,45.5,1.386,0.721
Odoribacteraceae,1853231,96,604,0.04,0.05,2035,43,0.07,0.04,0,0,43,0,43,matched,Bacteria,132,6.49,2.233,0.448
Brucellaceae,118882,136,1272,0.06,0.11,2014,231,0.07,0.23,0,0,231,0,231,matched,Bacteria,1897,94.19,0.589,1.699
Acetobacteraceae,433,980,5189,0.4,0.46,1964,294,0.07,0.29,0,0,294,0,294,matched,Bacteria,691,35.18,3.333,0.3
Anaplasmataceae,942,296,1229,0.12,0.11,1914,394,0.06,0.38,0,0,394,0,394,matched,Bacteria,639,33.39,0.751,1.331
Caulobacteraceae,76892,543,4094,0.22,0.36,1897,329,0.06,0.32,0,0,329,0,329,matched,Bacteria,443,23.35,1.65,0.606
Metamycoplasmataceae,2895623,11,58,0.0,0.01,1868,81,0.06,0.08,0,0,81,0,81,matched,Bacteria,1786,95.61,0.136,7.364
Sphingobacteriaceae,84566,860,4993,0.35,0.44,1822,595,0.06,0.58,0,0,595,0,595,matched,Bacteria,852,46.76,1.445,0.692
Planctomycetaceae,126,233,857,0.09,0.08,1798,96,0.06,0.09,0,0,96,0,96,matched,Bacteria,82,4.56,2.427,0.412
Streptosporangiales.U.family,85012,3,3,0.0,0.0,1778,754,0.06,0.74,0,0,754,0,754,matched,Bacteria,1156,65.02,0.004,251.333
Prochlorococcaceae,2881426,139,1245,0.06,0.11,1756,888,0.06,0.87,0,0,888,0,888,matched,Bacteria,870,49.54,0.157,6.388
Deltaproteobacteria.U.family,28221,67,416,0.03,0.04,1662,298,0.06,0.29,0,0,298,0,298,matched,Bacteria,65,3.91,0.225,4.448
Halobacteria.U.family,183963,211,707,0.09,0.06,1649,857,0.06,0.84,0,0,857,0,857,matched,Archaea,1067,64.71,0.246,4.062
Micromonosporaceae,28056,436,2030,0.18,0.18,1647,910,0.06,0.89,0,0,910,0,910,matched,Bacteria,1498,90.95,0.479,2.087
Saprospiraceae,89374,1091,4819,0.44,0.43,1624,37,0.05,0.04,0,0,37,0,37,matched,Bacteria,48,2.96,29.486,0.034
Acidaminococcaceae,909930,296,1403,0.12,0.12,1608,42,0.05,0.04,0,0,42,0,42,matched,Bacteria,89,5.53,7.048,0.142
Halobacteriales.U.family,2235,10,121,0.0,0.01,1604,851,0.05,0.83,0,0,851,0,851,matched,Archaea,1063,66.27,0.012,85.1
Chloroflexia.U.family,32061,117,365,0.05,0.03,1533,62,0.05,0.06,0,0,62,0,62,matched,Bacteria,31,2.02,1.887,0.53
Myxococcales.U.family,29,42,152,0.02,0.01,1530,188,0.05,0.18,0,0,188,0,188,matched,Bacteria,221,14.44,0.223,4.476
Ignavibacteria.U.family,795747,8,20,0.0,0.0,1528,112,0.05,0.11,0,0,112,0,112,matched,Bacteria,33,2.16,0.071,14.0
Selenomonadales.U.family,909929,1,6,0.0,0.0,1527,142,0.05,0.14,0,0,142,0,142,matched,Bacteria,211,13.82,0.007,142.0
Atopobiaceae,1643824,114,665,0.05,0.06,1520,169,0.05,0.16,0,0,169,0,169,matched,Bacteria,160,10.53,0.675,1.482
Opitutales.U.family,415000,9,19,0.0,0.0,1496,66,0.05,0.06,0,0,66,0,66,matched,Bacteria,67,4.48,0.136,7.333
Nocardioidaceae,85015,667,2782,0.27,0.25,1466,445,0.05,0.43,0,0,445,0,445,matched,Bacteria,535,36.49,1.499,0.667
Ilumatobacteraceae,2448023,502,5998,0.2,0.53,1464,12,0.05,0.01,0,0,12,0,12,matched,Bacteria,35,2.39,41.833,0.024
Nitrospiraceae,189779,500,3718,0.2,0.33,1456,107,0.05,0.1,0,0,107,0,107,matched,Bacteria,50,3.43,4.673,0.214
Phycisphaerales.U.family,666506,383,1027,0.16,0.09,1416,72,0.05,0.07,0,0,72,0,72,matched,Bacteria,15,1.06,5.319,0.188
Oxalobacteraceae,75682,808,4531,0.33,0.4,1404,635,0.05,0.62,0,0,635,0,635,matched,Bacteria,779,55.48,1.272,0.786
Methylococcales.U.family,135618,157,820,0.06,0.07,1404,184,0.05,0.18,0,0,184,0,184,matched,Bacteria,170,12.11,0.853,1.172
Fusobacteriaceae,203492,439,2794,0.18,0.25,1390,108,0.05,0.11,0,0,108,0,108,matched,Bacteria,677,48.71,4.065,0.246
Francisellaceae,34064,57,404,0.02,0.04,1385,47,0.05,0.05,0,0,47,0,47,matched,Bacteria,1290,93.14,1.213,0.825
Leptospiraceae,170,296,1398,0.12,0.12,1374,111,0.05,0.11,0,0,111,0,111,matched,Bacteria,1160,84.43,2.667,0.375
Methylophilaceae,32011,298,3964,0.12,0.35,1373,93,0.05,0.09,0,0,93,0,93,matched,Bacteria,223,16.24,3.204,0.312
Anaerolineaceae,292628,2466,12800,1.0,1.13,1370,95,0.05,0.09,0,0,95,0,95,matched,Bacteria,19,1.39,25.958,0.039
Methanobacteriaceae,2159,420,3102,0.17,0.27,1363,183,0.05,0.18,0,0,183,0,183,matched,Archaea,233,17.09,2.295,0.436
Coprobacillaceae,2810280,97,313,0.04,0.03,1361,156,0.05,0.15,0,0,156,0,156,matched,Bacteria,430,31.59,0.622,1.608
Pseudonocardiaceae,2070,536,2438,0.22,0.22,1356,722,0.05,0.7,0,0,722,0,722,matched,Bacteria,989,72.94,0.742,1.347
Methanosarcinales.U.family,94695,96,428,0.04,0.04,1352,173,0.05,0.17,0,0,173,0,173,matched,Archaea,186,13.76,0.555,1.802
Methanomicrobiales.U.family,2191,30,676,0.01,0.06,1348,195,0.05,0.19,0,0,195,0,195,matched,Archaea,100,7.42,0.154,6.5
Tissierellia.U.family,1737404,221,604,0.09,0.05,1332,258,0.04,0.25,0,0,258,0,258,matched,Bacteria,384,28.83,0.857,1.167
Blastocatellia.U.family,1562566,366,1390,0.15,0.12,1320,32,0.04,0.03,0,0,32,0,32,matched,Bacteria,13,0.98,11.438,0.087
