Genus,GTDB_Domain,NCBI_Domain,Database_Presence,Match_Status,Anchor_Type,GTDB_Genome_Count,GTDB_Species_Count,NCBI_Genome_Count,NCBI_Species_Count
Congregibacter,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,17,5
Congzhengia,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,20,2
Conservatibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Consotaella,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Constantimarinum,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Convivina,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,6,2
Conyzicola,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,4,3
Copranaerobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,1,1
Coprobacillus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,20,1,176,56
Coprobacter,Bacteria,Bacteria,Both,Match,Direct_Name,51,1,52,5
Coprococcus,Bacteria,Bacteria,Both,Match,Direct_Name,302,2,781,63
Coprothermobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8,1,22,4
Coraliomargarita,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,3,25,8
Corallincola,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,1,7,6
Corallococcus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,55,1,89,43
Coralloluteibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Coriobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Corticimicrobacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Corynebacterium,Bacteria,Bacteria,Both,Match,Direct_Name,2286,1,3845,558
Costertonia,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Coxiella,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,166,1,296,18
Crassaminicella,Bacteria,Bacteria,Both,Match,Direct_Name,5,2,3,3
Crateriforma,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,5,2
Craterilacuibacter,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,2,2
Crenalkalicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,2
Crenobacter,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,8,5
Crenothrix,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,1,37,4
Criblamydia,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Cribrihabitans,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,5,4
Cricetibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Criibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,3,2
Crinalium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Croceibacter,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,17,3
Croceibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,28,1,27,10
Croceicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,21,1,36,17
Croceimicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,3,2
Croceitalea,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,25,10
Croceivirga,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,7,2,15,6
Crocinitomix,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,23,5
Crocosphaera,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,27,7
Cronobacter,Bacteria,Bacteria,Both,Match,Direct_Name,724,1,3208,12
Crossiella,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,8,6
Cruoricaptor,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,5,2
Cryobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,123,1,161,122
Cryomorpha,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,6,2
Cryptobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,32,4
Cryptosporangium,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,8,7
Cucumibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,5,2
Culicoidibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Culturomica,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,1,14,3
Cumulibacter,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,3
Cuneatibacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,5,4
Cuniculiplasma,Archaea,Archaea,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,163,1,9,3
Cupriavidus,Bacteria,Bacteria,Both,Match,Direct_Name,225,1,287,90
Curtanaerobium,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,2,1
Curtobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,288,1,359,205
Curvibacter,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,58,16
Curvivirga,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Cuspidothrix,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,8,2
Cutibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,620,1,2271,11
Cyanobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,16,8
Cyanobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,146,2,229,89
Cyanocohniella,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Cyanomargarita,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Cyanosarcina,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Cyanothece,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,1,1,5,4
Cyclobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,26,13
Cycloclasticus,Bacteria,Bacteria,Both,Match,Direct_Name,43,1,74,14
Cyclonatronum,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,2,2
Cylindrospermum,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,3
Cypionkella,Bacteria,Bacteria,Both,Match,Direct_Name,26,1,44,5
Cysteiniphilum,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,13,7
Cystobacter,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,9,4
Cytobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,107,1,154,41
Cytophaga,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,11,5
Dactylosporangium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,11,1,49,30
Daejeonella,Bacteria,Bacteria,Both,Match,Direct_Name,51,1,39,6
Dasania,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,6,4
Dechloromonas,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,10,1,128,21
Deefgea,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,14,7
Deferribacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Deferrimonas,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,1
Deferrisoma,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,1
Deferrivibrio,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,1,1
Defluviicoccus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,1,30,5
Defluviitalea,Bacteria,Bacteria,Both,Match,Direct_Name,8,2,5,3
Defluviitoga,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,24,2
Dehalobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,14,1,25,15
Dehalobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,5,2
Dehalococcoides,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,47,1,85,11
Dehalogenimonas,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,18,10
Deinobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Deinococcus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,165,4,242,124
Dellaglioa,Bacteria,Bacteria,Both,Match,Direct_Name,24,1,26,3
Demequina,Bacteria,Bacteria,Both,Match,Direct_Name,60,1,66,40
Demetria,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Deminuibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Dendronalium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,2
Dendrosporobacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,2
Denitratisoma,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,3
Denitrobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,9,3
Denitrobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,3,2
Denitrovibrio,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,2
Dermabacter,Bacteria,Bacteria,Both,Match,Direct_Name,34,1,43,12
Dermacoccus,Bacteria,Bacteria,Both,Match,Direct_Name,31,1,46,18
Dermatophilus,Bacteria,Bacteria,Both,Match,Direct_Name,45,1,46,2
Derxia,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,3
Desemzia,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,16,8
Desertibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desertifilum,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,6,6
Desertihabitans,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,2
Desertimonas,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,7,2
Desmonostoc,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,5,3
Desmospora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,3
Desnuesiella,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfacinum,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,4,3
Desulfamplus,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,18,2
Desulfarculus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,12,3
Desulfatibacillum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,13,4
Desulfatiglans,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,12,3
Desulfatirhabdium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,6,2
Desulfatitalea,Bacteria,Bacteria,Both,Match,Direct_Name,21,1,21,6
Desulfitibacter,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,2,2
Desulfitobacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,22,2,26,12
Desulfobacca,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,13,2,18,6
Desulfobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,30,1,52,8
Desulfobacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,1,16,3
Desulfobacula,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,62,1,77,9
Desulfobaculum,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,3
Desulfobotulus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,4
Desulfobulbus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,36,3,114,25
Desulfocapsa,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,30,1,47,5
Desulfocarbo,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfocicer,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,4,2
Desulfococcus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,5,1,14,5
Desulfocucumis,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Desulfocurvibacter,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,5,1
Desulfocurvus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,8,3
Desulfofalx,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfofarcimen,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfoferrobacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Desulfofundulus,Bacteria,Bacteria,Both,Match,Direct_Name,14,2,10,8
Desulfofustis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,28,5
Desulfoglaeba,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfogranum,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,4,3
Desulfohalobium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,2
Desulfohalovibrio,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,1,1
Desulfolithobacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Desulfolucanica,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfoluna,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,5,4
Desulfolutivibrio,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,5,3
Desulfomarina,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,1,1
Desulfomicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,29,1,31,10
Desulfomonile,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,57,3
Desulfonatronospira,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,21,3
Desulfonatronovibrio,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,26,4
Desulfonatronum,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,10,7
Desulfonauticus,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,6,4
Desulfonema,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,3,17,4
Desulfonispora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfopila,Bacteria,Bacteria,Both,Match,Direct_Name,8,2,20,6
Desulfoplanes,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,6,2
Desulfoprunum,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,4,2
Desulforadius,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,1,1
Desulforapulum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,3,2
Desulforegula,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulforhabdus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,4,3
Desulforhopalus,Bacteria,Bacteria,Both,Match,Direct_Name,26,1,18,5
Desulfosalsimonas,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,19,2
Desulfosarcina,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,19,1,41,12
Desulfoscipio,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,7,3
Desulfosoma,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,8,3
Desulfospira,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,4,2
Desulfosporosinus,Bacteria,Bacteria,Both,Match,Direct_Name,53,1,63,34
Desulfosudis,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,4,1
Desulfotalea,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,5,2
Desulfothermus,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,1,1
Desulfotignum,Bacteria,Bacteria,Both,Match,Direct_Name,20,1,38,4
Desulfotomaculum,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,21,2,26,11
Desulfovermiculus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,21,2
Desulfovibrio,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,541,2,1031,78
Desulfovirgula,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,5,3
Desulfovulcanus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Desulfurella,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,12,4
Desulfuribacillus,Bacteria,Bacteria,Both,Match,Direct_Name,2,2,2,2
Desulfurispira,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Desulfurispirillum,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Desulfurispora,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,2
Desulfurivibrio,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6,1,13,6
Desulfurobacterium,Bacteria,Bacteria,Both,Match,Direct_Name,10,3,11,7
Desulfurococcus,Archaea,Archaea,Both,Match,Direct_Name,7,1,18,3
Desulfuromonas,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,12,2,56,13
Desulfuromusa,Bacteria,Bacteria,Both,Match,Direct_Name,18,1,28,3
Dethiobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,22,3
Dethiosulfatarculus,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Dethiosulfatibacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,2,1,3,2
Dethiosulfovibrio,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,9,8
Devosia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,157,2,249,89
Devriesea,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Dialister,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,293,1,651,19
Diaminobutyricibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,3,3
Diaminobutyricimonas,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,5,4
Diaphorobacter,Bacteria,Bacteria,Both,Match,Direct_Name,39,2,48,18
Dichelobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,4,1,6,1
Dichotomicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,5,2
Dickeya,Bacteria,Bacteria,Both,Match,Direct_Name,212,1,251,26
Dictyobacter,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,13,9
Dictyoglomus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,9,1,14,5
Dielma,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,13,1
Dietzia,Bacteria,Bacteria,Both,Match,Direct_Name,107,1,158,53
Dinghuibacter,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,2
Dinoroseobacter,Bacteria,Bacteria,Both,Match,Direct_Name,12,1,45,4
Diplocloster,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,5,3
Dissulfuribacter,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,2,1
Dissulfurimicrobium,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Dissulfurirhabdus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Dissulfurispira,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,2,2
Dokdonella,Bacteria,Bacteria,Both,Match,Direct_Name,66,2,100,7
Dokdonia,Bacteria,Bacteria,Both,Match,Direct_Name,33,1,60,19
Dolichospermum,Bacteria,Bacteria,Both,Match,Direct_Name,111,1,260,45
Dolosicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,4,2
Dolosigranulum,Bacteria,Bacteria,Both,Match,Direct_Name,34,1,40,2
Domibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,19,1,20,14
Donghicola,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,14,7
Dongia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,15,2,22,7
Dongshaea,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Dorea,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,371,4,1638,38
Draconibacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,42,1,162,8
Drouetiella,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,3,2
Dryocola,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,7,3
Dubosiella,Bacteria,Bacteria,Both,Match,Direct_Name,320,1,361,3
Duffyella,Bacteria,Bacteria,Both,Match,Direct_Name,9,1,11,1
Duganella,Bacteria,Bacteria,Both,Match,Direct_Name,59,1,74,53
Dulcicalothrix,Bacteria,Bacteria,Both,Match,Direct_Name,14,1,2,1
Duncaniella,Bacteria,Bacteria,Both,Match,Direct_Name,3493,1,2999,8
Duodenibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,157,1,240,5
Dyadobacter,Bacteria,Bacteria,Both,Match,Direct_Name,63,1,80,56
Dyella,Bacteria,Bacteria,Both,Match,Direct_Name,65,4,98,56
Dysgonomonas,Bacteria,Bacteria,Both,Match,Direct_Name,93,1,122,41
Echinicola,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,14,11
Echinimonas,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Ectobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,7,1,18,8
Ectorhizobium,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,1,1
Ectothiorhodosinus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,2,1
Ectothiorhodospira,Bacteria,Bacteria,Both,Match,Direct_Name,22,1,27,12
Edaphobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,48,1,60,12
Edaphocola,Bacteria,Bacteria,Both,Match,Direct_Name,13,1,12,4
Edaphovirga,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,2,1
Edwardsiella,Bacteria,Bacteria,Both,Match,Direct_Name,112,1,307,9
Effusibacillus,Bacteria,Bacteria,Both,Match,Direct_Name,4,2,5,4
Eggerthella,Bacteria,Bacteria,Both,Match,Direct_Name,156,1,451,20
Eggerthia,Bacteria,Bacteria,Both,Match,Direct_Name,4,1,6,1
Egibacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,1,1,3,2
Egicoccus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,6,4
Ehrlichia,Bacteria,Bacteria,Both,Match,Direct_Name,45,1,47,8
Eikenella,Bacteria,Bacteria,Both,Match,Direct_Name,46,1,62,19
Eilatimonas,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Eisenbergiella,Bacteria,Bacteria,Both,Match,Direct_Name,120,1,160,15
Eisenibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Ekhidna,Bacteria,Bacteria,Both,Match,Direct_Name,11,1,82,4
Elainella,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,6,4
Elioraea,Bacteria,Bacteria,Both,Match,Direct_Name,14,2,23,7
Elizabethkingia,Bacteria,Bacteria,Both,Match,Direct_Name,305,1,1001,23
Ellagibacter,Bacteria,Bacteria,Both,Match,Direct_Name,44,1,63,3
Elstera,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,6,1,13,4
Elusimicrobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3,1,192,4
Embleya,Bacteria,Bacteria,Both,Match,Direct_Name,5,1,19,18
Emcibacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,19,3
Emergencia,Bacteria,Bacteria,Both,Match,Direct_Name,78,1,66,5
Empedobacter,Bacteria,Bacteria,Both,Match,Direct_Name,73,1,166,42
Emticicia,Bacteria,Bacteria,Both,Match,Direct_Name,15,1,42,17
Endobacter,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,1
Endomicrobium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,83,2,43,8
Endozoicomonas,Bacteria,Bacteria,Both,Match,Direct_Name,34,1,66,41
Enemella,Bacteria,Bacteria,Both,Match,Direct_Name,14,1,11,3
Engelhardtia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI,2,1,2,1
Enhygromyxa,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,7,3
Enorma,Bacteria,Bacteria,Both,Match,Direct_Name,45,1,58,8
Ensifer,Bacteria,Bacteria,Both,Match,Direct_Name,114,2,114,67
Enterobacillus,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,3,1
Enterobacter,Bacteria,Bacteria,Both,Match,Direct_Name,5380,3,15307,677
Enterocloster,Bacteria,Bacteria,Both,Match,Direct_Name,460,1,542,18
Enterococcus,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,8175,11,47205,413
Enterorhabdus,Bacteria,Bacteria,Both,Match,Direct_Name,27,1,53,4
Enteroscipio,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,10,3
Enterovibrio,Bacteria,Bacteria,Both,Match,Direct_Name,61,1,65,16
Enterovirga,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,17,5
Entomobacter,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Entomohabitans,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Entomomonas,Bacteria,Bacteria,Both,Match,Direct_Name,10,1,5,4
Entomoplasma,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,5,4
Entomospira,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,8,3
Epibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,91,1,13,5
Epidermidibacterium,Bacteria,Bacteria,Both,Match,Direct_Name,2,1,1,1
Epilithonimonas,Bacteria,Bacteria,Both,Match,Direct_Name,47,1,47,18
Ereboglobus,Bacteria,Bacteria,Both,Match,Direct_Name,8,1,4,4
Eremococcus,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,2
Erwinia,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,371,3,547,78
Erysipelothrix,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,64,1,312,22
Erythrobacter,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,162,1,349,88
Escherichia,Bacteria,Bacteria,Both,Match,Direct_Name,39673,1,332100,299
Estrella,Bacteria,Bacteria,Both,Match,Direct_Name,1,1,1,1
Ethanoligenens,Bacteria,Bacteria,Both,Match,Direct_Name,6,1,10,3
Eubacterium,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,3124,14,3169,118
Eudoraea,Bacteria,Bacteria,Both,Match,Accession_Mapped_GTDB_to_NCBI+Direct_Name,13,1,37,4
Euryhalocaulis,Bacteria,Bacteria,Both,Match,Direct_Name,3,1,3,3
