family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Rhabdomonadales,26,100,0.04,0.02,1,1,1,0.0,0.0,100.0,26.0,0.038,0,1,1,matched,Eukaryota,0.0
Paramoebidae,54,81,0.08,0.02,1,1,1,0.0,0.0,100.0,54.0,0.019,1,0,1,matched,Eukaryota,0.0
Bodonidae,10,15,0.01,0.0,1,1,1,0.0,0.0,100.0,10.0,0.1,1,0,1,matched,Eukaryota,0.0
Aphelidiaceae,12,17,0.02,0.0,1,1,1,0.0,0.0,100.0,12.0,0.083,1,0,1,matched,Eukaryota,0.0
Poaceae,0,0,0.0,0.0,974,156,971,1.96,0.76,99.69,,,0,0,0,ncbi_only,Eukaryota,0.0
Debaryomycetaceae,0,0,0.0,0.0,841,310,824,1.69,1.5,97.98,,,0,0,0,ncbi_only,Eukaryota,0.0
Metschnikowiaceae,0,0,0.0,0.0,751,143,748,1.51,0.69,99.6,,,0,0,0,ncbi_only,Eukaryota,0.0
Pichiaceae,0,0,0.0,0.0,613,173,417,1.23,0.84,68.03,,,0,0,0,ncbi_only,Eukaryota,0.0
Brassicaceae,0,0,0.0,0.0,540,108,540,1.09,0.52,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chenopodiaceae,0,0,0.0,0.0,383,28,383,0.77,0.14,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fabaceae,0,0,0.0,0.0,366,152,366,0.74,0.74,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rosaceae,0,0,0.0,0.0,322,114,316,0.65,0.55,98.14,,,0,0,0,ncbi_only,Eukaryota,0.0
Solanaceae,0,0,0.0,0.0,283,91,283,0.57,0.44,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Vitaceae,0,0,0.0,0.0,281,40,212,0.56,0.19,75.44,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhabditidae,0,0,0.0,0.0,223,81,223,0.45,0.39,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trichomonascaceae,0,0,0.0,0.0,209,146,205,0.42,0.71,98.09,,,0,0,0,ncbi_only,Eukaryota,0.0
Psittacidae,0,0,0.0,0.0,205,181,205,0.41,0.88,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sporidiobolaceae,0,0,0.0,0.0,203,31,198,0.41,0.15,97.54,,,0,0,0,ncbi_only,Eukaryota,0.0
Pythiaceae,0,0,0.0,0.0,185,116,185,0.37,0.56,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Accipitridae,0,0,0.0,0.0,178,145,178,0.36,0.7,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Asteraceae,0,0,0.0,0.0,174,100,173,0.35,0.49,99.43,,,0,0,0,ncbi_only,Eukaryota,0.0
Cucurbitaceae,0,0,0.0,0.0,174,74,173,0.35,0.36,99.43,,,0,0,0,ncbi_only,Eukaryota,0.0
Corvidae,0,0,0.0,0.0,167,20,167,0.34,0.1,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anatidae,0,0,0.0,0.0,146,79,146,0.29,0.38,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malvaceae,0,0,0.0,0.0,134,62,134,0.27,0.3,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Malasseziaceae,0,0,0.0,0.0,107,21,84,0.22,0.1,78.5,,,0,0,0,ncbi_only,Eukaryota,0.0
Rutaceae,0,0,0.0,0.0,99,36,99,0.2,0.17,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhizopodaceae,0,0,0.0,0.0,97,7,97,0.19,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phaffomycetaceae,0,0,0.0,0.0,96,68,96,0.19,0.33,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mortierellaceae,0,0,0.0,0.0,94,53,90,0.19,0.26,95.74,,,0,0,0,ncbi_only,Eukaryota,0.0
Blastocystidae,0,0,0.0,0.0,90,15,24,0.18,0.07,26.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Phasianidae,0,0,0.0,0.0,90,30,89,0.18,0.15,98.89,,,0,0,0,ncbi_only,Eukaryota,0.0
