family,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Petrosiidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Milleporidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Menispermaceae,0,0,0.0,0.0,6,5,5,0.01,0.02,83.33,,,0,0,0,ncbi_only,Eukaryota,0.0
Onchidiidae,0,0,0.0,0.0,6,5,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Onagraceae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Agelasidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dendrocolaptidae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Linotaeniidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dasyatidae,0,0,0.0,0.0,6,5,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chelydridae,0,0,0.0,0.0,6,2,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Kudoidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sphaerophragmiaceae,0,0,0.0,0.0,6,1,6,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phycomycetaceae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gesneriaceae,0,0,0.0,0.0,6,6,6,0.01,0.03,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lepisosteidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Niphatidae,0,0,0.0,0.0,6,2,2,0.01,0.01,33.33,,,0,0,0,ncbi_only,Eukaryota,0.0
Polyphysaceae,0,0,0.0,0.0,6,1,6,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pteroclidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Caprimulgidae,0,0,0.0,0.0,6,4,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Grossulariaceae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Piscicolidae,0,0,0.0,0.0,6,3,6,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coleosporiaceae,0,0,0.0,0.0,6,5,6,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Piptocephalidaceae,0,0,0.0,0.0,5,5,4,0.01,0.02,80.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Berberidaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echinometridae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gaviidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myxobolidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Thelaziidae,0,0,0.0,0.0,5,2,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cardinalidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Macrostomidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Petroicidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pteridaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acytosteliaceae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dendronotidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lentibulariaceae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ceratomyxidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ordosporidae,0,0,0.0,0.0,5,2,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Antedonidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Goniasteridae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Choanephoraceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bangiaceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alaudidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Polypteridae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Haemopidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aquifoliaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Loliginidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lottiidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diphyllobothriidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cambaridae,0,0,0.0,0.0,5,2,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lithodidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solasteridae,0,0,0.0,0.0,5,2,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lineidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cymodoceaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Syllidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Arionidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melastomataceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Entomophthoraceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chalinidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neelidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Proteaceae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Varunidae,0,0,0.0,0.0,5,1,5,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sargassaceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Serpulidae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sapotaceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Santalaceae,0,0,0.0,0.0,5,1,5,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nectariniidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Casuarinaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geophilidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Arcidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bucorvidae,0,0,0.0,0.0,5,2,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Combretaceae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Typhaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Liliaceae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saxifragaceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Monarchidae,0,0,0.0,0.0,5,5,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tritrichomonadidae,0,0,0.0,0.0,5,3,4,0.01,0.01,80.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tamaricaceae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Myliobatidae,0,0,0.0,0.0,5,4,5,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sagittiferidae,0,0,0.0,0.0,5,2,2,0.01,0.01,40.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sminthurididae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sporopachydermiaceae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ophiuridae,0,0,0.0,0.0,5,3,5,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Arthoniaceae,0,0,0.0,0.0,4,4,1,0.01,0.02,25.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phyllanthaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saururaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Haematococcaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tubulinosematidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Synchytriaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Leiothrichidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Simmondsiaceae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coliidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hoplolaimidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Peribolosporaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coelacanthidae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydrocharitaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Lagenidiaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydrobatidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Laniidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Clavelinidae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Juncaginaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Paguridae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chrysochromulinaceae,0,0,0.0,0.0,4,3,2,0.01,0.01,50.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aristolochiaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Arrhopalitidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coraciidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cinclidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cladorhizidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Parastacidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Indicatoridae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Phrymaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dicruridae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tethyidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Droseraceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pyuridae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Endogonaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bonnemaisoniaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tellinidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solecurtidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tytonidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hiatellidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heterorhabditidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ancorinidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hymenolepididae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scyliorhinidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hylocomiaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Celastraceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Podicipedidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gentianaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Geminigeraceae,0,0,0.0,0.0,4,2,2,0.01,0.01,50.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gavialidae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bolinopsidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Prymnesiaceae,0,0,0.0,0.0,4,2,3,0.01,0.01,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rheidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chelidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tullbergiidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Trogonidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Janiridae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Camaenidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhodomelaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Burseraceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhizinaceae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Terramycetaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stichococcaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Caricaceae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Uronychiidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Basidiobolaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Polytrichaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fragilariaceae,0,0,0.0,0.0,4,4,3,0.01,0.02,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Porocyphaceae,0,0,0.0,0.0,4,3,2,0.01,0.01,50.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cymothoidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Elaeocarpaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pyrenomonadaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Diadematidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Blepharismidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Prunellidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Talitridae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Strongylidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Plectidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zaghouaniaceae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zygnemataceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amiidae,0,0,0.0,0.0,4,1,4,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cariamidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Amoebophryaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nyctibiidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dreissenidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cancridae,0,0,0.0,0.0,4,2,3,0.01,0.01,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Rhopalodiaceae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Nymphaeaceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Oceaniidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Xyalidae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Neomorphidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zoopagaceae,0,0,0.0,0.0,4,4,3,0.01,0.02,75.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Bignoniaceae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Pratylenchidae,0,0,0.0,0.0,4,2,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eurylaimidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Zosteraceae,0,0,0.0,0.0,4,3,4,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Carcharhinidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mimidae,0,0,0.0,0.0,4,4,4,0.01,0.02,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acanthisittidae,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acanthochitonidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Acmaeidae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Glomeridae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aplysiidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Megascolecidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hamamelidaceae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aplustridae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Glossiphoniidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Haliclystidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Gorgonocephalidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Alloascoideaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anaeramoebidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Altingiaceae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Haloragaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydractiniidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Mesostigmataceae,0,0,0.0,0.0,3,1,3,0.01,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Francoaceae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Funariaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anisakidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Glareolidae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aegothelidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Agalmatidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Melanocharitidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Anomiidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Annonaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Aizoaceae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Halichondriidae,0,0,0.0,0.0,3,1,2,0.01,0.0,66.67,,,0,0,0,ncbi_only,Eukaryota,0.0
Lycopodiaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cephaloascaceae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cyrenidae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ichthyobodonidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cinclosomatidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chordeumatidae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hypsibiidae,0,0,0.0,0.0,3,2,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chlorodendraceae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Chitonidae,0,0,0.0,0.0,3,3,3,0.01,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
