genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Strigomonas,6,30,0.01,0.01,4,3,4,0.01,0.01,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Chlorociboria,56,565,0.08,0.14,4,2,4,0.01,0.01,100.0,28.0,0.036,1,0,1,matched,Eukaryota,0.0
Chloropicon,15,50,0.02,0.01,4,2,4,0.01,0.01,100.0,7.5,0.133,1,0,1,matched,Eukaryota,0.0
Phytomonas,3,7,0.0,0.0,4,4,4,0.01,0.02,100.0,0.75,1.333,1,0,1,matched,Eukaryota,0.0
Cyanidioschyzon,2,21,0.0,0.01,4,1,4,0.01,0.0,100.0,2.0,0.5,1,0,1,matched,Eukaryota,0.0
Ricinus,13,15,0.02,0.0,4,3,4,0.01,0.01,100.0,4.333,0.231,1,0,1,matched,Eukaryota,0.0
Nematostella,14,36,0.02,0.01,4,1,4,0.01,0.0,100.0,14.0,0.071,1,0,1,matched,Eukaryota,0.0
Allomyces,16,114,0.02,0.03,3,3,3,0.01,0.01,100.0,5.333,0.188,1,0,1,matched,Eukaryota,0.0
Leptomonas,53,327,0.07,0.08,3,2,3,0.01,0.01,100.0,26.5,0.038,1,0,1,matched,Eukaryota,0.0
Rhizoclosmatium,12,82,0.02,0.02,3,3,3,0.01,0.01,100.0,4.0,0.25,1,0,1,matched,Eukaryota,0.0
Balamuthia,8,12,0.01,0.0,3,1,3,0.01,0.0,100.0,8.0,0.125,1,0,1,matched,Eukaryota,0.0
Phaeosphaeria,172,1177,0.24,0.29,3,3,3,0.01,0.01,100.0,57.333,0.017,1,0,1,matched,Eukaryota,0.0
Acyrthosiphon,49,436,0.07,0.11,3,2,3,0.01,0.01,100.0,24.5,0.041,1,0,1,matched,Eukaryota,0.0
Coelomomyces,10,29,0.01,0.01,3,1,3,0.01,0.0,100.0,10.0,0.1,1,0,1,matched,Eukaryota,0.0
Monoraphidium,1,1,0.0,0.0,3,3,2,0.01,0.01,66.67,0.333,3.0,1,0,1,matched,Eukaryota,0.0
