genus,census_otu_count,census_size_count,otu_percentage,size_percentage,ncbi_genome_count,ncbi_species_count,isolate_count,genome_pct_db,species_pct,isolate_percentage,novelty_factor,overrepresentation_factor,direct_matches,lineage_matches,total_matches,match_status,domain,coverage_percentage
Ilisha,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sarcocystis,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Terrapene,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cladocopium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cladochytrium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Saragossa,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Imleria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Immersiporthe,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Imshaugia,0,0,0.0,0.0,2,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cistogaster,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coelioxys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydropsyche,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heteranomia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sciaenops,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hirudinaria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coracopsis,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coracias,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Histomonas,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hofmannophila,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hofstenia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scirpus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Taxus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scinax,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sciapus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coprinus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Conops,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hololepta,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schrankia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Convolvulus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Homarus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Convolutriloba,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schoenobius,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Conticribra,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tegillarca,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Corallium,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hippotragus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Taurulus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hippodamia,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heterobilharzia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Correlophus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scolitantides,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cornu,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heterodontus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heteromeles,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heteromyza,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heteropelma,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heterosais,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scolecofusarium,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Heterostelium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tarphius,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sclerospora,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Tarsius,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hexaprotodon,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coriaria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coremacera,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hierochloe,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Corema,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Corella,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Himantopus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sclerolinum,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cordylochernes,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hippasteria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cordilura,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hippobosca,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Homoeosoma,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Honckenya,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydropotes,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Scellus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coluber,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Telmatherina,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colotois,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colotis,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schaereria,0,0,0.0,0.0,2,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colostygia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colossoma,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hyaena,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hyalella,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Collybiopsis,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Collichthys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hondaea,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hyalyris,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hybognathus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hybos,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hycleus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydatina,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colletes,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydraecia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hydrocotyle,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Cokeromyces,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Colydium,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Comarum,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Comibaena,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hoplias,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hoplisoma,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Conomelus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Teinopalpus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hoplolaimus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Conistra,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coniophanes,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Coniferiporia,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hortiboletus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schizotus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schizothorax,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hozukius,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schizothecium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Condylostylus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Condylostoma,0,0,0.0,0.0,2,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Concholepas,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Hucho,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schizochytrium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Huiozyma,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schistocephalus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Commophila,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Schilbe,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ips,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ecdyonurus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sparganium,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euura,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Staphylinus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echinosphaeria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euzophera,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echinosophora,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Staphylotrichum,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echinopora,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Exaiptasia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sousa,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Excalfactoria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echinarachnius,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Excoecaria,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Echiichthys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Exobasidium,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Exsudoporus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Earophila,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Earias,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eana,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fabriciana,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sophora,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dyspetes,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dysmachus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eutrigla,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Standfussiana,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eutolmus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stachys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euphyia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euplagia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euplexia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Speothos,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Edaphochlamys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euprymna,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eupsilia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eurema,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eurois,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ectomomyrmex,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ectoedemia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ectobius,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eurystomus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eurytides,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ecliptopera,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euspilapteryx,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eustalomyia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spatalia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euthrix,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euthyatira,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euthynnus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sterna,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenurella,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stephanocoenia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solaster,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stephanocyclus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stephanodiscus,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dromius,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Drepanosiphum,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Filipendula,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Drechmeria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sodiomyces,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sternotherus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Steromphala,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dracaena,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stewartia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sthenelais,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Fissipunctia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dothiorella,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Flabesymbios,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Sticta,0,0,0.0,0.0,2,2,0,0.0,0.01,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Doryrhina,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stictis,0,0,0.0,0.0,2,1,0,0.0,0.0,0.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stentor,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solenodon,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dryobota,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dryobotodes,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Falcaria,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stelis,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stelletta,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Durusdinium,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenella,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenichneumon,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Duponchelia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Solidago,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dunckerocampus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Duncanopsammia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenodema,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Ferdinandea,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dryomyza,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stenoptilia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Dryococelus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Euphonia,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Egira,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Stictoleptura,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Epistrophella,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Emys,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Emydura,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spilogale,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Emydoidea,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spongilla,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Empoasca,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spilarctia,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Eptesicus,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Spicauda,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Empidonax,0,0,0.0,0.0,2,2,2,0.0,0.01,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
Erannis,0,0,0.0,0.0,2,1,2,0.0,0.0,100.0,,,0,0,0,ncbi_only,Eukaryota,0.0
